date,m2_level,m2_growth,sp_close,sp_return,sp_next_return,tbill_wr,mich,mich_wr,metabolism_max,metabolism_min,cpi,log_cpi,cpi_wr,gdp_real,m2_yoy,cpi_yoy,gdp_yoy,m2_growth_lag,m2_yoy_lag,cpi_wr_lag,cpi_yoy_lag,gdp_yoy_lag,m2_13w_cum_lag,cpi_13w_cum_lag,tbill_13w_cum,sp_13w_cum,gdp_13w_proxy_lag,metab_13w,excess_liq_yoy_lag,bondpp_13w_lag,stockpp_13w_lag
1991-02-22,3296.1,-0.0014249119420424,365.6499938964844,0.08435708163283348,0.0130958980681274,0.0011429669833489,3.9,0.0007360151901392,0.0011429669833489,-0.0014249119420424,134.8,4.903792198478207,0.0,9951.916,0.0398775909392057,0.053125,-0.0095019739462584,0.0064075400771793,0.0373887802107655,0.0,0.053125,-0.0095019739462584,0.0077552904573137,0.008193714370309,0.0158328541565985,0.1487865068914065,-0.0023754934865646,0.0019370695735693,-0.0062342458429761,0.0137736261234731,0.1367709779753033
1991-03-29,3320.0,-0.0021062141079425,375.2200012207031,0.025835948844039353,0.0003730025713092,0.001106648541816,3.4,0.0006431832168731,0.001106648541816,-0.0021062141079425,134.8,4.903792198478207,0.0,9951.916,0.0425171136092445,0.0482115085536549,-0.0095019739462584,0.0041556311309486,0.0417945025358461,0.0,0.0482115085536549,-0.0095019739462584,0.0129756073824249,0.0044609739406249,0.0150304388221024,0.1323061955801057,-0.0023754934865646,0.0108901269283646,0.0030849679284495,0.0040873445167279,0.113425177485443
1991-04-26,3347.4,-0.007025511154523,379.0199890136719,0.010076421283755538,0.00468532570841,0.0010830054698596,3.3,0.0006245640000288,0.0010830054698596,-0.007025511154523,135.1,4.906015244966153,0.0,10029.51,0.041732798058071,0.0480993017843287,-0.005389307958117,0.008378479771691,0.0410175568743818,0.0,0.0480993017843287,-0.0095019739462584,0.0173714272756525,0.0029651615498345,0.0146005418671209,0.1202694517606275,-0.0023754934865646,0.0167817592123826,0.0024202290363114,-0.0021475211065778,0.0969267369743523
1991-05-31,3318.2,-0.004180268631929,389.8299865722656,0.02812176705926727,-0.0270406049208378,0.0010684417197766,3.1,0.0005872724738178,0.0010684417197766,-0.004180268631929,135.6,4.909709375506295,0.0,10029.51,0.04549751087025,0.043879907621247,-0.005389307958117,0.0005398596496062,0.0451255053116479,0.0,0.0503485670023238,-0.005389307958117,0.0103378005906912,0.0059171770280883,0.0141296461789642,0.0509382391189339,-0.0013473269895292,0.0057679505521322,0.0001662462674412,0.0082793735733147,0.043931946632014
1991-06-28,3330.5,-0.0086399437296685,371.1600036621094,-0.04907746586014916,0.0078363960367099,0.0010684417197766,3.1,0.0005872724738178,0.0010684417197766,-0.0086399437296685,136.0,4.912654885736052,0.0,10029.51,0.0426710913530774,0.0469591993841416,-0.005389307958117,0.0070692752382086,0.0454616077809888,0.0,0.0469591993841416,-0.005389307958117,0.0109682664411876,0.0088626872578458,0.0139205819887195,-0.0108792775171266,-0.0013473269895292,0.003452906172871,0.0038917163549643,0.0103776220121556,-0.0143858481881087
1991-07-26,3347.1,-0.0056307964835075,380.9299926757813,0.02598236563385919,0.0162740702734746,0.0010775453297828,3.3,0.0006245640000288,0.0010775453297828,-0.0056307964835075,136.2,4.914124393715412,0.0,10080.195,0.0413801686319654,0.0436781609195402,-0.0010280887034219,0.0085405747597328,0.0421517462866318,0.0,0.0436781609195402,-0.005389307958117,0.0020466585814485,0.0081091487492583,0.0138678367253381,0.0050266668329772,-0.0013473269895292,-0.0047151631782805,0.0038628933252087,0.0184988727669414,0.0097403899491051
1991-08-30,3339.1,-0.0040050265740911,395.4299926757813,0.03735814988482423,-0.0161373661935744,0.0010283355999611,3.1,0.0005872724738178,0.0010283355999611,-0.0040050265740911,136.6,4.91705694713669,0.0,10080.195,0.0343855518726186,0.0379939209726443,-0.0010280887034219,0.0005656698127822,0.0351542040237853,0.0,0.0379939209726443,-0.0010280887034219,0.0073787844684348,0.0073475716303947,0.0137657116601989,0.0142630496585347,-0.0002570221758554,0.0002882350138955,-0.001811628245437,0.0133836314002865,0.0138740958530512
1991-09-27,3332.5,-0.0084860221799236,385.8999938964844,-0.024395509143062644,-0.0121229248056373,0.0009899758873614,3.2,0.0006059270969978,0.0009899758873614,-0.0084860221799236,137.0,4.919980925828125,0.0,10080.195,0.031605993065874,0.0339622641509433,-0.0010280887034219,0.0078936412135773,0.0319657072872014,0.0,0.0339622641509433,-0.0010280887034219,0.0017817905765244,0.0073260400920727,0.0134775169386005,0.0389450063756209,-0.0002570221758554,-0.0052872273396927,-0.0009684681603199,0.0186887572709373,0.0435070355277756
1991-10-25,3356.0,-0.0021728462405608,384.2000122070313,-0.004414970620207232,0.0183623761988757,0.0009588677824992,3.0,0.0005686000964286,0.0009588677824992,-0.0021728462405608,137.2,4.921439715291784,0.0,10115.329,0.0335376181823781,0.0284857571214391,0.0116640116559105,0.0112434651339905,0.0292587378343636,0.0,0.0284857571214391,-0.0010280887034219,-0.003502630551202,0.0073153215763728,0.0130393827027006,0.0085476701215547,-0.0002570221758554,-0.0105609299517193,0.0018010694163463,0.0235721941491221,0.0191284379761251
1991-11-29,3359.5,-0.0046920558849312,375.2200012207031,-0.02365075823828702,0.0102875147535392,0.0008413106815647,3.2,0.0006059270969978,0.0008413106815647,-0.0046920558849312,137.8,4.925803358579558,0.0,10115.329,0.0301106920553153,0.0306656694091251,0.0116640116559105,0.0041269004432479,0.0327091365277523,0.0,0.0306656694091251,0.0116640116559105,0.0045435051211972,0.0087464114428685,0.0122700417379456,-0.0524612380015572,0.0029160029139776,-0.0071189092356489,-0.0096205445372834,0.019339744507094,-0.0467430635262582
1991-12-27,3380.5,-0.0043979468458005,406.4599914550781,0.0799729782706094,0.0311965358446871,0.0007471255706263,2.9,0.0005499099306713,0.0007471255706263,-0.0043979468458005,138.2,4.92870191133357,0.0,10115.329,0.0296670829399043,0.0298062593144561,0.0116640116559105,0.004785122112382,0.0331222601071601,0.0,0.0298062593144561,0.0116640116559105,0.0068598731456114,0.0087209855054446,0.0113564416975631,0.0519072494121157,0.0029160029139776,-0.0047771152738108,-0.0083480108632065,0.0160810035604246,0.0553935066295299
