date,y3,label_up,p_lgbm_last_seed
2016-07-31,-0.0218302324165629,0.0,2.6437340056622822e-05
2016-08-31,0.012833141273863369,0.0,0.0005623501749897043
2016-09-30,0.03254209944248743,0.0,2.7496432597108345e-05
2016-10-31,0.07182946728045847,0.0,0.018025622044087905
2016-11-30,0.07496319808987617,0.0,2.479260820120378e-05
2016-12-31,0.05533688947125537,0.0,5.989097255837642e-05
2017-01-31,0.04622020061168253,0.0,1.5421102964005723e-05
2017-02-28,0.02037542030036965,0.0,6.920608286123219e-06
2017-03-31,0.025686472438030572,0.0,2.5872631587839305e-05
2017-04-30,0.03611278391895367,0.0,2.5888224290082177e-05
2017-05-31,0.024815429266080935,0.0,1.9645116360265853e-05
2017-06-30,0.039593052266169604,0.0,8.405391218629808e-06
2017-07-31,0.04248874989388085,0.0,5.513700645200473e-05
2017-08-31,0.07117924573962675,0.0,1.345247645848949e-05
2017-09-30,0.06122586427624577,0.0,2.4640236693790203e-05
2017-10-31,0.09651454528303938,0.0,8.351380973906017e-05
2017-11-30,0.025022850318060286,0.0,4.175336742133006e-06
2017-12-31,-0.012245611334087081,0.0,1.5238144525341922e-05
2018-01-31,-0.06224215018667134,0.0,1.86419703089148e-05
2018-02-28,-0.0031542352864127876,0.0,0.002047890935604503
2018-03-31,0.02934638833451464,0.0,0.003684378500044481
2018-04-30,0.06353353869154721,0.0,0.004446059809773344
2018-05-31,0.07254359031931479,0.0,0.003992921191250903
2018-06-30,0.07195851000732523,0.0,0.06295644988269618
2018-07-31,-0.03712332443675703,0.0,1.4559089878613757e-05
2018-08-31,-0.04871587881688488,0.0,1.662719954947992e-05
2018-09-30,-0.1397160878047653,0.0,3.5725759872365626e-05
2018-10-31,-0.002817339643785277,0.0,0.0003615018965800851
2018-11-30,0.008811076508961735,0.0,0.0016891045071447798
2018-12-31,0.13066190315637094,1.0,0.0019842395166634144
2019-01-31,0.08939387291109058,0.0,0.0015727485023809414
2019-02-28,-0.011646632508775845,0.0,0.0013880005512144303
2019-03-31,0.03787754414368272,0.0,0.012941971333745148
2019-04-30,0.011728376644687843,0.0,1.5480051411581173e-05
2019-05-31,0.0633706745603746,0.0,0.0016511074986035551
2019-06-30,0.01189083417839254,0.0,0.0002509160666811159
2019-07-31,0.01918553272722079,0.0,0.2972919754216771
2019-08-31,0.07330358945438209,0.0,0.014559459815894325
2019-09-30,0.08534169591429364,0.0,0.22329947995389038
2019-10-31,0.06187859904390414,0.0,0.007419304406292806
2019-11-30,-0.05945915317096462,0.0,6.320068412507753e-06
2019-12-31,-0.20001050382463892,0.0,2.299757960587151e-05
2020-01-31,-0.09706654616768573,0.0,0.003354436749527263
2020-02-29,0.03049538923439843,0.0,0.9705335816466609
2020-03-31,0.1995287196944857,1.0,0.2631019928611935
2020-04-30,0.12315839143461127,1.0,0.2929544977626843
2020-05-31,0.14978763372435155,1.0,0.8009540262153453
2020-06-30,0.08473722059144562,0.0,0.3594249659787491
2020-07-31,-0.0003546663553880558,0.0,0.011523511068694554
2020-08-31,0.034659736477028025,0.0,0.00027466507737763447
2020-09-30,0.11688078155199988,1.0,0.00014529051430564385
2020-10-31,0.1358671159904663,1.0,0.11646524902917023
2020-11-30,0.052330035277948106,0.0,0.0017098333559745131
2020-12-31,0.0577251809132131,0.0,0.0016272751017407199
2021-01-31,0.12571345224549169,1.0,0.1230708735773638
2021-02-28,0.10310797817106088,1.0,0.006245344598369366
2021-03-31,0.08170629345361125,0.0,0.00047149453092236996
2021-04-30,0.05120333489197049,0.0,4.79910266142644e-05
2021-05-31,0.07577592471652528,0.0,2.26304819862742e-05
2021-06-30,0.0023362510907507517,0.0,0.00017109305145338312
2021-07-31,0.04780607481515298,0.0,0.00013956615288805653
2021-08-31,0.009799460164369167,0.0,4.670975754963174e-06
2021-09-30,0.10647379538196233,1.0,0.011208476652429649
2021-10-31,-0.01950546543624987,0.0,2.4696248500628063e-05
2021-11-30,-0.042272839630774994,0.0,0.01409416228057718
2021-12-31,-0.049467290542075215,0.0,4.4437505640860794e-05
2022-01-31,-0.08495524255053533,0.0,0.10330703097908388
2022-02-28,-0.05527968886211154,0.0,0.11105840679329348
2022-03-31,-0.16445095427169676,0.0,5.1047430239426965e-05
2022-04-30,-0.00039694202200302175,0.0,0.003453932712246403
2022-05-31,-0.042871121941454704,0.0,0.00034610236659708606
2022-06-30,-0.05277139198948233,0.0,3.9601568851032924e-05
