fold,lambda_reg,train_sh,a0,b0,lgbm_oos_r2,lgbm_oos_spearman,a_metabolism,a_ndx_52wh_ratio,a_ndx_in_range,a_ndx_return,b_metabolism,b_ndx_52wh_ratio,b_ndx_in_range,b_ndx_return,ann_ret,vol,sharpe_ex,sortino,calmar,mdd,mean_total,slope_l2,final_pp,mu_mean,mu_std
W1,0.0,1.4902290536619245,1.8365735667341596,2.7565459226612563,-0.6048030594018448,0.1639819004524887,-0.294218746614377,0.003925094261568237,-0.23560431370773496,0.0013387042554878327,0.06943818418513309,-0.399210002852856,-0.03213458571792528,0.012749479876677332,2.0692618000414775,5.843584862023084,0.36985056146255285,0.17661167966051144,0.3303979785065001,-6.262937229202109,1.2037037037037037,0.30747673062816794,1.0965473310264726,0.0012504031268917224,0.01341055467288596
W1,0.005,1.4903836482188537,1.8320805931279085,2.778264409640828,-0.6048030594018448,0.1639819004524887,-0.2911170341995889,0.056318669232609614,-0.32706182333428785,-0.008575533848237846,0.06416233954396483,-0.45760485181326443,-0.05871675773254978,0.049924520881868405,3.87722367350678,7.115690676475792,0.5620108763071199,0.3195660848946728,0.6190743307195383,-6.262937229202116,1.2222222222222223,0.4144230178115297,1.1867015285300202,0.0012504031268917224,0.01341055467288596
W1,0.02,1.4955228409336057,1.7870006242432026,2.707187795939548,-0.6048030594018448,0.1639819004524887,-0.23964811244709897,0.05009854965766993,-0.1755153533849333,0.036704275616220736,0.15564916890474328,-0.2247766480567068,-0.03479604575434744,0.07917491334671141,1.814394732833402,5.824879471118935,0.32787153127597635,0.1280801730378667,0.28970348359447856,-6.262937229202109,1.2037037037037037,0.17432456259555276,1.0842797004742342,0.0012504031268917224,0.01341055467288596
W1,0.05,1.4898606765877744,1.8401610171588236,2.678720037164488,-0.6048030594018448,0.1639819004524887,0.06948484310048528,0.06070705358240547,-0.0749734667847095,-0.07608491303371222,0.052389815409288804,-0.08255551457311416,-0.023116450426373527,0.09518280186458901,-1.3612926080025178,13.637464046758618,-0.0383169391507941,-0.014381937476687236,0.09483673621479809,-14.354064282845966,1.2222222222222223,0.0390776662845812,0.9401846923227533,0.0012504031268917224,0.01341055467288596
W1,0.1,1.489339958531239,1.804667284666359,2.576293967463165,-0.6048030594018448,0.1639819004524887,0.060332473581278946,-0.035960520230550574,0.03349971814475627,-0.00491154644966412,0.03943676368642056,-0.056447261318271484,-0.011550774709569701,0.07882536992937168,-1.3612926080025178,13.637464046758618,-0.0383169391507941,-0.014381937476687236,0.09483673621479809,-14.354064282845966,1.2407407407407407,0.017167931769278215,0.9401846923227533,0.0012504031268917224,0.01341055467288596
W1,0.3,1.4878701327625794,1.8676752278106465,2.647568047717993,-0.6048030594018448,0.1639819004524887,0.033998596534785784,-0.020895024056774843,0.06486787984699398,-0.004573040202772372,0.003188305894476313,0.004565554630834189,-0.005599108709660696,0.039318903877524757,1.3801979368389672,14.46935075327115,0.16119690966389208,0.08176317193249918,0.09615380770506879,-14.354064282845966,1.2592592592592593,0.00742959693324508,1.0636263959752326,0.0012504031268917224,0.01341055467288596
W1,1.0,1.4895817215966318,1.8072157467896204,2.600317393469864,-0.6048030594018448,0.1639819004524887,0.014318219283709892,-0.0129941195407481,0.03039636743986447,-0.020390892269487867,-0.004829922513978076,0.009539848646480444,-0.009738440325809467,0.017557994846897202,-1.3612926080025178,13.637464046758618,-0.0383169391507941,-0.014381937476687236,0.09483673621479809,-14.354064282845966,1.2222222222222223,0.002231043453892574,0.9401846923227533,0.0012504031268917224,0.01341055467288596
W2,0.0,1.5368181128798981,1.7797588721254038,2.6498005386437673,-0.048666218192106925,0.20027149321266965,-0.130020665745048,-0.09652171785354832,-0.32190507593876916,0.13916868627767706,-0.15163915027182073,-0.4053941678430521,-0.14838170525119826,0.07922389561525431,22.450387328858778,20.464341200385956,1.0362988534312254,0.7411477089879749,1.2102387453280992,-18.550378935994495,1.5416666666666667,0.3648450359996155,2.48783019398014,0.008179993940804105,0.01179203653883488
W2,0.005,1.536258158341203,1.8297477500022805,2.727270189873029,-0.048666218192106925,0.20027149321266965,-0.05971566812942828,-0.0912635086091216,-0.3222606240291606,0.11229718101694187,-0.06760447802351029,-0.4837141362247012,-0.07194106677528853,0.07295901049925782,22.450387328858778,20.464341200385956,1.0362988534312254,0.7411477089879749,1.2102387453280992,-18.550378935994495,1.5416666666666667,0.37740582102204445,2.48783019398014,0.008179993940804105,0.01179203653883488
W2,0.02,1.5205735954090494,1.8110523610375222,2.571597052391187,-0.048666218192106925,0.20027149321266965,-0.17985489269524024,0.06831995895149102,-0.14381897197544175,-0.04069070144258445,0.01738320247006175,-0.16230092403807272,-0.045684769554047905,0.14347936124484495,16.373214686694194,19.6716261797642,0.8090323049979076,0.5248034559613786,0.8826350525338429,-18.550378935994495,1.537037037037037,0.10867222004567484,1.9785117843706996,0.008179993940804105,0.01179203653883488
W2,0.05,1.5384849285644677,1.8328533005550807,2.771318573343763,-0.048666218192106925,0.20027149321266965,-0.00012577396866681308,-0.056252643783809154,-0.06166800202151996,0.05338673732012713,0.010297342415349558,-0.1883697361781524,0.10034535459654105,-0.00979248893716909,22.450387328858778,20.464341200385956,1.0362988534312254,0.7411477089879749,1.2102387453280992,-18.550378935994495,1.5,0.05557173774410959,2.48783019398014,0.008179993940804105,0.01179203653883488
W2,0.1,1.5391295834444576,1.7788696920262022,2.7215139730362954,-0.048666218192106925,0.20027149321266965,0.04155445240469628,-0.026991228293189503,-0.03048000117591176,0.05349275859251484,0.04443706898703937,-0.09193545754670188,0.07817138288059859,0.013940645210690722,25.823387640309313,19.69783378880324,1.2086907219319336,0.9085762701890177,1.3920679318416793,-18.550378935994498,1.462962962962963,0.02297769275778571,2.8114229281441125,0.008179993940804105,0.01179203653883488
W2,0.3,1.5504021765176432,1.7729823256444568,2.7224533182876964,-0.048666218192106925,0.20027149321266965,0.013531893338928767,-0.07197929299756799,0.0047286340635854,0.04441230736475761,0.027774437891423986,0.001409614700917631,-0.012408287542845538,0.02100211937117006,25.757564581115865,19.671168522965267,1.2073337503032608,0.8413255924309883,1.3885195914320003,-18.550378935994498,1.4814814814814814,0.008727404814951312,2.804810548458028,0.008179993940804105,0.01179203653883488
W2,1.0,1.5489019426853965,1.733567448064528,2.6599863387904894,-0.048666218192106925,0.20027149321266965,0.010435132179356255,-0.03111861760828617,0.01470103069152677,0.021518107011739823,0.014459502648812099,0.02533651731140656,0.022782161725995197,0.01094182009003525,25.757564581115865,19.671168522965267,1.2073337503032608,0.8413255924309883,1.3885195914320003,-18.550378935994498,1.4814814814814814,0.0032461762243275807,2.804810548458028,0.008179993940804105,0.01179203653883488
W3,0.0,1.7640214256562807,1.8531106480275623,2.81557256541997,-0.7809024865346972,-0.026153846153846153,-0.15318729187613267,-0.16782676492070045,-0.07868812924093996,0.09619976940434657,-0.2713535460408829,-0.4997751817758337,0.11151293450097503,0.02765501647786944,9.177806447718439,14.619960194174492,0.42892706006381814,0.23834157273418266,0.5420764285845713,-16.930834774872665,1.1111111111111112,0.40368630049841897,1.484583535637795,-0.005148331027370761,0.012727944595651571
W3,0.005,1.7645771799285488,1.791388206372373,2.7330707812829957,-0.7809024865346972,-0.026153846153846153,-0.14103127287758221,-0.007376461844996138,-0.13133205233059916,0.04510810562275669,-0.24804402377728038,-0.24544545979476975,0.027266059938022252,-0.06900184257813782,9.177806447718439,14.619960194174492,0.42892706006381814,0.23834157273418266,0.5420764285845713,-16.930834774872665,1.1111111111111112,0.16650108505027467,1.484583535637795,-0.005148331027370761,0.012727944595651571
W3,0.02,1.7615140735752344,1.8525365499981148,2.8201838390187532,-0.7809024865346972,-0.026153846153846153,-0.0592622801136867,0.03262913572982493,-0.174515278599754,0.07868540957975023,-0.1338196810105371,-0.17985962550338763,-0.041934915316200076,-0.012111934875561566,9.177806447718439,14.619960194174492,0.42892706006381814,0.23834157273418266,0.5420764285845713,-16.930834774872665,1.1111111111111112,0.09338608248921867,1.484583535637795,-0.005148331027370761,0.012727944595651571
W3,0.05,1.7610180317902202,1.8143808901929277,2.758146690590164,-0.7809024865346972,-0.026153846153846153,0.0336022323012615,0.036637696098623905,-0.018278408068186966,0.08777965461524198,-0.007854190357854595,-0.07492122880693472,0.06621196006644567,0.013627313732767772,9.177806447718439,14.619960194174492,0.42892706006381814,0.23834157273418266,0.5420764285845713,-16.930834774872665,1.0740740740740742,0.020755404924451756,1.484583535637795,-0.005148331027370761,0.012727944595651571
W3,0.1,1.760816929035915,1.7244197561568,2.626508280229042,-0.7809024865346972,-0.026153846153846153,0.025065791517978147,0.008848463849464094,0.002706103901638035,0.07579749467394731,0.0021414812719676045,-0.046121772225324646,0.022289272955019063,-0.007397711354838902,9.177806447718439,14.619960194174492,0.42892706006381814,0.23834157273418266,0.5420764285845713,-16.930834774872665,1.0740740740740742,0.009142514051487322,1.484583535637795,-0.005148331027370761,0.012727944595651571
W3,0.3,1.7601682288406113,1.7958346491367974,2.7343073233419415,-0.7809024865346972,-0.026153846153846153,0.013306321413708308,-0.005829287782307643,0.020666451149064263,0.057489389535619925,-0.009431089654158675,0.002573562551539077,0.007945232278474662,-0.013370392674373614,9.177806447718439,14.619960194174492,0.42892706006381814,0.23834157273418266,0.5420764285845713,-16.930834774872665,1.0740740740740742,0.004280633690386101,1.484583535637795,-0.005148331027370761,0.012727944595651571
W3,1.0,1.7600925653669754,1.767541624563614,2.718605979169933,-0.7809024865346972,-0.026153846153846153,0.010634408352743851,-0.00013114362446427832,0.008168092544924305,0.040193678995563226,0.0003495497660846039,0.000528000531931819,0.015563655737968682,-0.01691474948642087,9.177806447718439,14.619960194174492,0.42892706006381814,0.23834157273418266,0.5420764285845713,-16.930834774872665,1.0740740740740742,0.002324094506403045,1.484583535637795,-0.005148331027370761,0.012727944595651571
