epoch,train_step,train_sp_return,train_margin_chg,val_step,val_sp_return,val_margin_chg,nll_window,nll_step_channel,z_mean,z_std,ks_stat,ks_p,logdet_mean,logdet_std,elapsed_s
1,24.44179350760003,3.507192981277956,45.376397234297514,4.633940166766827,0.45270894681490387,8.815171424278846,481.92977734375,4.633940166766827,1.8954530954360962,2.585002899169922,0.4387407570587194,0.0,-300.1602478027344,41.9399528503418,13.27918529510498
2,-0.3378918068008893,-0.6806734955750617,0.004889902170377932,-0.5234545522836538,-1.1531690204326923,0.10625991351787861,-54.4392734375,-0.5234545522836538,-0.5449052453041077,0.36760425567626953,0.5371406829490235,0.0,-352.74517822265625,26.30278968811035,23.030715703964233
3,-0.9561726715507206,-1.397221427503943,-0.5151239160102102,-1.093136005108173,-0.6476808143028846,-1.5385911207932692,-113.68614453125,-1.093136005108173,0.4071163237094879,1.2835958003997803,0.2205345670640113,0.0,-619.667724609375,23.453594207763672,33.59397077560425
4,0.07352223634126576,-0.21729864367904259,0.3643431162583961,-1.1523948505108172,-1.1482645545372596,-1.156525108924279,-119.849064453125,-1.1523948505108172,0.3191068172454834,0.363272488117218,0.3702890369350279,0.0,-457.55743408203125,22.77342414855957,39.949299573898315
5,-0.7322743878173168,-0.38679900618712776,-1.0777497746064062,-1.1068959209735576,-0.9881118915264423,-1.2256799879807692,-115.11717578125,-1.1068959209735576,0.07552459836006165,1.161709189414978,0.24284777589985085,0.0,-568.839599609375,11.212684631347656,44.2768452167511
6,-0.3670098935062978,0.5243749184150865,-1.2583946360920617,-1.5896191781850961,-0.9173932354266827,-2.2618450646033654,-165.32039453125,-1.5896191781850961,0.08479798585176468,0.5022327303886414,0.2677100870332587,0.0,-546.2967529296875,21.124267578125,48.36890196800232
7,-1.2497118884165745,-1.3340452813900976,-1.165378499982884,-0.22092632821890026,-1.5558949068509615,1.114042236328125,-22.976338134765626,-0.22092632821890026,-1.1005219221115112,1.656351089477539,0.3736616135441677,0.0,-655.599853515625,15.342140197753906,52.58104062080383
8,-1.1184196575345975,-0.9324255826397658,-1.304413695285347,-2.029584172175481,-2.0239169170673077,-2.03525146484375,-211.07675390625,-2.029584172175481,0.09271929413080215,0.799162745475769,0.17039891113925357,0.0,-685.410888671875,9.42296314239502,56.61542630195618
9,-1.655816259469793,-1.730381631443643,-1.5812508821306865,-1.9966328500600963,-2.2458476186899037,-1.7474181941105769,-207.64981640625,-1.9966328500600963,-0.5043575763702393,0.7651687860488892,0.23152267294724188,0.0,-709.357177734375,33.85520935058594,60.85036659240723
10,-1.828821142836978,-1.9139722679441113,-1.7436699748077937,-2.095785118689904,-1.943994403545673,-2.247575646033654,-217.96165234375,-2.095785118689904,-0.634000837802887,0.8096681833267212,0.338933119968711,0.0,-733.8501586914062,22.250179290771484,64.8540666103363
11,-2.06893106369981,-2.2445595805345513,-1.8933025617227015,-2.2562815880408653,-2.470741248497596,-2.041822002704327,-234.65328515625,-2.2562815880408653,0.23642003536224365,1.0467023849487305,0.1130211745114047,4.180288168664862e-145,-783.3134155273438,11.93194580078125,69.22760534286499
12,-2.1158326423543494,-2.1620461227547407,-2.0696192065268564,-2.296827899639423,-2.0217349947415864,-2.5719207857572117,-238.8701015625,-2.296827899639423,-0.6358186602592468,1.205698847770691,0.30415839396636907,0.0,-860.8740234375,7.900325298309326,73.54680514335632
13,-2.3090745809724886,-2.1949295775271023,-2.4232195547026087,-2.1953739858774037,-1.5809810697115385,-2.8097669771634615,-228.31889453125,-2.1953739858774037,-0.8463971018791199,1.0715091228485107,0.37787741257458746,0.0,-844.1626586914062,9.917362213134766,77.90132856369019
14,-2.306713259015057,-2.1556335733164627,-2.4577929232526263,-2.7136585787259615,-2.4461829176682692,-2.9811343900240383,-282.2204921875,-2.7136585787259615,-0.20826704800128937,1.106799602508545,0.14625512411374353,3.6836880425430247e-243,-889.1802368164062,6.755173683166504,81.82579016685486
15,-2.1651487638330504,-2.2441720819106985,-2.0861253161638262,-2.614621694711538,-2.2413438251201923,-2.9878995643028845,-271.92065625,-2.614621694711538,0.13451656699180603,0.7669702768325806,0.19201239161413688,0.0,-796.0497436523438,13.547813415527344,85.91532063484192
16,-2.231304478647904,-2.2333749079619163,-2.229233993205056,-2.5960302734375,-2.6823138146033654,-2.509746844951923,-269.9871484375,-2.5960302734375,0.20554763078689575,0.677881121635437,0.24339666197549417,0.0,-787.7345581054688,11.680913925170898,89.8216061592102
17,-2.2553938226267514,-2.2465740427960053,-2.2642135793456237,-2.5959304011418274,-2.6306476862980768,-2.561213115985577,-269.97676171875,-2.5959304011418274,0.18594728410243988,0.9427916407585144,0.17902759808812718,0.0,-828.7354736328125,8.191217422485352,93.74416375160217
18,-2.4845320848008714,-2.335954232996423,-2.6331098887307243,-2.541728515625,-2.4107532677283654,-2.6727038762019233,-264.339765625,-2.541728515625,0.05023544654250145,1.1512166261672974,0.03512125913149916,2.285518839189534e-14,-859.9534912109375,10.079032897949219,97.75781798362732
19,-2.5370054524607517,-2.406573102340855,-2.6674378289942178,-2.8382562349759612,-2.672174353966346,-3.004338191105769,-295.1786484375,-2.8382562349759612,0.12570597231388092,0.7598167657852173,0.17903809073805416,0.0,-843.0908813476562,5.672552585601807,101.61713004112244
20,-2.554929397122421,-2.4188508757339804,-2.6910079894973307,-2.815063551682692,-2.5539796424278847,-3.0761473858173076,-292.766609375,-2.815063551682692,0.12133847177028656,0.6876760721206665,0.20547786557723063,0.0,-828.8256225585938,10.903191566467285,105.92612266540527
21,-2.498610781601829,-2.374082778886091,-2.6231388041277435,-2.7774017803485576,-2.5493609525240384,-3.0054425330528844,-288.84978515625,-2.7774017803485576,0.04334172233939171,1.039836049079895,0.11530536975190125,4.978342347973549e-151,-884.0948486328125,18.011760711669922,109.73991894721985
22,-2.3225703368929316,-2.297532552611605,-2.3476081211742588,-2.8710445462740384,-2.6173345853365384,-3.124754657451923,-298.5886328125,-2.8710445462740384,0.02289147861301899,0.8866699934005737,0.10260618373301258,1.3022159280161985e-119,-871.126708984375,8.756457328796387,113.50875759124756
23,-2.4738542192957045,-2.4006420359600678,-2.5470664290449108,-2.802981295072115,-2.5914747596153846,-3.014488055889423,-291.5100546875,-2.802981295072115,0.43762996792793274,0.8654325008392334,0.2987630539617213,0.0,-876.9439697265625,8.793237686157227,117.38330483436584
24,-2.7131748267560374,-2.4133472007215766,-3.0130024825057644,-3.0350751953125004,-2.7044766376201923,-3.3656736778846152,-315.6478203125,-3.0350751953125004,-0.017856275662779808,0.8541656732559204,0.11820265821937265,1.0240200115394116e-158,-901.3206787109375,8.085992813110352,121.09682416915894
25,-2.6222501608454327,-2.420303382696069,-2.8241968795642647,-2.970772536057692,-2.6654108323317307,-3.2761343900240383,-308.96034375,-2.970772536057692,-0.20388619601726532,0.9763591885566711,0.18136526355170945,0.0,-914.2609252929688,10.167550086975098,124.9295756816864
26,-2.2821354934641205,-2.1736692638865645,-2.3906016322450307,-2.946828125,-2.6655957782451924,-3.228060471754808,-306.470125,-2.946828125,-0.12290865182876587,0.9690415859222412,0.12613317021368808,9.580124471937334e-181,-903.5350952148438,6.658683776855469,128.6390826702118
27,-2.663303956755387,-2.4270708842877506,-2.8995369945552123,-2.744298377403846,-2.4839403545673076,-3.0046566256009615,-285.40703125,-2.744298377403846,0.16423934698104858,1.1877995729446411,0.14191682500964267,6.551891070308977e-229,-913.3214721679688,7.687522888183594,132.34788537025452
28,-2.685686835553447,-2.420689542482106,-2.950684115418002,-2.5404213115985574,-2.4950264423076924,-2.585816256009615,-264.20381640625,-2.5404213115985574,0.4199707508087158,0.9699301719665527,0.18346625784874043,0.0,-838.4275512695312,4.341580390930176,136.12480282783508
29,-2.7456873722771835,-2.467259467402591,-3.02411533493146,-2.8474783278245193,-2.6247171349158656,-3.070239483173077,-296.13774609375,-2.8474783278245193,0.07229160517454147,0.9312111139297485,0.16078326179945934,4.5205566072128315e-294,-877.125732421875,7.654512405395508,139.84122490882874
