date,k_qoq_pct,trend,long,mid,short
1985-06-30,0.728510833367868,0.012168069002364603,0.5420484493830148,-0.2163284912850855,0.39062280626757484
1985-09-30,-0.37883754146268434,-0.04998459143514085,0.5393770829009384,0.0728069778722824,-0.9410370108007641
1985-12-31,0.2620666706668162,-0.11287623021141285,0.5266671300469408,0.23230606535663237,-0.38403029452534415
1986-03-31,0.6248990392346387,-0.17626415465602832,0.5038724751927404,0.21091593051791155,0.08637478818001543
1986-06-30,1.9102883278474092,-0.2432352502659966,0.46810900188300253,0.2527338256231322,1.4326807506072714
1986-09-30,0.3556175014210128,-0.31294229147037145,0.4189241278129874,0.2854945417075925,-0.03585887662919518
1986-12-31,2.4880034901079373,-0.3716644253317681,0.36310620580573416,0.24866588285843905,2.2478958267755322
1987-03-31,-2.2955999013083206,-0.4183615776642308,0.30028405346245757,0.1609710626389775,-2.3384934397455255
1987-06-30,-1.7398076701001464,-0.4588689977029209,0.22635522450212492,-0.006994731174655737,-1.5002991657246951
1987-09-30,-1.2311422524130755,-0.48930322555685335,0.14257066286499379,-0.26789745282908567,-0.6165122368921304
1987-12-31,-0.2978673925350117,-0.5182950568749889,0.04353162105546449,-0.4044339939157397,0.5813300372002522
1988-03-31,0.36401137998844924,-0.5461083247944337,-0.07177292393990135,-0.40885453727608556,1.39074716599887
1988-06-30,-1.2873993794451977,-0.5649062360920997,-0.2000386937075329,-0.3977976704180958,-0.12465677922746954
1988-09-30,-1.484202690957248,-0.5762769414264518,-0.34296026994124673,-0.3184271513251909,-0.24653832826435884
1988-12-31,-0.25222845642729474,-0.5889819630065541,-0.41855894671055016,-0.21979406107137983,0.9751065143611892
1989-03-31,-2.231118536376775,-0.6026409827711536,-0.41848188892722177,-0.10920114212459373,-1.1007945225538065
1989-06-30,-1.7246588553658238,-0.6139185589999786,-0.38270311531500845,0.08159056222089323,-0.80962774327173
1989-09-30,0.670087315740231,-0.624787186675099,-0.2876369364798793,0.3441000897111346,1.2384113491840751
1989-12-31,1.6170391761156422,-0.6277489601723528,-0.18021767582469328,0.47890406349428866,1.9461017486183996
1990-03-31,-2.137288242552182,-0.6222032164884433,-0.06266254912075121,0.47945973338308956,-1.9318822103260778
1990-06-30,-1.0614531924893589,-0.613364033387473,0.10980492904659106,0.43752472476821797,-0.9954188129166952
1990-09-30,-0.9171694700742417,-0.5994113328412293,0.328437933604797,0.30243690544280083,-0.9486329762806105
1990-12-31,1.528053321502365,-0.5908462319532977,0.42981475362165544,0.16947236515425346,1.519612434679754
1991-03-31,0.8859443998319616,-0.5891477216557629,0.40459390103926873,0.045002379038492815,1.0254958414099624
1991-06-30,-1.3381342257333229,-0.5879522523559315,0.3250587519098023,-0.16160665345722752,-0.9136340718299663
1991-09-30,-1.3803225362143623,-0.5903126437141868,0.1470411619518346,-0.4316331231215325,-0.505417931330478
1991-12-31,0.2905447912005643,-0.591226877923136,-0.022060362550461177,-0.5243997920278733,1.4282318237020346
1992-03-31,-1.3280719525747609,-0.5902027734050053,-0.176518886845928,-0.4296068279213995,-0.13174346440242818
1992-06-30,-2.6848699977291335,-0.5924418249139901,-0.40848721202906424,-0.24993653923548897,-1.434004421550591
1992-09-30,-1.253218147660673,-0.5969349089753455,-0.6960656749987617,0.07834399181313281,-0.038561555499699
1992-12-31,-0.29133600624322575,-0.5940080269138929,-0.8679027294257133,0.24623040541596564,0.9243443446804143
1993-03-31,-1.851671393261789,-0.5835274868009868,-0.919477923718846,0.22991263850048788,-0.5785786212424449
1993-06-30,-0.9160376274090609,-0.5695027224462944,-0.9177809171080709,0.23399190260223635,0.3372541095430674
1993-09-30,-0.8391189806737698,-0.5495079278512393,-0.818017053585445,0.18213168547295228,0.346274315289962
1993-12-31,-0.11243516074165294,-0.5305451407147983,-0.7441730621047393,0.11148125921328796,1.0508017828645966
1994-03-31,-2.262591887089882,-0.5130710143538544,-0.7020616417451689,0.03867076952930884,-1.0861300005201686
1994-06-30,-2.1090454052436924,-0.4915849848281956,-0.5912199372274888,-0.11642024612697556,-0.9098202370610339
1994-09-30,-1.57053187197157,-0.4676354481937783,-0.4373692420594384,-0.34563635520844826,-0.3198908265099054
1994-12-31,-0.23654466451127343,-0.44716610484391667,-0.3291270961286469,-0.3908097472295967,0.9305582836908866
1995-03-31,-1.6044052578789603,-0.4301486528753619,-0.2623486370984537,-0.24244317881938082,-0.6694647890857645
1995-06-30,0.10856285963338763,-0.41488342162324593,-0.21192066394868586,-0.020047919278281718,0.7554148644836007
1995-09-30,0.04558893398574071,-0.4029191536720981,-0.1989555520550063,0.34234315477178956,0.3051204849410555
1995-12-31,0.9987333964153411,-0.3894982903026043,-0.14508633363149848,0.4470863659080879,1.0862316544413557
1996-03-31,-0.9301461432910552,-0.37453596821019786,-0.047046834488977174,0.2577607106013737,-0.7663240511932543
1996-06-30,-1.9508339404068153,-0.3617777311045189,0.03876355779245086,0.020432053657006847,-1.6482518207517542
1996-09-30,-0.9074161072366027,-0.3502963399878084,0.12943159124053127,-0.36894195825240067,-0.3176094002369252
1996-12-31,1.1874230994466162,-0.3377881073927001,0.19133749102483666,-0.5128058085828661,1.8466795243973455
1997-03-31,-0.0012592855052062646,-0.32453467951316733,0.2150827970060546,-0.3621732629442624,0.4703658599461696
1997-06-30,-1.6811343545234392,-0.3110656484582538,0.22855440575145497,-0.19374243985811887,-1.4048806719585216
1997-09-30,-0.7243965917923423,-0.2969067782415396,0.22061023497294877,0.09876614196651892,-0.74686619049027
1997-12-31,1.9273985437785468,-0.28450802817079246,0.19625051831361626,0.3082700659266708,1.7073859877090525
1998-03-31,0.4298925938615694,-0.2740127348028809,0.15703175042886955,0.398643127252264,0.14823045098331689
1998-06-30,-0.7697333915760884,-0.2638620739106024,0.09007248141865642,0.5581537848923394,-1.1540975839764818
1998-09-30,-0.019808000706311724,-0.25464331847048916,-0.004174269336164049,0.7323303180889864,-0.4933207309886447
1998-12-31,2.1365911274196625,-0.24029074447892773,-0.029627581579554696,0.6724194681249057,1.7340899853532394
1999-03-31,-0.13075171886586245,-0.22008391538466537,0.020315987848616324,0.3729414937926557,-0.3039252851224692
1999-06-30,-1.106117285759145,-0.19733545325677412,0.09974684144834312,-0.09225849177288542,-0.9162701821778285
1999-09-30,-1.264946096496633,-0.1702995933951526,0.2346997559824992,-0.7910443387038496,-0.5383019203801297
1999-12-31,1.1565034436213706,-0.14214369636007615,0.36578676623926226,-1.0774348401246239,2.0102952138668084
2000-03-31,-0.39638745394048325,-0.11309494636951371,0.48915878035547766,-0.9031643104277736,0.13071302250132666
2000-06-30,-2.582421439986371,-0.08001298015347184,0.6570451686300942,-0.6381953938236327,-2.521258234639361
2000-09-30,0.7939794226310859,-0.04351301112370188,0.8571520093886382,-0.11485330755918093,0.09519373192533054
2000-12-31,2.009402168203067,-0.00849935614770578,0.9676569382094963,0.17637236826333982,0.873872217877937
2001-03-31,2.1183215770018027,0.025043460427841786,0.9834945458856477,0.17898387037158253,0.9307997003167305
2001-06-30,-0.7492870753790459,0.059104757900777044,0.9542019008013305,0.27048449162444776,-2.0330782257056006
2001-09-30,3.9865955065264025,0.09249301070221397,0.8472235803073886,0.3275239170966999,2.7193549984201004
2001-12-31,3.0468670920592356,0.1289421234450258,0.7466351079617665,0.3761354245600495,1.795154436092395
2002-03-31,-1.2265631044263592,0.1687160504672243,0.6561968726654582,0.45202755658377364,-2.5035035841428157
2002-06-30,-0.8076760094900992,0.20899325273460836,0.5055027724179268,0.444841055021074,-1.9670130896637092
2002-09-30,0.8892887536222638,0.2506272759715586,0.31155590290383434,0.365216574060003,-0.038110999313132
