epoch,train_step,train_sp_return,train_margin_chg,val_step,val_sp_return,val_margin_chg,nll_window,nll_step_channel,z_mean,z_std,ks_stat,ks_p,logdet_mean,logdet_std,elapsed_s
1,2.242166609342617,1.9988107108636477,2.4855223113706613,-0.65822119140625,-0.4833565016526442,-0.8330859750600962,-68.45500390625,-0.65822119140625,0.3745158016681671,0.3704025447368622,0.3723522491932236,0.0,-370.39935302734375,57.52393341064453,7.671077251434326
2,-0.6525254918682127,-0.8688017999817641,-0.4362491111173447,-0.7817118013822115,-0.8162121018629808,-0.74721142578125,-81.29802734375,-0.7817118013822115,0.03801289200782776,0.4510754644870758,0.20831798079384833,0.0,-389.4403991699219,70.70667266845703,14.487521648406982
3,-1.5050783207905856,-1.6833425602535788,-1.3268140020868833,-1.2530475510817307,-1.5988511117788462,-0.9072440655048077,-130.3169453125,-1.2530475510817307,-0.1965416967868805,0.4849579930305481,0.23643677710513877,0.0,-490.63690185546875,57.20298767089844,22.23783302307129
