fold,strategy,alpha,beta,lambda,ann_ret,vol,sharpe,sortino,calmar,mdd,final_pp,min_pp,died_step,mean_ws,mean_wb,mean_total
W1,Evolved,1.9718392446003097,2.088821869987157,1.0593266543949729,20.400121523642255,16.42108081864559,1.2212397089558664,1.252157907127526,1.1229445092613022,-18.16663366301324,1.699661135450033,1.0,-1.0,1.3559322033898304,0.0,1.3559322033898304
W1,Kahneman,1.0,2.25,2.25,0.06035492815279486,0.012200839344271443,4.945478040342678,17418.364053516347,0.0,0.0,0.684281796182921,0.684281796182921,10.0,0.0,1.0,1.0
W1,Symmetric,1.0,1.0,1.0,19.5973490456415,18.93547325853929,1.0468921749154931,1.0211987461951684,0.7352084749067812,-26.655499378086322,1.6446655614134535,0.9779866286533936,-1.0,1.4915254237288136,0.0,1.4915254237288136
W1,B&H,,,,15.197804197348287,11.429243439655457,1.3017843008986176,1.4152359527003053,0.8925398504951852,-17.027591752812466,2.0049366510041624,,,,,
W1,50/50,,,,7.556676458273004,5.715499519451392,1.306862909628654,1.4225454985538952,0.8598798421083096,-8.788060945521238,1.430706076368945,,,,,
W2,Evolved,1.8697059332337858,2.299509403646426,1.229877577416287,5.662940997537946,18.59290308841904,0.39292106573597146,0.27655011304220206,0.16893805242319093,-33.52081379127209,0.8085533612111346,0.8085533612111346,55.0,1.11864406779661,0.15254237288135594,1.271186440677966
W2,Kahneman,1.0,2.25,2.25,1.145185036762264,0.23407615239731916,4.868037661049365,197.3657216827977,687.1110220605898,-0.0016666666666588286,0.6522329528912619,0.6522329528912619,8.0,0.0,1.0,1.0
W2,Symmetric,1.0,1.0,1.0,15.141893527151918,21.392853952011095,0.7719203107543444,0.6337417121532708,0.5467368081698648,-27.6950322365117,1.2335388367717819,0.966432238434909,-1.0,1.4576271186440677,0.0,1.4576271186440677
W2,B&H,,,,10.839587534643336,14.551392011564246,0.7838219837932855,0.6272346432436289,0.5419509139453516,-20.0010503824639,1.6586315793187463,,,,,
W2,50/50,,,,6.176314490524071,7.259326732447624,0.8640741036498213,0.6807900296405686,0.6108554539207497,-10.110926326157292,1.3426699257866141,,,,,
W3,Evolved,2.085810524609255,2.4526237517298433,1.1758612408906628,5.293451178393371,11.02773023834516,0.5243720941894214,0.38408873890399853,0.23775993979496007,-22.263848077007207,0.9062390909579957,0.9021637053432146,1.0,0.5084745762711864,0.576271186440678,1.0847457627118644
W3,Kahneman,1.0,2.25,2.25,2.966341937522343,0.641440620117882,4.565993277419425,845475.6484403904,0.0,0.0,0.811934971504625,0.811934971504625,5.0,0.0,1.0,1.0
W3,Symmetric,1.0,1.0,1.0,13.15684009002731,28.3314099884891,0.5822410509904544,0.5492579072373578,0.2717494424659332,-48.41533425289977,1.2913186508231385,0.6443033164501772,1.0,1.6779661016949152,0.0,1.6779661016949152
W3,B&H,,,,12.839867860643771,15.938644360499815,0.8414097143074072,0.8360887371916925,0.5183736584307919,-24.769522239058805,1.8110938832846164,,,,,
W3,50/50,,,,8.138663811378134,8.004700132404992,1.0206343452511244,1.056115506235587,0.6538097703596062,-12.448060858591536,1.469174037755416,,,,,
