case,pct,strat,ret,vol,sharpe,sortino,mdd,action
Sym (1:1),90-99th,orig,4.568016291830168,2.5297564866861353,0.7667356147977533,1.5368851153849343,-0.5608540441787804,0.053770085175832115
Sym (1:1),90-99th,contra,19.24923239377785,21.925358768808696,0.8114250556486805,0.8046766105525166,-32.967487210504785,0.9462299148241679
Sym (1:1),50-90th,orig,3.6044169538632653,1.7819198639415206,0.5550611416396483,0.6274832065811408,-0.8864366879765813,0.03235433025596043
Sym (1:1),50-90th,contra,20.33452217299225,21.93236492643757,0.8545072746635238,0.8557970618664328,-32.593535175689034,0.9676456697440395
Loss 2x,90-99th,orig,4.603166701781536,2.853910563561184,0.6945766516940473,1.0695131541813552,-1.5098180666742709,0.08358330108846228
Loss 2x,90-99th,contra,19.340992856083126,21.434766572291334,0.8280090268711487,0.8419830651235988,-31.223741903418862,0.9164166989115378
Loss 2x,50-90th,orig,3.237127899001435,1.726010646419478,0.36497051054340524,0.45375026591841616,-0.7637266060064993,0.02891912514072222
Loss 2x,50-90th,contra,20.66076977123279,22.343424158047693,0.8548598787844724,0.8694838046711068,-32.704493810204724,0.9710808748592777
Loss 3x,90-99th,orig,4.818058148675375,2.962430210968185,0.7402882226598648,0.9085598753046875,-2.21888712920035,0.1013794740041097
Loss 3x,90-99th,contra,19.166736817043972,21.174559653414928,0.8282291554405904,0.846129560531806,-30.525522709992437,0.8986205259958903
Loss 3x,50-90th,orig,3.7493973443982087,1.9956646071137327,0.5682699239967671,0.9075126379161921,-0.5857795841790947,0.033520507936676346
Loss 3x,50-90th,contra,20.124906669489427,22.137489164503418,0.8400394254926048,0.8413998044488114,-32.94037634287933,0.9664794920633236
Gain 2x,90-99th,orig,4.144063162454392,2.1184782393884722,0.717413030274869,1.2272937493237217,-0.430447728972533,0.04098685923963785
Gain 2x,90-99th,contra,19.71473935459178,21.965940423963385,0.8290387577054587,0.8223749582634332,-32.967487210504785,0.9590131407603621
Gain 2x,50-90th,orig,4.147575550549454,2.2415669607262863,0.6806795732332205,1.3550959074071711,-0.2537211498962194,0.028648813255131245
Gain 2x,50-90th,contra,19.77567075812454,21.60441583232376,0.8426356515859948,0.8203409823120146,-32.96748721050478,0.9713511867448688
Gain 3x,90-99th,orig,3.87825139206317,2.0480256794301295,0.6153626085775672,1.2039556481062816,0.0,0.02747237744430701
Gain 3x,90-99th,contra,19.991576320863214,22.00056993915529,0.8395310430938301,0.8257630924125976,-32.96748721050478,0.972527622555693
Gain 3x,50-90th,orig,3.762124487112195,2.3015091102078813,0.500796166403835,1.0707346303407452,0.0,0.015157686546444893
Gain 3x,50-90th,contra,20.163005157133252,21.748838207104427,0.8541997847407576,0.8305777581737783,-32.967487210504785,0.9848423134535551
Base,-,B&H,21.295777322657415,22.6799446391647,0.8699509706974508,0.8821075598446425,-32.96748721050478,1.0
Base,-,50/50,12.338648067267254,11.410361552971885,0.8645843412852628,0.9254986477897635,-16.980788624192673,0.5
