epoch,train_nll_win,train_nll_step,val_nll_win,val_nll_step,z_mean,z_std,ks_p,logdet_mean,logdet_std,lr,elapsed_sec
1,38.66030091706966,0.7434673253282628,-62.79968532986111,-1.207686256343483,0.2057013213634491,0.46025028824806213,0.0,-235.3972625732422,10.324756622314453,9.999383162408304e-05,6.951637029647827
2,-76.14702358862328,-1.4643658382427556,-88.42033962673611,-1.7003911466680022,0.3582669794559479,0.42708101868629456,0.0,-289.0900573730469,6.244826793670654,9.997532801828658e-05,13.83580231666565
3,-96.56565780714374,-1.8570318809066104,-120.5684841579861,-2.3186246953458864,-0.19117365777492523,0.5301162004470825,0.0,-353.0701904296875,5.160507678985596,9.994449374809851e-05,22.5867600440979
4,-110.57150426971107,-2.126375082109828,-126.07466905381945,-2.424512866419605,0.02368307113647461,0.5800648331642151,8.562830404179364e-183,-364.48468017578125,4.028477668762207,9.990133642141359e-05,32.79880237579346
5,-115.38655375780485,-2.218972187650093,-120.06611328125,-2.3089637169471153,0.10117224603891373,0.5007640719413757,0.0,-348.57269287109375,4.836986541748047,9.98458666866564e-05,44.164337396621704
6,-117.55034987910138,-2.26058365152118,-121.52915852864584,-2.3370992024739583,0.30884742736816406,0.5392095446586609,0.0,-357.87158203125,4.541628837585449,9.9778098230154e-05,55.12180280685425
7,-118.55245317091087,-2.2798548686713627,-134.82591145833334,-2.5928059895833333,0.050636015832424164,0.7500858902931213,8.918623586183027e-94,-393.2842102050781,4.9880146980285645,9.9698047772759e-05,66.25828075408936
8,-121.2980098593597,-2.332654035756917,-127.41663411458333,-2.45031988681891,-0.26702818274497986,0.6112650036811829,0.0,-372.4366760253906,5.5681562423706055,9.96057350657239e-05,78.40862822532654
9,-122.33283755968414,-2.352554568455464,-127.27821723090278,-2.4476580236712073,-0.4802541732788086,0.6937904357910156,0.0,-385.68798828125,6.604828357696533,9.950118288582787e-05,89.74559617042542
10,-122.679348429083,-2.359218239020827,-124.53087022569444,-2.394824427417201,0.09193393588066101,0.5343527793884277,1.1207429081897386e-282,-359.1415100097656,5.714911937713623,9.938441702975689e-05,100.84534859657288
11,-122.82814221657688,-2.3620796580110937,-123.42070583767361,-2.373475112262954,-0.1477668434381485,0.5130215883255005,0.0,-356.7052001953125,6.3261823654174805,9.925546630773869e-05,112.56347727775574
