epoch,train_step,val_step,nll_window,nll_step_channel,z_mean,z_std,ks_stat,ks_p,logdet_mean,logdet_std,elapsed_s
1,4.619488932706237,1.0394993126219998,54.05396425634399,1.0394993126219998,-0.22201472520828247,0.16519014537334442,0.450149152776404,0.0,1.2384601831436157,46.87599563598633,1.98288893699646
2,1.4927208040055728,2.8561559514960777,148.52010947779604,2.8561559514960777,-2.0973455905914307,1.953745722770691,0.7063003183427322,0.0,-220.70391845703125,2.105422019958496,3.645686626434326
3,0.6426889047413776,-0.3000062178021018,-15.600323325709292,-0.3000062178021018,-0.0976744145154953,0.40825146436691284,0.24428259443817224,0.0,-133.55621337890625,3.3246731758117676,5.14604926109314
4,-0.1298233179917338,-0.33935401920916514,-17.646408998876588,-0.33935401920916514,0.35495322942733765,0.2951492667198181,0.39125781341480886,0.0,-149.6509552001953,5.726366996765137,6.675039052963257
5,-0.045122371446217925,0.7806057684541508,40.59149995961584,0.7806057684541508,-1.235188364982605,1.6892606019973755,0.38560975953882703,0.0,-249.4716796875,13.92503547668457,8.200711011886597
6,-0.8337187243795371,-1.1748426006045762,-61.09181523143797,-1.1748426006045762,0.567523181438446,1.0584653615951538,0.2567018009894706,0.0,-292.9976806640625,11.91640567779541,9.838379144668579
7,-1.3053816466445651,-1.686930473861562,-87.72038464080123,-1.686930473861562,0.17649830877780914,0.3671647608280182,0.3346088669180972,0.0,-281.19677734375,10.98519515991211,11.372610092163086
8,-1.608314810319027,-1.937006776632085,-100.72435238486842,-1.937006776632085,0.42013558745384216,0.48111069202423096,0.41105887777168526,0.0,-319.2890625,7.881000518798828,12.922229766845703
9,-1.7563020742127802,-2.3970740579193626,-124.64785101180686,-2.3970740579193626,0.39130523800849915,0.651055634021759,0.2959257801608245,0.0,-372.1848449707031,7.394074440002441,14.716337442398071
10,-1.9827358873535406,-2.467641827134882,-128.31737501101387,-2.467641827134882,-0.26614028215408325,0.5421329736709595,0.3257954514920868,0.0,-367.8018798828125,8.129047393798828,16.322643995285034
11,-1.9302041751902381,-2.168500257131335,-112.76201337082942,-2.168500257131335,0.48494502902030945,0.49930936098098755,0.36360875538847565,0.0,-347.4061279296875,9.022425651550293,17.947245359420776
12,-1.9652300468829598,-2.3266842314244145,-120.98758003406955,-2.3266842314244145,0.6953248977661133,0.6212654113769531,0.40741566667422213,0.0,-381.0101013183594,6.700119972229004,19.54129934310913
13,-1.732161329816448,-1.515633834035773,-78.8129593698602,-1.515633834035773,0.029804358258843422,0.294903039932251,0.3101071114825413,0.0,-263.2008056640625,9.146102905273438,21.09284734725952
14,-1.9016566614198611,-2.414899650648745,-125.57478183373473,-2.414899650648745,-0.2822851836681366,0.49055421352386475,0.2750714871556269,0.0,-361.457763671875,9.166715621948242,22.707447290420532
15,-2.097626525288143,-2.548404426640896,-132.5170301853266,-2.548404426640896,-0.2881121337413788,0.7769483923912048,0.1898377812509765,9.91335881678382e-219,-392.63446044921875,6.721035003662109,24.20979881286621
16,-2.309736870383342,-2.562724266250813,-133.26166184504228,-2.562724266250813,0.05105479061603546,0.8201100826263428,0.08659370179127032,1.4370708242716666e-45,-393.031982421875,7.533877372741699,26.136147022247314
17,-2.3209964793006557,-2.4399576093365924,-126.87779568550282,-2.4399576093365924,-0.4582342207431793,0.9482223391532898,0.27071518013898355,0.0,-401.4969482421875,8.106837272644043,27.845342874526978
