feature,fold,a0,a_f,b0,b_f,f_mean_train,f_std_train,train_sh,test_sh,baseline_test_sh,delta_test_sh,test_ann_ret,mean_total
metabolism,W1,1.7281184876897249,0.20563028399557937,2.4509666985278638,-0.33237699558785805,0.006416254327133931,0.0045567605356373175,0.43238905933952554,-0.042288226722616305,1.2967026841766904,-1.3389909108993068,-1.590091217494427,1.3898305084745763
metabolism,W2,1.7927619095364904,-0.3005522674371451,2.1374604134618402,-0.007576419463580643,0.006716622511787577,0.005027136236142819,0.3519956218971914,0.27923327530712816,0.06556608624014779,0.21366718906698037,4.9045801418107215,1.7457627118644068
metabolism,W3,1.9134075136547968,-0.548318768418796,2.1900681282336985,0.10320734564726068,0.006788549108715622,0.0070683143064195495,0.6395242351235728,0.8922221687488863,0.6164363714657286,0.27578579728315766,26.875859957047112,1.728813559322034
m2_growth,W1,2.044914235179939,-0.5131884992377994,2.2055812015694043,0.9659461762772341,0.0039689554616693145,0.00783779547802603,0.42909719186619794,1.4108597777773526,1.2967026841766904,0.11415709360066217,23.754713451676636,1.5254237288135593
m2_growth,W2,1.4543890603581893,-0.5331160039764465,2.2664177769824887,0.8241280349553635,0.004689694566711505,0.00806617754066077,0.35094616158817465,-0.4330222645628777,0.06556608624014779,-0.49858835080302544,-8.399783502810221,1.3389830508474576
m2_growth,W3,2.012392229896461,-0.6469802685434488,2.1893141674557075,0.0779156613533329,0.005095513717142314,0.009195882725923211,0.6371437286911128,0.7598089966974283,0.6164363714657286,0.1433726252316997,22.499580618149295,1.728813559322034
m2_3m,W1,2.1038842536693236,1.162099978201625,1.3264050577634483,-1.1031151075424408,0.01205146609022405,0.009945298489573635,0.4901600239385294,1.0999191720544779,1.2967026841766904,-0.19678351212221257,23.08682933475319,1.88135593220339
m2_3m,W2,1.5284460943393205,-1.0325974596092167,1.555852559822308,0.6117456613027987,0.014188835730683623,0.010390580996934975,0.23549039862664625,0.22975930980767947,0.06556608624014779,0.1641932235675317,3.659273107156391,1.6101694915254237
m2_3m,W3,1.7790501963954595,-0.06176205711206664,2.347166052012626,0.13148256290516624,0.015129125591507926,0.01647575701191054,0.6956314727197281,0.16307778912079515,0.6164363714657286,-0.4533585823449334,4.181986623773848,1.0677966101694916
sp_return,W1,1.782353257873491,0.45164997201292656,2.0251363121174992,-1.0921153234083372,0.005667756419573294,0.0434627849096681,0.3760883019313968,1.166561201335754,1.2967026841766904,-0.1301414828409364,15.780816021608167,1.6779661016949152
sp_return,W2,1.5300776959245679,0.4627947346727279,2.6713205875712758,-0.35122118431794436,0.006167082000119176,0.044081049710025653,0.6529141291852771,0.38092476303938044,0.06556608624014779,0.3153586767992327,4.461504491743562,1.2627118644067796
sp_return,W3,1.8851407407643388,0.024497813029181206,2.649676285232529,-0.37122536050129346,0.0045921666117959975,0.04292906751611061,0.811984984652393,0.16615412224563128,0.6164363714657286,-0.4502822492200973,4.283548867936338,1.228813559322034
ndx_return,W1,2.442130157860512,0.5532968328509589,1.1998211695352679,-0.7584426026332913,0.011982212530465261,0.07862623542250427,0.4279893472074791,1.2967026841766904,1.2967026841766904,0.0,30.76771368696205,2.0
ndx_return,W2,1.37198320828626,0.37846080399622983,2.323291002728435,-0.2382106133315313,0.011696795456817819,0.07662131032231269,0.5539668049454193,0.582266808080977,0.06556608624014779,0.5167007218408292,5.2536111736821045,1.2033898305084745
ndx_return,W3,2.3387712950312602,0.5310873775211333,1.3050667168010388,-0.5813174456866972,0.00834708521980419,0.06333194340356213,0.6298991177812909,0.4574202192319036,0.6164363714657286,-0.15901615223382498,12.720966304002213,1.8983050847457628
sp_1m,W1,1.8567843065424205,0.5717742531616449,1.9641146975370418,-1.1542674050353505,0.005779307252707869,0.043344282533621395,0.3947185705670102,1.4401498419788203,1.2967026841766904,0.1434471578021299,26.316930819387597,1.7118644067796611
sp_1m,W2,1.6743269100795604,0.270778754049909,2.103341413191862,0.24736629512610006,0.00633142193766488,0.044051090887586596,0.4883239870015723,0.3899582360157752,0.06556608624014779,0.32439214977562736,6.8227555657306205,1.7118644067796611
sp_1m,W3,1.7632747375123146,-0.06522400026272825,2.146404877859669,-0.10571954211976463,0.004530906137906273,0.042919563414350444,0.7333945301958881,0.3659118731438271,0.6164363714657286,-0.2505244983219015,7.296494032335832,1.2923728813559323
ndx_1m,W1,2.3313372762318663,0.8883399621253129,2.2560756067484653,-0.9141749472095694,0.012092739350496274,0.078542126760091,0.3976440139578984,1.096881958269834,1.2967026841766904,-0.1998207259068565,21.503295472439767,1.8644067796610169
ndx_1m,W2,1.9892846758034715,0.7292375033079849,1.102838080953196,-0.3010800595578417,0.01167659012895948,0.07663153633159077,0.2730136969112261,0.7614906810599122,0.06556608624014779,0.6959245948197644,19.81206666993398,1.9322033898305084
ndx_1m,W3,1.7076907003223376,0.1849930701262376,2.202327166742,-0.48971573392955386,0.0077971154346402035,0.06341429709374777,0.6846053391142541,0.035137020306002416,0.6164363714657286,-0.5812993511597262,1.8715214792499824,1.4406779661016949
ndx_3m,W1,2.1868975459216173,0.817302919359417,1.4110153554725595,-0.6780373250087608,0.0387455977435239,0.14563941097212285,0.4639452550705485,1.3072618310644835,1.2967026841766904,0.010559146887793025,31.038902053094276,1.9830508474576272
ndx_3m,W2,1.5520362828916137,0.454311891485705,2.2855391536228264,-0.5564621964591508,0.03587321118195278,0.13907843921143442,0.4457022138395981,-0.161196469280202,0.06556608624014779,-0.2267625555203498,-4.539701857959155,1.4915254237288136
ndx_3m,W3,2.2940259517616823,0.4628343226575513,1.8401044990491642,-0.469548601331062,0.020116689559559964,0.11098893595447283,0.681775682895112,0.8587325320648187,0.6164363714657286,0.2422961605990901,24.72575531446697,1.847457627118644
sentiment,W1,1.5669577497005875,0.1844806891878367,2.0147780168782905,-1.000444212130511,0.06467498678383915,0.1908243873003288,0.5332463190902544,0.6503543681853456,1.2967026841766904,-0.6463483159913448,7.0812212329179,1.3728813559322033
sentiment,W2,1.7279747617969643,0.3285263566892447,2.3810994613523437,-0.35994187497604335,0.039637158401824905,0.19373600098661659,0.49523949026676145,-0.04156895755002862,0.06556608624014779,-0.10713504379017641,-0.6774890732064387,1.4745762711864407
sentiment,W3,2.165893993057036,0.35213689296155004,2.1036235578601983,-0.2577104122714394,0.0010030789412204379,0.1962511974866006,0.7595832593474643,0.5904650033421315,0.6164363714657286,-0.025971368123597127,15.636901453660613,1.75
yield_curve,W1,1.6555519968879802,-1.0095950261715847,2.4663064279936013,1.2486838892268264,0.01085826446280991,0.009095487136163125,0.42669801505787647,0.0,1.2967026841766904,-1.2967026841766904,0.06035492815279486,1.0
yield_curve,W2,1.5014896648528704,-0.33047428599155254,2.6952334115172816,0.1823313585217269,0.01246965811965811,0.00961212610503972,0.4904840894910264,-0.07985765295729097,0.06556608624014779,-0.14542373919743876,-0.14459376685943548,1.0720338983050848
yield_curve,W3,1.9025219441150334,-0.028680777956664294,2.457817983477096,-0.2914685804971457,0.013636752136752125,0.00863178481598701,0.8053373559505775,0.455119426717039,0.6164363714657286,-0.16131694474868963,6.210010847567182,1.1016949152542372
credit_spread,W1,2.1994508468050538,-0.47890796544446135,2.2214407464175054,0.25618797773869173,0.009495454545454503,0.004424063144977012,0.5156631778129896,0.8648751372103336,1.2967026841766904,-0.43182754696635683,16.932393994252635,1.847457627118644
credit_spread,W2,2.2273235752319698,-1.1580304480723116,1.965587227593732,0.4699407111872841,0.009967094017093973,0.004437378443709679,0.45717269905999913,0.2571175417386106,0.06556608624014779,0.19155145549846284,4.303658830875157,1.7966101694915255
credit_spread,W3,2.4935141735855075,-0.7677822063735739,1.8375825873656138,0.48616243860898645,0.010640598290598251,0.0042818461531978535,0.5933451714584688,0.6595229904418589,0.6164363714657286,0.04308661897613031,20.508194589398208,2.0
sp_52wh_ratio,W1,1.6101466652722678,0.669807742092519,1.9883275979910982,-1.1175628209909871,0.9410138091970285,0.09247821387084816,0.6264022602237995,0.8326549824461238,1.2967026841766904,-0.46404770173056664,15.274200655303938,1.8644067796610169
sp_52wh_ratio,W2,1.5721736118175,0.7032836877381773,2.1230892319235504,-0.928166858062465,0.9400423958530817,0.09384379230041993,0.47290491262423934,0.08638364585692963,0.06556608624014779,0.020817559616781847,0.42430973538947203,1.7457627118644068
sp_52wh_ratio,W3,2.029507251064766,1.316795640345788,1.635175522170717,-0.7403108127535762,0.938485898883666,0.09392839483410824,0.6224926629244475,0.8223032462491431,0.6164363714657286,0.20586687478341448,22.76286184817875,1.8135593220338984
sp_52wl_ratio,W1,2.1046925421127973,1.0325175563128512,1.739737170615817,-0.9064735832319941,1.1482359764607535,0.11619442918553043,0.6710864371702414,0.9756888936596171,1.2967026841766904,-0.32101379051707335,18.558420915217646,1.88135593220339
sp_52wl_ratio,W2,2.2200667867793507,0.9189188852154719,1.2662146941502734,-0.6304083506280198,1.1616163886259863,0.11335592148198272,0.5493087073496039,0.3125020648116926,0.06556608624014779,0.24693597857154484,5.615336292756079,1.8305084745762712
sp_52wl_ratio,W3,2.214788069884484,0.8514927281185154,1.1964132209996654,-0.9141022931616739,1.1331394646176027,0.09672761970708922,0.8040047949093554,0.5484616526934228,0.6164363714657286,-0.06797471877230576,15.409611456519844,1.8983050847457628
sp_in_range,W1,1.9670577930552215,0.6502921865028565,1.889936892963496,-0.717588736665473,0.7032727780832999,0.3560056445934168,0.6541335338644838,0.8590610860418427,1.2967026841766904,-0.4376415981348477,15.85519679388323,1.88135593220339
sp_in_range,W2,2.0889517391716286,0.42777708729041375,1.8979864771679649,-0.445654502172208,0.7201256071700235,0.349090637977775,0.5571206239416224,0.27234044436597454,0.06556608624014779,0.20677435812582676,4.658116268958379,1.8305084745762712
