fold,pair,ks_stat,ks_p,mean_diff,std_ratio,group
F1,train_vs_test,0.14154032747119466,0.007769917225019648,0.0014472944004658278,0.6759186131465107,a_train_vs_test
F2,train_vs_test,0.07460706897855116,0.38931031099422564,0.0012805926517006187,1.1895369929057769,a_train_vs_test
F3,train_vs_test,0.08033048915215193,0.3043949779218433,0.0032875544682248407,0.8564135531082134,a_train_vs_test
,F1_vs_F2,0.12509571876087713,0.12996398240763568,0.0004217759830339883,1.6262511180498114,b_test_pairwise
,F1_vs_F3,0.11692529772645255,0.18468982197189296,0.0024799188762979927,1.124171110881759,b_test_pairwise
,F2_vs_F3,0.0778669183577159,0.6549367735942515,0.002058142893264004,0.6912653884781687,b_test_pairwise
