month,date,agent_id,alpha,beta,lam,pp,birth
6,2001-07-31,2,1.456915709318144,1.793084290681856,1.2307398974516126,0.6237675420108928,0
6,2001-07-31,3,2.6111442797563016,0.6388557202436984,0.24466504022647223,0.6305083253941887,0
6,2001-07-31,4,2.167762079913251,1.0822379200867491,0.4992420201990331,0.6329806561882905,0
6,2001-07-31,7,2.343134180473471,0.9068658195265291,0.3870311086253205,0.6287039170882599,0
6,2001-07-31,8,2.411676839511623,0.8383231604883772,0.3476100722757457,0.6444801280332464,0
6,2001-07-31,9,0.6023124898577512,2.647687510142249,4.395870174911292,0.6558604436976484,0
6,2001-07-31,10,1.4885613292128097,1.7614386707871903,1.183316156492313,0.6238119563533713,0
6,2001-07-31,11,1.2696945666395985,1.9803054333604015,1.559670715612749,0.6739044692757076,0
6,2001-07-31,13,2.0206290802218274,1.2293709197781726,0.6084099906367826,0.6375378686143393,0
6,2001-07-31,14,2.5125944364947825,0.7374055635052175,0.29348372056969996,0.6406253203209066,0
6,2001-07-31,15,1.4693890467751607,1.7806109532248393,1.2118036112578294,0.6238761513013655,0
6,2001-07-31,16,0.8749064849081365,2.3750935150918635,2.7146827187379277,0.6737340807640845,0
6,2001-07-31,17,1.7751081642935458,1.4748918357064542,0.8308743463491584,0.6237701141309957,0
6,2001-07-31,19,2.5259857229796006,0.7240142770203994,0.2866264327758619,0.6608901721831197,0
6,2001-07-31,20,1.9870770975856784,1.2629229024143216,0.6355681437568715,0.6395320804806676,0
6,2001-07-31,22,1.2249464123571379,2.025053587642862,1.6531772877689364,0.6237675420108928,0
6,2001-07-31,23,2.919419567085984,0.33058043291401606,0.11323498569408598,0.6571847361486375,0
6,2001-07-31,24,2.7060830836360434,0.5439169163639566,0.20099786279773776,0.6387511101871391,0
6,2001-07-31,25,2.390554616952845,0.8594453830471549,0.3595171501007826,0.6306395057043946,0
6,2001-07-31,29,0.6742961031857565,2.5757038968142436,3.819840993660145,0.6455908130062604,0
6,2001-07-31,30,2.12838462141675,1.12161537858325,0.5269796479908089,0.6305594649296757,0
6,2001-07-31,31,2.298095928746497,0.951904071253503,0.41421424551790653,0.6432511144231232,0
6,2001-07-31,32,2.9106517641940775,0.33934823580592255,0.11658840125791681,0.6943749631486626,0
6,2001-07-31,33,1.1460197348799177,2.1039802651200823,1.8359022982623783,0.6237675420108928,0
