month,date,n_alive,mean_lam,median_lam,std_lam,mean_pp,min_pp,max_pp,mean_alpha,mean_beta
0,2011-01-31,200,1.8906513729778618,1.0737502468396802,2.1564234902433084,1.0364786265715538,0.9936277368259313,1.0570664322229508,1.6081412744248131,1.6418587255751869
1,2011-02-28,200,1.8906513729778618,1.0737502468396802,2.1564234902433084,1.0348978632991919,0.9936246495790901,1.0548309831985587,1.6081412744248131,1.6418587255751869
2,2011-03-31,200,1.8906513729778618,1.0737502468396802,2.1564234902433084,1.0618021117992207,0.9804644222281464,1.0994023419215673,1.6081412744248131,1.6418587255751869
3,2011-04-30,200,1.8906513729778618,1.0737502468396802,2.1564234902433084,1.0325302575075923,0.9630246312322231,1.0619190342176925,1.6081412744248131,1.6418587255751869
4,2011-05-31,200,1.8906513729778618,1.0737502468396802,2.1564234902433084,1.0059234675063073,0.9501843547200406,1.0245214164966674,1.6081412744248131,1.6418587255751869
5,2011-06-30,200,1.8906513729778618,1.0737502468396802,2.1564234902433084,0.9696384916483095,0.9151913962183292,0.9856568754317114,1.6081412744248131,1.6418587255751869
6,2011-07-31,200,1.8906513729778618,1.0737502468396802,2.1564234902433084,0.8758584290126266,0.8307375777818635,0.9505827101905141,1.6081412744248131,1.6418587255751869
7,2011-08-31,199,1.8923145923616063,1.0617452068726216,2.1617068855707005,0.7698989546360271,0.7095834435341991,0.9251839589520209,1.6098420116498646,1.6401579883501354
8,2011-09-30,199,1.8923145923616063,1.0617452068726216,2.1617068855707005,0.854264164419839,0.7203891763739031,1.0088285189719297,1.6098420116498646,1.6401579883501354
9,2011-10-31,199,1.8923145923616063,1.0617452068726216,2.1617068855707005,0.8405519582455921,0.7123051402054984,0.9970328710805466,1.6098420116498646,1.6401579883501354
10,2011-11-30,199,1.8923145923616063,1.0617452068726216,2.1617068855707005,0.8438600009963915,0.7155058914116952,0.9906829281887949,1.6098420116498646,1.6401579883501354
11,2011-12-31,199,1.8923145923616063,1.0617452068726216,2.1617068855707005,0.8860662789038403,0.7338070403449214,0.9904430119070764,1.6098420116498646,1.6401579883501354
12,2012-01-31,300,1.8772223850405199,0.8270371423739431,2.4587036201915042,0.9658983783818045,0.7298632408183112,1.0716360543268,1.6923317708263923,1.5576682291736077
13,2012-02-29,300,1.8772223850405199,0.8270371423739431,2.4587036201915042,1.0080374980617313,0.7306078435095669,1.138748110889569,1.6923317708263923,1.5576682291736077
14,2012-03-31,300,1.8772223850405199,0.8270371423739431,2.4587036201915042,0.9853615166778097,0.7203055256742106,1.1084661412284291,1.6923317708263923,1.5576682291736077
15,2012-04-30,299,1.8768857399742993,0.8239588761006198,2.4628048302173005,0.8869203952253395,0.7054329098437921,1.0069325657188135,1.6943416405735898,1.5556583594264102
16,2012-05-31,299,1.8768857399742993,0.8239588761006198,2.4628048302173005,0.9371233700654586,0.7454443597802861,1.0773938213083352,1.6943416405735898,1.5556583594264102
17,2012-06-30,299,1.8768857399742993,0.8239588761006198,2.4628048302173005,0.9470248912875816,0.7571571785894026,1.0885137191336327,1.6943416405735898,1.5556583594264102
18,2012-07-31,299,1.8768857399742993,0.8239588761006198,2.4628048302173005,0.9675527923367321,0.7628441641514236,1.091737758874823,1.6943416405735898,1.5556583594264102
19,2012-08-31,299,1.8768857399742993,0.8239588761006198,2.4628048302173005,0.9948093580781439,0.7639183662828821,1.133574616022719,1.6943416405735898,1.5556583594264102
20,2012-09-30,299,1.8768857399742993,0.8239588761006198,2.4628048302173005,0.9580068271384719,0.7500205557717852,1.0844413570719476,1.6943416405735898,1.5556583594264102
21,2012-10-31,299,1.8768857399742993,0.8239588761006198,2.4628048302173005,0.954839362104868,0.7452614316517973,1.0772946741042053,1.6943416405735898,1.5556583594264102
22,2012-11-30,299,1.8768857399742993,0.8239588761006198,2.4628048302173005,0.9584332909425175,0.7439276240829644,1.0854064561460277,1.6943416405735898,1.5556583594264102
23,2012-12-31,299,1.8768857399742993,0.8239588761006198,2.4628048302173005,1.007987101250496,0.7618237677417167,1.173451027218588,1.6943416405735898,1.5556583594264102
24,2013-01-31,300,1.8739879387291418,0.8270371423739431,2.4592072675289898,1.0194017820489292,0.7610895160197608,1.1953304713660104,1.6940901432106727,1.5559098567893273
25,2013-02-28,300,1.8739879387291418,0.8270371423739431,2.4592072675289898,1.0655670977633236,0.762501276538709,1.281318711082095,1.6940901432106727,1.5559098567893273
26,2013-03-31,300,1.8739879387291418,0.8270371423739431,2.4592072675289898,1.0822408732884854,0.7617897380913539,1.3137342660428952,1.6940901432106727,1.5559098567893273
27,2013-04-30,300,1.8739879387291418,0.8270371423739431,2.4592072675289898,1.1042373318082974,0.7602379752615154,1.3540303921268624,1.6940901432106727,1.5559098567893273
28,2013-05-31,300,1.8739879387291418,0.8270371423739431,2.4592072675289898,1.0792365682821512,0.7567531097095858,1.313402101911825,1.6940901432106727,1.5559098567893273
29,2013-06-30,300,1.8739879387291418,0.8270371423739431,2.4592072675289898,1.1530793929965824,0.7576231370275629,1.4339776723630773,1.6940901432106727,1.5559098567893273
30,2013-07-31,300,1.8739879387291418,0.8270371423739431,2.4592072675289898,1.094227720303003,0.7492099164818256,1.340707556674934,1.6940901432106727,1.5559098567893273
31,2013-08-31,300,1.8739879387291418,0.8270371423739431,2.4592072675289898,1.1370495532880853,0.7489050013656413,1.4143004030396213,1.6940901432106727,1.5559098567893273
32,2013-09-30,300,1.8739879387291418,0.8270371423739431,2.4592072675289898,1.2074118769805795,0.7585057149182766,1.5270290932221815,1.6940901432106727,1.5559098567893273
33,2013-10-31,300,1.8739879387291418,0.8270371423739431,2.4592072675289898,1.2447273134916945,0.750072656750994,1.5929343693369213,1.6940901432106727,1.5559098567893273
34,2013-11-30,300,1.8739879387291418,0.8270371423739431,2.4592072675289898,1.287688837602973,0.7497413628789928,1.6671898051126786,1.6940901432106727,1.5559098567893273
35,2013-12-31,300,1.8739879387291418,0.8270371423739431,2.4592072675289898,1.2020536194998614,0.7410446427336072,1.5324779595920026,1.6940901432106727,1.5559098567893273
36,2014-01-31,300,1.8739879387291418,0.8270371423739431,2.4592072675289898,1.2775008330923185,0.7391546743475208,1.6598054278785972,1.6940901432106727,1.5559098567893268
37,2014-02-28,300,1.8739879387291418,0.8270371423739431,2.4592072675289898,1.2913967853662682,0.7391194085690962,1.6816651020206976,1.6940901432106727,1.5559098567893268
38,2014-03-31,300,1.8739879387291418,0.8270371423739431,2.4592072675289898,1.2911563301889066,0.731882459398195,1.685705721722845,1.6940901432106727,1.5559098567893268
39,2014-04-30,300,1.8739879387291418,0.8270371423739431,2.4592072675289898,1.3216851051391416,0.7261125717086583,1.7403376431539763,1.6940901432106727,1.5559098567893268
40,2014-05-31,300,1.8739879387291418,0.8270371423739431,2.4592072675289898,1.3594018702769837,0.726241684266355,1.806636917255114,1.6940901432106727,1.5559098567893268
41,2014-06-30,300,1.8739879387291418,0.8270371423739431,2.4592072675289898,1.3149998420867912,0.7191861653550936,1.7364319001313373,1.6940901432106727,1.5559098567893268
42,2014-07-31,300,1.8739879387291418,0.8270371423739431,2.4592072675289898,1.3876743359299901,0.7168827682231222,1.8601430230810414,1.6940901432106727,1.5559098567893268
43,2014-08-31,300,1.8739879387291418,0.8270371423739431,2.4592072675289898,1.3512522439620795,0.7158769306931659,1.801103124955203,1.6940901432106727,1.5559098567893268
44,2014-09-30,300,1.8739879387291418,0.8270371423739431,2.4592072675289898,1.391702210573157,0.7114499406114195,1.8726391809379856,1.6940901432106727,1.5559098567893268
