premium_pct,return_pct,vol_pct,sharpe,sortino,mdd_pct,weight_mean,weight_min,weight_max,note
0,5.1,8.3,0.65,0.34,-12.2,0.21,0.00,1.00,HWM update ON + min(0) cap
1,5.8,8.2,0.73,0.34,-12.2,0.21,0.00,1.00,HWM update ON + min(0) cap
2,6.7,8.7,0.79,0.50,-12.2,0.26,0.00,1.00,HWM update ON + min(0) cap
3,6.2,8.4,0.75,0.50,-10.3,0.30,0.00,1.00,HWM update ON + min(0) cap
4,5.8,10.0,0.61,0.51,-9.6,0.48,0.00,1.00,HWM update ON + min(0) cap
5,5.9,10.1,0.62,0.49,-8.8,0.54,0.00,1.00,HWM update ON + min(0) cap
