tier,strat,ret,vol,sharpe,sortino,mdd,action
M2+0%,orig,2.138723156136657,3.030411228906838,0.1806648411770069,0.1688804796964332,-11.252293824167852,0.07233351251404536
M2+0%,contra,12.047039700223072,18.875566336599057,0.6216810557574164,0.5486073039394675,-40.54216751475332,0.9276664874859546
M2+2%,orig,2.7547495194321536,2.892393477359245,0.3967808859195874,0.46734979824164885,-5.124887459865377,0.0851987009377856
M2+2%,contra,11.316756241825798,19.277060158353645,0.5775997083418252,0.5075563513748048,-42.02319817264264,0.9148012990622144
M2+4%,orig,2.3848355468013116,2.419191444057339,0.31935414143046864,0.3230152051240491,-5.215247966427787,0.07113922068261003
M2+4%,contra,11.675381658766803,19.500573148430906,0.590213009502275,0.5217090375004393,-42.009663632412426,0.92886077931739
Base,B&H,12.278012441187869,20.515472913650175,0.5986735389051413,0.5251586200495327,-42.69587998743007,1.0
Base,50/50,7.429960040870887,10.267789509909283,0.5980873857841693,0.5242012329645197,-22.408523389020623,0.5
