fold,lambda_reg,train_sh,a0,b0,a_metabolism,a_ndx_52wh_ratio,a_ndx_in_range,a_ndx_return,b_metabolism,b_ndx_52wh_ratio,b_ndx_in_range,b_ndx_return,ann_ret,vol,sharpe_ex,sortino,calmar,mdd,mean_total,slope_l2,final_pp,z_max,z_mean
W1,0.0,0.674913726072463,2.412404755937528,1.4325221706415896,0.21160571171873271,1.2421258476745995,0.029935162332471066,-0.02613902817574487,-0.489350067843516,-1.2405977057313389,-0.07383165455726191,0.014803342144630107,17.910545584263193,24.490164045273456,0.7966149355974588,0.77905998319609,1.0233869193538707,-17.501245370198067,2.0,3.373449369948807,2.0988766692722622,3.876004086582165,0.5990414839608731
W1,0.005,0.674913726072463,2.3317958098231,1.6236673920794573,0.2565589505236861,1.040874599870506,-0.08827629344573552,0.02438093727625276,-0.2756254245423763,-0.8796226206117638,-0.22083019501552154,0.05491717442752467,17.910545584263193,24.490164045273456,0.7966149355974588,0.77905998319609,1.0233869193538707,-17.501245370198067,2.0,2.059116762260156,2.0988766692722622,3.876004086582165,0.5990414839608731
W1,0.02,0.6573211136809822,2.049055402799615,1.6207199067804918,0.2507691162885051,0.7358765643459645,0.014060311466138438,0.08231683930508879,-0.1485252388112067,-0.6759239970291716,-0.05429713736418877,0.08969414040979455,17.910545584263193,24.490164045273456,0.7966149355974588,0.77905998319609,1.0233869193538707,-17.501245370198067,2.0,1.101299436303058,2.0988766692722622,3.876004086582165,0.5990414839608731
W1,0.05,0.6513239584011037,2.0365088137430636,1.863668335256987,0.19445525762885815,0.4290138762144005,0.1029648704686577,0.036490112052945355,-0.06715583825796162,-0.4376917776225824,-0.053707328086290536,-0.0014015586189460576,17.910545584263193,24.490164045273456,0.7966149355974588,0.77905998319609,1.0233869193538707,-17.501245370198067,2.0,0.4327694862995509,2.0988766692722622,3.876004086582165,0.5990414839608731
W1,0.1,0.6447032056993278,2.0089402033533923,1.923909956231669,0.13376024439330286,0.3193477377151369,0.20674150324118976,0.06668856382211165,-0.07271036734275832,-0.32567931777031034,0.01597989923521104,-1.0558379977685661e-05,17.910545584263193,24.490164045273456,0.7966149355974588,0.77905998319609,1.0233869193538707,-17.501245370198067,2.0,0.27867336710451523,2.0988766692722622,3.876004086582165,0.5990414839608731
W1,0.3,0.6473664345850757,2.068556106975735,2.117461257146779,0.11782879738199706,0.24904454680734908,0.1832435909174302,0.10069783693827782,-0.028027820980749737,-0.19779431377782403,-0.01166965520106247,0.005130910458001951,17.910545584263193,24.490164045273456,0.7966149355974588,0.77905998319609,1.0233869193538707,-17.501245370198067,2.0,0.1596957361697371,2.0988766692722622,3.876004086582165,0.5990414839608731
W1,1.0,0.5983554936399959,2.016013030000328,2.1281295444112835,0.06900029855497518,0.14693841823759507,0.13530572874072683,0.06770391994994455,-0.008822379521136202,-0.14125777254018268,-0.04818760356975501,-0.013056624794686934,17.910545584263193,24.490164045273456,0.7966149355974588,0.77905998319609,1.0233869193538707,-17.501245370198067,2.0,0.07176751423374382,2.0988766692722622,3.876004086582165,0.5990414839608731
W2,0.0,0.5432140416588993,2.2357421376348197,2.213278949068494,0.031774058342671545,1.3647797687990013,0.006167810801636424,0.26872418119395997,-0.15005965769441992,-1.3423576720688488,0.10299768655999535,-0.227707730680632,18.021765010472258,30.723430336754976,0.65923322162463,0.5760601002753921,0.4630459186092373,-38.92003856680304,1.962962962962963,3.8227854902329677,2.107800355539884,10.068549620133584,0.6935102697136366
W2,0.005,0.5432140416588993,2.0878238451359112,2.099211421058549,0.04411318607915583,1.2358824773585497,-0.0393887496427236,0.2610266011000116,-0.09822206554628472,-1.1044436803678819,0.03863960029975762,-0.15894546785038544,18.021765010472258,30.723430336754976,0.65923322162463,0.5760601002753921,0.4630459186092373,-38.92003856680304,1.962962962962963,2.855237928834436,2.107800355539884,10.068549620133584,0.6935102697136366
W2,0.02,0.5251490141777511,2.0267238107454237,2.160891845835806,0.05702580656209416,0.8232335957651918,-0.09412778170117721,0.23965148894237281,-0.10566651666806606,-0.771610127727478,-0.007788544944242828,-0.05578307333030967,18.021765010472258,30.723430336754976,0.65923322162463,0.5760601002753921,0.4630459186092373,-38.92003856680304,1.962962962962963,1.3569783859097262,2.107800355539884,10.068549620133584,0.6935102697136366
W2,0.05,0.47571912486555784,2.1011179160870235,1.9040044838784687,0.0035960139551273716,0.3218686985827583,0.14836755404369042,0.2259376715285598,0.02494287424702904,-0.4218994759351267,-0.16632475079223813,-0.14779197398773772,18.021765010472258,30.723430336754976,0.65923322162463,0.5760601002753921,0.4630459186092373,-38.92003856680304,1.9444444444444444,0.40480085802370874,2.107800355539884,10.068549620133584,0.6935102697136366
W2,0.1,0.5068506275711898,2.228956088313233,2.2979232412433275,0.10612319166414018,0.31232125522922677,0.1361485600973153,0.1816225558732806,-0.012537188381890784,-0.30396570070790324,-0.09299298776302554,-0.004701555326969109,18.021765010472258,30.723430336754976,0.65923322162463,0.5760601002753921,0.4630459186092373,-38.92003856680304,1.9444444444444444,0.26155201019041524,2.107800355539884,10.068549620133584,0.6935102697136366
W2,0.3,0.4589910612033877,2.2326227549359303,2.35528849333727,0.06753663741241618,0.21905161265051845,0.13798859576889602,0.10508268420624148,-0.018397799652457445,-0.11903004515654951,-0.0600359829379299,-0.004884023957242188,18.021765010472258,30.723430336754976,0.65923322162463,0.5760601002753921,0.4630459186092373,-38.92003856680304,1.962962962962963,0.10076283309938991,2.107800355539884,10.068549620133584,0.6935102697136366
W2,1.0,0.4265913921200479,2.0115450890272513,2.2163362446340127,0.024010851305626565,0.11238254653878517,0.11127888878308882,0.0628772751076897,0.00984047357182354,-0.0680909446036264,-0.04674240132214419,-0.02456458686356321,18.021765010472258,30.723430336754976,0.65923322162463,0.5760601002753921,0.4630459186092373,-38.92003856680304,1.9444444444444444,0.03706438322700008,2.107800355539884,10.068549620133584,0.6935102697136366
W3,0.0,0.7309081155631345,2.4959330756374447,1.1014085828239044,0.423695272761866,0.898818370099755,0.7632797246815763,0.07506540949393552,0.060221663489260245,0.686617829521193,-0.796068822936885,-0.7796884989110577,13.548891246179773,26.81788794494466,0.4794042153641418,0.5380988711793347,0.3006854432719967,-45.06001720184238,1.8148148148148149,3.292333319158111,1.7714261051052256,2.2544771386996025,0.6769322417081938
W3,0.005,0.7359338826507325,2.7016883700431196,1.3192235505923193,0.11914860212906125,-0.14605549656809041,0.9128736596695778,0.21810887767087397,-0.07353701134251418,0.04437795214352321,-0.7281971614271214,-0.5736170943728854,17.71488802920782,23.660392097290913,0.6629298522997827,0.7154428975331166,0.6809460048778128,-26.01511412404356,1.7962962962962963,1.7831231700453882,2.0832494332448754,2.2544771386996025,0.6769322417081938
W3,0.02,0.7240287542690628,2.5885005535979433,1.4797502389033688,-0.026665679131934863,0.16768841473812085,0.5679599279659917,0.284039221904949,0.06458922868781847,0.09390934779781407,-0.6759277186461954,-0.4180722733891221,13.548891246179773,26.81788794494466,0.4794042153641418,0.5380988711793347,0.3006854432719967,-45.06001720184238,1.8148148148148149,1.076740662913752,1.7714261051052256,2.2544771386996025,0.6769322417081938
W3,0.05,0.7394787284608509,2.5227381458877134,1.7094554325411628,0.08190641923020806,-0.09593689203945283,0.6186904287812253,0.19994523501820083,-0.03140688460886167,-0.006621222975426417,-0.4742286684483915,-0.3463917106656689,17.71488802920782,23.660392097290913,0.6629298522997827,0.7154428975331166,0.6809460048778128,-26.01511412404356,1.7962962962962963,0.7845787726280318,2.0832494332448754,2.2544771386996025,0.6769322417081938
W3,0.1,0.7037164670158784,2.4462072874050524,2.129499697531464,0.040313416537328645,-0.03452657606934336,0.40060527245233574,0.2452763763027892,-0.001332027362803076,0.03266265074820755,-0.2436892232927203,-0.09778029039721092,13.548891246179773,26.81788794494466,0.4794042153641418,0.5380988711793347,0.3006854432719967,-45.06001720184238,1.8148148148148149,0.29347638688678873,1.7714261051052256,2.2544771386996025,0.6769322417081938
W3,0.3,0.663043359593485,2.0462726325595493,1.9407016552928542,0.03881926629568377,0.0015823830005718418,0.22415670255854533,0.14959519209747968,0.021939096556443625,-0.03472325947697835,-0.15216815647157364,-0.09981589804833116,8.55257397075917,26.001424898570853,0.3108936265089011,0.3823432214264166,0.18980405472214243,-45.06001720184238,1.7962962962962963,0.10893977822586841,1.4467069441319211,2.2544771386996025,0.6769322417081938
W3,1.0,0.5890839265576376,1.9260896828495648,2.1192009204844915,0.012221648855931255,0.007504379621734404,0.1068244894841703,0.0619820595134818,0.009463948641806042,-0.004325297381510532,-0.06022082018277078,-0.05350160925750941,6.4129826272688595,21.130107920357275,0.23208279280107216,0.31634042345291324,0.24650987870708146,-26.01511412404356,1.6898148148148149,0.02205617556731327,1.3227439155238303,2.2544771386996025,0.6769322417081938
