condition,seed,n_cond,best_epoch,val,test
Cprime_5ch,42,5,23,-2.7153913974761963,-1.6289504766464233
Cprime_5ch,123,5,19,-2.7216503620147705,-2.185434341430664
Cprime_5ch,777,5,19,-2.66450572013855,-2.2049152851104736
Cprime_5ch,0,5,31,-2.717181444168091,-1.8908418416976929
Cprime_5ch,99,5,19,-2.7116825580596924,-2.007692575454712
