epoch,train_step,val_step,nll_window,nll_step_channel,z_mean,z_std,ks_stat,ks_p,logdet_mean,logdet_std,elapsed_s
13,-1.0590945397261144,-1.3583644831730768,-141.26990625,-1.3583644831730768,-0.21436576545238495,1.7397634983062744,0.23345095892461631,0.0,-785.5365600585938,17.356340408325195,48.90800428390503
14,-1.4352815936141285,-1.9215023287259616,-199.8362421875,-1.9215023287259616,-0.06604713201522827,1.0839502811431885,0.06432954995950768,3.25052082319946e-47,-708.300537109375,14.215173721313477,52.11106514930725
15,-1.7017861489776047,-2.218057466947115,-230.6779765625,-2.218057466947115,-0.39171352982521057,0.8568323254585266,0.19296044901622234,0.0,-740.0142211914062,12.28628921508789,55.37501120567322
16,-2.051142947518773,-2.1254066256009616,-221.0422890625,-2.1254066256009616,-0.8946244120597839,0.7888277173042297,0.44139376308722045,0.0,-778.9839477539062,15.875879287719727,58.64578413963318
17,-2.179481271101801,-1.1069962439903847,-115.127609375,-1.1069962439903847,-0.9825155735015869,1.7255600690841675,0.4650097220031465,0.0,-829.13037109375,13.000954627990723,61.96388840675354
18,-1.981134375258853,-1.8032228816105769,-187.5351796875,-1.8032228816105769,0.44787466526031494,0.9389258623123169,0.29326984240179577,0.0,-678.2413330078125,12.320174217224121,64.998619556427
19,-2.0899688347611454,-2.524028695913462,-262.498984375,-2.524028695913462,-0.08004462718963623,0.5865485668182373,0.20570683843101567,0.0,-756.897216796875,9.914641380310059,68.17506647109985
20,-1.9729149213900468,-2.20183984375,-228.99134375,-2.20183984375,0.09613969177007675,0.3855364918708801,0.2581113024802759,0.0,-674.6099243164062,7.855222702026367,71.66595387458801
21,-2.2080862558495493,-2.36109765625,-245.55415625,-2.36109765625,-0.081048883497715,0.5057624578475952,0.18681209977824398,0.0,-716.411865234375,11.390819549560547,74.93193078041077
22,-2.2980269287928197,-2.7025193810096155,-281.062015625,-2.7025193810096155,-0.028705233708024025,0.9175788164138794,0.13362751967625575,6.767869233033326e-203,-844.3116455078125,9.984563827514648,78.24074006080627
23,-2.3993476818975763,-2.7262283653846158,-283.52775,-2.7262283653846158,0.17520053684711456,0.9653429985046387,0.17048587714427343,0.0,-861.0186157226562,11.646903991699219,81.66295957565308
24,-2.274899943416851,-2.2293144531249998,-231.848703125,-2.2293144531249998,0.012158729135990143,0.418922483921051,0.24301662679304162,0.0,-683.8259887695312,7.383698463439941,85.0730082988739
25,-2.1624937485683846,-2.5855411658653846,-268.89628125,-2.5855411658653846,0.36762213706970215,0.6934040188789368,0.2964045958117293,0.0,-797.1312255859375,12.87095832824707,88.42767214775085
26,-2.375736626585131,-2.7151060697115383,-282.37103125,-2.7151060697115383,-0.42520928382873535,1.0715652704238892,0.23515784039105342,0.0,-891.9931030273438,20.145099639892578,91.8131685256958
27,-2.4695856295970176,-2.6239414813701925,-272.8899140625,-2.6239414813701925,-0.5261144638061523,0.8309908509254456,0.34217068118376825,0.0,-836.045166015625,26.79091453552246,95.1151921749115
28,-2.3980398222467127,-2.7215821814903842,-283.044546875,-2.7215821814903842,0.2720387578010559,0.7961199879646301,0.23543288981634858,0.0,-835.3482055664062,13.960052490234375,98.6213014125824
29,-2.4737223412945943,-1.7490631760817306,-181.9025703125,-1.7490631760817306,1.0509225130081177,1.4469578266143799,0.3603600522886762,0.0,-888.680908203125,14.998169898986816,101.87347030639648
30,-2.579327368805912,-2.9111592548076923,-302.7605625,-2.9111592548076923,-0.06415978074073792,0.9266753196716309,0.11362790052510552,1.1464120455759007e-146,-888.4708251953125,12.809138298034668,105.22708749771118
31,-2.11916446943736,-1.8171945612980769,-188.988234375,-1.8171945612980769,0.9609544277191162,1.245317816734314,0.33980053520666187,0.0,-836.8162231445312,12.743786811828613,108.73916554450989
32,-1.9203193563023622,-2.3213564453125,-241.4210703125,-2.3213564453125,-0.05998387187719345,0.5973696708679199,0.20373034800768153,0.0,-715.8452758789062,7.88103723526001,112.03351664543152
33,-2.055522569959509,-2.6879474158653847,-279.54653125,-2.6879474158653847,-0.08491942286491394,0.6832034587860107,0.20727139368539704,0.0,-798.2887573242188,17.018585205078125,115.32456541061401
34,-2.3889218447696696,-2.3586005859375,-245.2944609375,-2.3586005859375,0.31866446137428284,1.3802895545959473,0.10012260010164875,6.710770970928506e-114,-890.302978515625,12.731904029846191,118.6808512210846
35,-2.45486072811435,-2.808640925480769,-292.09865625,-2.808640925480769,0.3317727744579315,0.8654232621192932,0.23869441941757905,0.0,-872.6077880859375,11.157416343688965,121.9204249382019
36,-2.644529325111106,-2.943835186298077,-306.158859375,-2.943835186298077,-0.11300312727689743,0.9390444159507751,0.12736129855044764,2.756024402540506e-184,-901.6437377929688,11.178397178649902,125.19947504997253
37,-2.6835139711143317,-2.8319139122596155,-294.519046875,-2.8319139122596155,-0.38875269889831543,0.9653598666191101,0.2325288803470792,0.0,-897.0185546875,10.222743034362793,128.79939341545105
38,-2.5835093632670922,-2.8467710336538463,-296.0641875,-2.8467710336538463,0.363905131816864,0.9357842206954956,0.21600138762909227,0.0,-891.941162109375,12.487750053405762,132.01543593406677
39,-2.6833595375755217,-2.608379732572115,-271.2714921875,-2.608379732572115,0.5709111094474792,1.1977438926696777,0.2508525823283873,0.0,-919.3273315429688,12.283490180969238,135.4877007007599
40,-2.7797707179324473,-2.7638241436298077,-287.4377109375,-2.7638241436298077,-0.33847734332084656,1.0474953651428223,0.17456791991174136,0.0,-895.9615478515625,9.004251480102539,138.71497678756714
41,-2.576629227610696,-2.9485491286057695,-306.649109375,-2.9485491286057695,0.09721695631742477,0.8558233976364136,0.1558888654372751,2.2727183045332882e-276,-887.415283203125,10.616042137145996,141.94165420532227
42,-2.7656594779627364,-2.6885250150240383,-279.6066015625,-2.6885250150240383,-0.13535930216312408,0.9452376365661621,0.14535685409615784,3.5705603441840785e-240,-853.2645874023438,15.08510684967041,145.3007891178131
43,-2.782395302288514,-2.9839510216346152,-310.33090625,-2.9839510216346152,-0.030231397598981857,0.8869044184684753,0.10695034497220512,6.076269030503825e-130,-901.3297729492188,11.518477439880371,148.46998620033264
44,-2.848829445018147,-3.0081873497596154,-312.851484375,-3.0081873497596154,0.03559413179755211,0.9033467173576355,0.1356674675899231,3.768689021219531e-209,-909.4884033203125,10.683464050292969,151.98688125610352
45,-2.901912918264159,-3.002380258413462,-312.247546875,-3.002380258413462,-0.0973491370677948,0.8954592347145081,0.13318726906495992,1.470891707041258e-201,-906.5770874023438,11.868517875671387,155.3038866519928
46,-2.851357081668222,-2.9247424879807693,-304.17321875,-2.9247424879807693,-0.09335595369338989,0.7829880714416504,0.16135844441705793,3.4529132124554093e-296,-875.8938598632812,16.420085906982422,158.61132740974426
47,-2.911957582818163,-2.9647137920673075,-308.330234375,-2.9647137920673075,0.2118223011493683,0.9154608845710754,0.20013776345445208,0.0,-904.7303466796875,5.7013163566589355,161.79605674743652
48,-2.734811264676964,-2.8625033052884614,-297.70034375,-2.8625033052884614,0.18151594698429108,0.9001448154449463,0.1553217317490586,2.352369246832962e-274,-883.3373413085938,8.65695858001709,165.02399945259094
49,-2.8202783538577334,-2.8778189603365383,-299.293171875,-2.8778189603365383,0.10693852603435516,0.8391686677932739,0.17097107394519678,0.0,-872.1246948242188,13.298466682434082,168.21942615509033
50,-2.9153117231769143,-2.982912109375,-310.222859375,-2.982912109375,0.06574776768684387,0.9227660894393921,0.12635047725125084,2.276877559984939e-181,-906.3551025390625,14.667201042175293,171.4204978942871
