fold,date,p_up,w
W1,2010-08-31,0.2448000514741455,1.0362384396375122
W1,2010-09-30,0.08336355030451237,1.0434036399056028
W1,2010-10-31,0.07793834813341734,1.7305204469837707
W1,2010-11-30,0.054591626191531115,1.981811686272585
W1,2010-12-31,0.03149267909711695,1.999481781852181
W1,2011-01-31,0.05004597311853559,1.9988013691414048
W1,2011-02-28,0.037374687206142704,1.9999343787617172
W1,2011-03-31,0.05694231363655557,1.985788986454878
W1,2011-04-30,0.05366776315220876,1.9983836397962393
W1,2011-05-31,0.07226797273098287,1.999147510997934
W1,2011-06-30,0.14753638480272127,1.9539144573227119
W1,2011-07-31,0.19069725250816943,1.4123077830189095
W1,2011-08-31,0.2706569690629159,1.0000539832467277
W1,2011-09-30,0.23504406136276587,1.000020038923835
W1,2011-10-31,0.44002208898630474,1.0000241314155656
W1,2011-11-30,0.418512278219369,1.0012948168400577
W1,2011-12-31,0.3013828144582386,1.022397361508942
W1,2012-01-31,0.13178263085191144,1.3564099814750457
W1,2012-02-29,0.06948061182588343,1.9938929076317684
W1,2012-03-31,0.028585324029718213,1.9996410397680942
W1,2012-04-30,0.030151868932192846,1.9880606582208897
W1,2012-05-31,0.21146063822263125,1.9672879750883423
W1,2012-06-30,0.23422716168913824,1.709345476434362
W1,2012-07-31,0.11727348904005559,1.9535708756562595
W1,2012-08-31,0.04415068612813206,1.9701783988574406
W1,2012-09-30,0.03931995330191514,1.9714815738098341
W1,2012-10-31,0.0493283609666488,1.959974006424872
W1,2012-11-30,0.02825903786374086,1.9850976999127936
W1,2012-12-31,0.03579958984415834,1.8209420211312408
W1,2013-01-31,0.016968436902919073,1.9978721529192935
W1,2013-02-28,0.022419867005240172,1.9985843607428695
W1,2013-03-31,0.022899137829422146,1.9964873075646026
W1,2013-04-30,0.022064344254534875,1.9981801665697057
W1,2013-05-31,0.02240297244689924,1.999787403455455
W1,2013-06-30,0.031130294020974534,1.9966590649620723
W1,2013-07-31,0.01912468469724459,1.9989446616990096
W1,2013-08-31,0.03683735293217165,1.9973405736706418
W1,2013-09-30,0.020951651204251392,1.981160505300421
W1,2013-10-31,0.031872247247773274,1.9917058766329991
