epoch,train_step,train_sp_return,train_margin_chg,val_step,val_sp_return,val_margin_chg,nll_window,nll_step_channel,z_mean,z_std,ks_stat,ks_p,logdet_mean,logdet_std,elapsed_s
1,10382514.414066726,20251099.361403402,513931.51413040794,5.2350643028846156,1.154824725811298,9.315302584134615,544.4466875,5.2350643028846156,0.08833564817905426,2.4626057147979736,0.30344075322753217,0.0,273.3191833496094,98.93036651611328,6.721313238143921
2,65318.73947229068,13.886669805655293,130623.60318249706,48758130.53046154,3293.781930889423,97512971.65784615,5070845575.168,48758130.53046154,-6315.1201171875,7591.806640625,0.5,0.0,-878.4166870117188,134.7085418701172,13.121049642562866
3,189606327.23379686,3862827.1228229934,375349820.5573103,22.657985276442307,34.78018629807692,10.535783954326924,2356.43046875,22.657985276442307,-0.3251335024833679,6.605377674102783,0.4966607238812022,0.0,-23.834230422973633,20.02997589111328,19.55225968360901
4,753003862.2503052,6071669.446403248,1499935964.2951498,5962.793153846154,30.91473467548077,11894.67,620130.488,5962.793153846154,-31.538394927978516,104.55516815185547,0.49989873766385967,0.0,-237.0695037841797,80.71932983398438,26.05262303352356
5,117034633.67980842,1939301.3404795113,232129966.417281,4.329425330528846,1.5902183743990386,7.068631760817308,450.260234375,4.329425330528846,-0.5629767775535583,2.5272014141082764,0.33782713319383506,0.0,27.5125789642334,21.51502227783203,33.16486430168152
6,34248009.892212816,40050000.589182556,28446026.033820212,2.9056457331730767,1.1390994215745192,4.672191856971154,302.18715625,2.9056457331730767,1.2186650037765503,0.8053511381149292,0.6314828909751662,0.0,204.34530639648438,24.86488914489746,40.588616609573364
7,32417614.57825736,62166119.43304899,2669107.9506640146,4.131642578125,1.065002704326923,7.198282451923077,429.690828125,4.131642578125,0.299087256193161,0.2465391755104065,0.5067174372118818,0.0,654.5387573242188,42.84354782104492,48.6823365688324
8,4.8357755782141725,1.1049260898133215,8.566625073218415,2.9373960336538465,-0.6014895770733173,6.476281850961539,305.4891875,2.9373960336538465,-0.05158347636461258,1.1096153259277344,0.20978575041590847,0.0,300.04986572265625,92.15398406982422,58.74943566322327
9,5.232322771286379,1.0316545873780432,9.432991500800014,2.5478233173076927,1.0847982647235577,4.010848557692308,264.973625,2.5478233173076927,0.4201030135154724,0.34792235493659973,0.35038551061879647,0.0,301.37445068359375,3.420966386795044,70.20227026939392
10,263124297.15695614,10235565.756083857,516013037.6088014,2.4198778545673076,1.1932792217548076,3.646476412259615,251.667296875,2.4198778545673076,-0.2255759835243225,0.5194668173789978,0.350326235049658,0.0,268.6999206542969,22.64547348022461,82.90693545341492
11,18082620.6898336,839452.4076030896,35325790.144628875,22.702040264423076,1.6289146634615386,43.77516826923077,2361.0121875,22.702040264423076,5.086069583892822,4.066136360168457,0.8281010937896858,0.0,120.08015441894531,3.4940104484558105,95.69094610214233
12,208.38402515358962,1.677839297953202,415.09014228937184,1.69346484375,1.1297517277644231,2.2571781099759614,176.12034375,1.69346484375,0.7462337613105774,0.3828470706939697,0.5319937465489933,0.0,86.86504364013672,2.867206573486328,108.4688184261322
