window,train_end,alpha,beta,lambda,final_fitness,ann_ret,mdd,final_pp,min_pp,died_step,mean_ws,mean_wb,pct_stock_lev,pct_stock_1x,pct_bond,pct_mix
1,1995-04,1.7465536142639386,2.0859895890263895,1.1943461523255336,3601.0756064826187,5.316106856125713,0.0,0.9578648098484485,0.9578648098484485,-1,0.0,1.0,0.0,0.0,1.0,0.0
2,1996-04,1.6751835819972456,1.9590709061999032,1.1694663959541627,3601.049887512898,5.185995533924692,0.0,0.9677705971855869,0.9677705971855869,-1,0.0,1.0,0.0,0.0,1.0,0.0
3,1997-04,1.7939404296353632,2.7428392774329353,1.5289466874830653,2910.9473133017423,5.165045293064097,0.0,0.9565401557578466,0.9565401557578466,-1,0.0,1.0,0.0,0.0,1.0,0.0
4,1998-04,1.5379152072248388,1.9528950899526636,1.269832745510498,2365.119080085106,4.643458420296653,0.0,0.945619375074351,0.945619375074351,11,0.0,1.0,0.0,0.0,1.0,0.0
5,1999-04,2.6914113251912437,1.1761612830768693,0.4370054001289806,1951.563871706402,5.778284495702901,-14.627040594835078,0.9621453179708149,0.9120385661807052,4,2.0,0.0,1.0,0.0,0.0,0.0
6,2000-04,2.685630391459617,2.3478089350879965,0.8742114858969788,2699.9848206644583,-25.698168580088332,-38.613276289412376,0.663772175371485,0.6293906069610187,6,1.5833333333333333,0.0,0.5833333333333334,0.4166666666666667,0.0,0.0
7,2001-04,2.495392056977901,2.198653308610208,0.881085319824627,2641.4841098799434,-20.559931223439055,-22.545969148404392,0.7306935478477635,0.7300014657220867,2,1.5833333333333333,0.0,0.5833333333333334,0.4166666666666667,0.0,0.0
8,2002-04,2.516398731196809,2.231627652030317,0.8868338806421772,1430.9791274912866,-32.52020388221359,-35.276639567666344,0.6282294466204803,0.5329461159101367,1,1.9166666666666667,0.0,0.9166666666666666,0.08333333333333333,0.0,0.0
9,2003-04,1.291437275220485,2.930149085148539,2.2689054601186722,1390.9448928428521,0.9524647274986586,0.0,0.9471745346870117,0.9471745346870117,12,0.0,1.0,0.0,0.0,1.0,0.0
10,2004-04,1.1843755520221266,2.5751225303824588,2.174244922555063,1210.9460907164355,2.0412094820280613,0.0,0.9632099605764844,0.9632099605764844,-1,0.0,1.0,0.0,0.0,1.0,0.0
11,2005-04,1.354316209453884,2.7665623953262752,2.042774335870843,970.945543911955,3.9262984003290757,0.0,0.9654357513202305,0.9654357513202305,-1,0.0,1.0,0.0,0.0,1.0,0.0
12,2006-04,1.825535995497572,2.2568785341765096,1.2362826806717497,1870.2019481777659,5.008067446102604,0.0,0.9620908437686823,0.9620908437686823,-1,0.0,1.0,0.0,0.0,1.0,0.0
13,2007-04,2.2403131658174336,2.6656884521696003,1.1898731359715766,2631.1819027401957,5.240001557199014,0.0,0.9728252163225667,0.9547243476451368,-1,0.16666666666666666,0.9166666666666666,0.08333333333333333,0.0,0.9166666666666666,0.0
14,2008-04,2.376078791174813,2.52244473957104,1.0615997874059804,3251.1476175654475,-41.25422139799946,-54.95851708268188,0.5344514219541122,0.383401994885494,1,1.5,0.0,0.5,0.5,0.0,0.0
