month,date,n_alive,mean_lam,median_lam,mean_pp
0,2001-01-31,200,1.8906513729778618,1.0737502468396802,0.8418037896742737
1,2001-02-28,200,1.8906513729778618,1.0737502468396802,0.7415501320659135
2,2001-03-31,200,1.8906513729778618,1.0737502468396802,0.8188300138890053
3,2001-04-30,200,1.8906513729778618,1.0737502468396802,0.8054991613217394
4,2001-05-31,200,1.8906513729778618,1.0737502468396802,0.7715015360950533
5,2001-06-30,200,1.8906513729778618,1.0737502468396802,0.7496078126989022
6,2001-07-31,200,1.8906513729778618,1.0737502468396802,0.6700969884580634
7,2001-08-31,200,1.8906513729778618,1.0737502468396802,0.5810302316299456
8,2001-09-30,200,1.8906513729778618,1.0737502468396802,0.5906865897474133
9,2001-10-31,200,1.8906513729778618,1.0737502468396802,0.662127189891442
10,2001-11-30,200,1.8906513729778618,1.0737502468396802,0.6657232619971782
11,2001-12-31,200,1.8906513729778618,1.0737502468396802,0.636755475896201
12,2002-01-31,300,2.405059067245893,1.1939834687074717,0.7329061479531543
13,2002-02-28,300,2.405059067245893,1.1939834687074717,0.7774521195963753
14,2002-03-31,300,2.405059067245893,1.1939834687074717,0.7048106757474196
15,2002-04-30,300,2.405059067245893,1.1939834687074717,0.688956002275746
16,2002-05-31,182,3.5753307353690165,2.4840177257087843,0.716772252635595
17,2002-06-30,137,3.915678552731649,2.86855092357312,0.6748196816633717
18,2002-07-31,137,3.915678552731649,2.86855092357312,0.6767433615267995
19,2002-08-31,99,4.386353932710097,3.0323874053486795,0.597085047435258
20,2002-09-30,99,4.386353932710097,3.0323874053486795,0.6661973037849768
21,2002-10-31,99,4.386353932710097,3.0323874053486795,0.7168509979491117
22,2002-11-30,99,4.386353932710097,3.0323874053486795,0.6612864634153066
23,2002-12-31,99,4.386353932710097,3.0323874053486795,0.6322685219883948
24,2003-01-31,157,3.8068751855986145,2.260561646415887,0.7530070953069159
25,2003-02-28,157,3.8068751855986145,2.260561646415887,0.7617146817400784
26,2003-03-31,157,3.8068751855986145,2.260561646415887,0.8289852704833115
27,2003-04-30,157,3.8068751855986145,2.260561646415887,0.8676039623859482
28,2003-05-31,157,3.8068751855986145,2.260561646415887,0.8809239751107869
29,2003-06-30,157,3.8068751855986145,2.260561646415887,0.8859989733510742
30,2003-07-31,157,3.8068751855986145,2.260561646415887,0.9026819494322017
31,2003-08-31,157,3.8068751855986145,2.260561646415887,0.881724173125208
32,2003-09-30,157,3.8068751855986145,2.260561646415887,0.944257761711273
33,2003-10-31,157,3.8068751855986145,2.260561646415887,0.9528422128043469
34,2003-11-30,157,3.8068751855986145,2.260561646415887,1.0142820140045397
35,2003-12-31,157,3.8068751855986145,2.260561646415887,1.0359238823606753
36,2004-01-31,245,3.2919325108566,1.6814077229059041,1.0411882947569306
37,2004-02-29,245,3.2919325108566,1.6814077229059041,1.0162629550012132
38,2004-03-31,245,3.2919325108566,1.6814077229059041,0.981886954844257
39,2004-04-30,245,3.2919325108566,1.6814077229059041,0.9833783505990537
40,2004-05-31,245,3.2919325108566,1.6814077229059041,1.004436030457927
41,2004-06-30,245,3.2919325108566,1.6814077229059041,0.9503160640453753
42,2004-07-31,245,3.2919325108566,1.6814077229059041,0.9534958323536792
43,2004-08-31,245,3.2919325108566,1.6814077229059041,0.957917776516306
44,2004-09-30,245,3.2919325108566,1.6814077229059041,0.9689529776558602
45,2004-10-31,245,3.2919325108566,1.6814077229059041,1.0167662595093627
46,2004-11-30,245,3.2919325108566,1.6814077229059041,1.0547946373354442
47,2004-12-31,245,3.2919325108566,1.6814077229059041,1.0119733694135586
48,2005-01-31,300,3.2262926418273006,1.5657477669559545,1.0376706004305591
49,2005-02-28,300,3.2262926418273006,1.5657477669559545,1.0113455640876707
50,2005-03-31,300,3.2262926418273006,1.5657477669559545,0.9753921172210738
51,2005-04-30,300,3.2262926418273006,1.5657477669559545,1.003250692194262
52,2005-05-31,300,3.2262926418273006,1.5657477669559545,1.0028320003525262
53,2005-06-30,300,3.2262926418273006,1.5657477669559545,1.0499869490415086
54,2005-07-31,300,3.2262926418273006,1.5657477669559545,1.031980494498191
55,2005-08-31,300,3.2262926418273006,1.5657477669559545,1.0373374512099807
56,2005-09-30,300,3.2262926418273006,1.5657477669559545,1.0045626330042705
57,2005-10-31,300,3.2262926418273006,1.5657477669559545,1.0494160258950063
