market,strategy,return,vol,sharpe,sortino,mdd,action
S&P500,WF Top1 orig,1.9205657144530708,1.4631419550447082,0.17967825257940956,0.18130196271250265,-3.146851082749054,0.04795494473849734
S&P500,WF Top1 contra,5.548959094179251,15.579353266212243,0.323397692321308,0.2648953091175885,-47.317766031868,0.9520450552615026
S&P500,WF 90-99th orig,2.1271237252795228,1.3546079523030825,0.3431372344848193,0.37119615627056385,-2.1866436749643783,0.04693847961122325
S&P500,WF 90-99th contra,5.311368046034426,15.722869507291607,0.3076032180450382,0.24953969628311023,-47.15354969797952,0.9530615203887768
S&P500,WF 50-90th orig,2.317527725220714,1.2860300838490424,0.5063558584961485,0.5950037891910505,-1.567781949267218,0.04691321627372721
S&P500,WF 50-90th contra,5.097287207114065,15.833546867612187,0.29368232245309467,0.2368775898297497,-47.4974826347612,0.9530867837262728
S&P500,Buy & Hold,5.6726995064597,16.44463418067946,0.32236786940130585,0.26069978778874286,-47.74062583152528,1.0
S&P500,50/50 Fixed,4.023664080274614,8.201784746790887,0.32317488495316427,0.264821783437161,-25.70675611089245,0.5
NDX100,WF Top1 orig,2.0239647370642766,1.6093521814927652,0.28023097531568736,0.32576168737470906,-2.750268624131959,0.04354496909123238
NDX100,WF Top1 contra,9.532823989474416,22.133815842562367,0.460616511089476,0.39709475612952155,-45.724597497663424,0.9564550309087676
NDX100,WF 90-99th orig,2.0177379054806543,1.4460752857232364,0.30590517892454383,0.4023756644394879,-1.382629885190772,0.03993104563003568
NDX100,WF 90-99th contra,9.50653693625596,22.266980253808082,0.4582493596625712,0.394032358122439,-46.17557040275159,0.9600689543699643
NDX100,WF 50-90th orig,2.0016164275016513,1.5313982663109964,0.2793568727507896,0.3069866554666921,-3.202941668126759,0.047441465099362416
NDX100,WF 50-90th contra,9.545494518560481,22.219408166659083,0.4598855493669082,0.39873017334342015,-46.3148490083076,0.9525585349006376
NDX100,Buy & Hold,9.809375592492087,22.970969629027493,0.463462863513216,0.40066455472252477,-47.21029810373619,1.0
NDX100,50/50 Fixed,6.375940679893888,11.46665847097096,0.46422379234962563,0.4017520227642774,-25.29899956120597,0.5
Russell,WF Top1 orig,2.0528145281107912,1.371264570202464,0.20022836903764613,0.22045159756074736,-2.370216631701088,0.036938390051946046
Russell,WF Top1 contra,5.740542451156139,20.919253171992388,0.2918373003213009,0.26452065419814397,-49.291281348386974,0.963061609948054
Russell,WF 90-99th orig,2.1073007580042047,1.2597729308142942,0.2593699686627985,0.29464502996267694,-1.7424927072881136,0.038197039918159134
Russell,WF 90-99th contra,5.69050468325436,20.902953724611876,0.2895685104133608,0.26247350741606046,-49.28935684314377,0.9618029600818409
Russell,WF 50-90th orig,2.057807407179024,1.1767981565824963,0.23539388378321058,0.25952904724549675,-1.4534856193057957,0.027606651117093862
Russell,WF 50-90th contra,5.749288521845219,20.903532234444448,0.29193981581257517,0.2652742274863094,-49.21126323617815,0.9723933488829062
Russell,Buy & Hold,5.913505544872577,21.419137995436877,0.29784505988158455,0.27053041182017906,-49.29231212545316,1.0
Russell,50/50 Fixed,4.46015397116053,10.669326399274711,0.2989684728033298,0.2668122227627157,-26.051848556613766,0.5
