date,r_actual,r_star,gap,is_train,gap_valid
2000-06-09,0.027978519160144804,,,True,False
2000-06-16,0.027127526316170804,,,True,False
2000-06-23,0.027411269436283196,,,True,False
2000-06-30,0.0285722763254812,,,True,False
2000-07-07,0.030083962399295998,,,True,False
2000-07-14,0.0313105610300756,,,True,False
2000-07-21,0.0309333030289608,,,True,False
2000-07-28,0.0315934130607368,,,True,False
2000-08-04,0.030904298117721603,,,True,False
2000-08-11,0.031469610582888406,,,True,False
2000-08-18,0.03128120787752481,,,True,False
2000-08-25,0.03165797852251841,,,True,False
2000-09-01,0.034199655851930404,,,True,False
2000-09-08,0.0329741899563076,,,True,False
2000-09-15,0.0329741899563076,,,True,False
2000-09-22,0.033162818955250396,,,True,False
2000-09-29,0.0338227460921272,,,True,False
2000-10-06,0.0319704272247412,,,True,False
2000-10-13,0.0314991377587172,,,True,False
2000-10-20,0.032629867141898,,,True,False
2000-10-27,0.033006498775723196,,,True,False
2000-11-03,0.030375988688349197,,,True,False
2000-11-10,0.030281869846846797,,,True,False
2000-11-17,0.0300936061267452,,,True,False
2000-11-24,0.030187742326851202,,,True,False
2000-12-01,0.0318761867371012,,,True,False
2000-12-08,0.0305559055492964,,,True,False
2000-12-15,0.029895124026206397,,,True,False
2000-12-22,0.022788346483838002,,,True,False
2000-12-29,0.028666822322247196,,,True,False
2001-01-05,0.022333848899960002,,,True,False
2001-01-12,0.024331528636890795,,,True,False
2001-01-19,0.023475858926707196,,,True,False
2001-01-26,0.0228098417169064,,,True,False
2001-02-02,0.019817660310744403,,,True,False
2001-02-09,0.019817660310744403,,,True,False
2001-02-16,0.019436492734219605,,,True,False
2001-02-23,0.018196714008564003,,,True,False
2001-03-02,0.0196641787319328,,,True,False
2001-03-09,0.018517893051528,,,True,False
2001-03-16,0.0167960467259468,,,True,False
2001-03-23,0.014399763530048,,,True,False
2001-03-30,0.014495722976228,,,True,False
2001-04-06,0.011035485089719998,,,True,False
2001-04-13,0.011709228736966797,,,True,False
2001-04-20,0.009397396002004399,,,True,False
2001-04-27,0.010168589055414397,,,True,False
2001-05-04,0.0061923806261771994,,,True,False
2001-05-11,0.0065781593765680026,,,True,False
2001-05-18,0.004937591381668402,,,True,False
2001-05-25,0.005420385267803999,,,True,False
2001-06-01,0.0045468762317264,,,True,False
2001-06-08,0.0042572547211739975,,,True,False
2001-06-15,0.003097945863797202,,,True,False
2001-06-22,0.0024210735413228005,,,True,False
2001-06-29,0.004353804359507201,,,True,False
2001-07-06,0.006101699975290404,,,True,False
2001-07-13,0.006005132060912401,,,True,False
2001-07-20,0.0051356092928816,,,True,False
2001-07-27,0.005328900624439602,,,True,False
2001-08-03,0.008932072181806805,,,True,False
2001-08-10,0.008061725259754403,,,True,False
2001-08-17,0.007384275090155602,,,True,False
2001-08-24,0.007964974199956804,,,True,False
2001-08-31,0.006506406916448397,,,True,False
2001-09-07,0.0055379319211684,,,True,False
2001-09-14,-0.0005846928309300014,,,True,False
2001-09-21,-0.004393386949094002,,,True,False
2001-09-28,-0.002926821199910403,,,True,False
2001-10-05,-0.005954348108498401,,,True,False
2001-10-12,-0.005367130908177999,,,True,False
2001-10-19,-0.005954348108498401,,,True,False
2001-10-26,-0.006443954141606801,,,True,False
2001-11-02,0.009953187309546,,,True,False
2001-11-09,0.008186449779513199,,,True,False
2001-11-16,0.0093646147574148,,,True,False
2001-11-23,0.0093646147574148,,,True,False
2001-11-30,0.013654254185485982,,,True,False
2001-12-07,0.012769310145095181,,,True,False
2001-12-14,0.013162713402141982,,,True,False
2001-12-21,0.01296603074117238,,,True,False
2001-12-28,0.013064376812621983,,,True,False
2002-01-04,-0.0007864273772887999,,,True,False
2002-01-11,-0.0021641360738504,,,True,False
2002-01-18,-0.0017703150833576014,,,True,False
2002-01-25,-0.0007864273772887999,,,True,False
2002-02-01,-0.0013753201785752008,,,True,False
2002-02-08,-0.0016702730740643988,,,True,False
2002-02-15,-0.0015719459646123999,,,True,False
2002-02-22,-0.0013753201785752008,,,True,False
2002-03-01,-0.0032385532700716017,,,True,False
2002-03-08,-0.0028454532575352006,,,True,False
2002-03-15,-0.0023542911980068007,,,True,False
2002-03-22,-0.0025507276405519995,,,True,False
