feature,fold,a0,a_f,b0,b_f,f_mean_train,f_std_train,train_sh,test_sh,baseline_test_sh,delta_test_sh,test_ann_ret,mean_ws
metabolism,W1,1.8409233699131862,-0.6530040394206156,2.200955245524755,0.2202190826660286,0.006375157411295392,0.004594813656446373,0.3393247802816938,0.6714723325946728,0.0,0.6714723325946728,5.488760403215687,0.5555555555555556
metabolism,W2,1.1835402981131107,0.16645223475816112,2.832339332799707,-0.05739738402427969,0.006712336356861661,0.005002502592785536,0.35545716850722825,0.7807598689083002,0.15046437868006127,0.6302954902282389,3.8718936038596885,0.03981481481481481
metabolism,W3,2.029252733838189,-0.3076576360668378,2.3735399923171463,0.1611207646867024,0.006872332628113531,0.0070336053565633475,0.5266296544490692,0.06770225099162078,-0.12827138301802968,0.19597363400965045,3.6059683581847635,0.7962962962962964
m2_growth,W1,1.9668616666584577,-0.6911856619477355,2.1916967076645735,0.15104763527722873,0.004032619644665294,0.007787630077994664,0.3345748775116273,0.6714723325946728,0.0,0.6714723325946728,5.488760403215687,0.5555555555555556
m2_growth,W2,1.670687644366997,-0.2870903930921592,2.7092009468284663,0.7049978061678165,0.004727350904231103,0.008000361563447855,0.3125087316187677,-0.3325811381120988,0.15046437868006127,-0.48304551679216,0.09210192184010424,0.23703703703703705
m2_growth,W3,2.0759564198119436,0.11013814894225822,2.3179635037175714,-0.6083156370918686,0.005221623121329556,0.009140907434794315,0.5700375869404128,0.4401273897409765,-0.12827138301802968,0.5683987727590062,7.269979445878461,0.3722222222222223
m2_3m,W1,2.0769679101082414,1.1175825917021855,1.4104859627822903,-0.7732602139432516,0.012067650628113014,0.009997432619757378,0.3331672106698695,0.7012580993363529,0.0,0.7012580993363529,7.1225711562562966,0.8703703703703703
m2_3m,W2,2.0554744858980896,0.30135736279499253,2.4043106709216917,-0.15662887878448875,0.014172919568211366,0.010354589103499937,0.29892883477818605,0.8871136370934518,0.15046437868006127,0.7366492584133906,13.164964649967148,0.7546296296296297
m2_3m,W3,1.9728438387126095,0.37587737547552075,2.170584700130312,-0.7695891078472884,0.01569580337743714,0.016879953282470533,0.5706917587323505,-0.31790805742409556,-0.12827138301802968,-0.18963667440606588,0.8576365376062434,0.20000000000000007
sp_return,W1,1.0201380218718261,-0.3514824636125561,2.769214911650471,-0.591618958551721,0.006541240300536056,0.043329367176033855,0.5277662639632543,0.0,0.0,0.0,0.05464249393598575,0.0
sp_return,W2,1.3237300675728123,0.09799556250144431,2.534508207900041,-0.462596896414199,0.005999055707572976,0.044118968937060486,0.41165674463993984,0.6535998312788175,0.15046437868006127,0.5031354525987562,4.2573348339200345,0.09351851851851853
sp_return,W3,1.6629510807489347,-0.15846393975946071,2.114795569128619,-0.4368441539845332,0.0053229429736668795,0.043424634828966115,0.6304633442128221,0.08738507497036642,-0.12827138301802968,0.2156564579883961,4.062136274851169,0.35462962962962974
ndx_return,W1,2.0718259673567556,0.7545501295809103,1.4719171438428753,-0.7760749529700033,0.013127014767694626,0.0778319387122671,0.34756203364966975,0.6962618713616563,0.0,0.6962618713616563,8.029284515196021,0.9074074074074074
ndx_return,W2,2.0361424461853397,0.5167045621912656,1.1572388436304692,-0.5683731297524293,0.011626480667955732,0.07619021475532921,0.340107481748208,0.8342913591525243,0.15046437868006127,0.683826980472463,12.858743482224133,0.9277777777777778
ndx_return,W3,2.125498942689502,0.29772552252937845,1.2879770018747256,-0.6515202507806824,0.009203174990556081,0.06361066531871792,0.6009378317037194,0.7168646116024135,-0.12827138301802968,0.8451359946204432,12.994144769893667,0.8907407407407407
sp_1m,W1,1.1281710635820905,-0.4465167826906751,2.7240600446591796,-0.40329458764254456,0.006372605788001044,0.04317885041067022,0.46762675416516253,0.0,0.0,0.0,0.05464249393598575,0.0
sp_1m,W2,1.0722199279382758,-0.5931891863299478,2.68696345397247,-0.7416390822378051,0.00614478095106738,0.04409876618152089,0.3987630296553396,0.05197638018353131,0.15046437868006127,-0.09848799849652995,1.232766309409672,0.000925925925925926
sp_1m,W3,1.7537641609159662,0.2575599910347045,2.655703729364213,-0.234264325750031,0.005185159584209207,0.04337595571377885,0.6160230272923284,-0.514800305324295,-0.12827138301802968,-0.38652892230626534,0.9194834838680999,0.15000000000000002
ndx_1m,W1,2.2475398717946207,0.7732229698306309,1.6039988808351484,-0.8996624230329372,0.013101189385424879,0.07782156350575951,0.32810127436718967,0.7180928667480975,0.0,0.7180928667480975,8.337176619309528,0.9074074074074074
ndx_1m,W2,2.4124868833110553,0.6796503774686949,1.1042835326388323,-0.5096559790816652,0.011567374014999928,0.07621655750102165,0.274128031595934,0.7728757232605274,0.15046437868006127,0.6224113445804662,12.644232229965958,1.0
ndx_1m,W3,2.5515354794536105,0.5924171777921884,1.4309046004578796,-0.4725534261719501,0.008718602501338673,0.06373681408168602,0.5920160537396348,0.41277928935427416,-0.12827138301802968,0.5410506723723039,8.356458254978016,0.8916666666666667
ndx_3m,W1,2.211011192634949,0.7893863813921594,1.52733707082756,-0.5979238960693213,0.04145123961902423,0.1442417178630386,0.43952513055295306,0.7180928667480975,0.0,0.7180928667480975,8.337176619309528,0.9814814814814815
ndx_3m,W2,1.4739749058988005,0.6455561267359337,2.394438371322506,-1.2923159702888758,0.035215999413418575,0.1376146802897484,0.3976498908287876,0.22935671153750456,0.15046437868006127,0.07889233285744329,3.5691065530437216,0.5620370370370371
