month,date,n_alive,mean_lam,median_lam,mean_pp
0,2011-01-31,200,1.8906513729778618,1.0737502468396802,1.0422234576778069
1,2011-02-28,200,1.8906513729778618,1.0737502468396802,1.0403127713767224
2,2011-03-31,200,1.8906513729778618,1.0737502468396802,1.0693789194792922
3,2011-04-30,200,1.8906513729778618,1.0737502468396802,1.0379662127323892
4,2011-05-31,200,1.8906513729778618,1.0737502468396802,1.0052737224964425
5,2011-06-30,200,1.8906513729778618,1.0737502468396802,0.9637657895552795
6,2011-07-31,200,1.8906513729778618,1.0737502468396802,0.8685062220836344
7,2011-08-31,200,1.8906513729778618,1.0737502468396802,0.7603926596023379
8,2011-09-30,200,1.8906513729778618,1.0737502468396802,0.8871910656320293
9,2011-10-31,200,1.8906513729778618,1.0737502468396802,0.871102917705318
10,2011-11-30,200,1.8906513729778618,1.0737502468396802,0.877252357401384
11,2011-12-31,200,1.8906513729778618,1.0737502468396802,0.9341377801877015
12,2012-01-31,300,2.441092355023845,1.2532288720684903,1.007429674685567
13,2012-02-29,300,2.441092355023845,1.2532288720684903,1.057938397009784
14,2012-03-31,300,2.441092355023845,1.2532288720684903,1.0343418943277172
15,2012-04-30,300,2.441092355023845,1.2532288720684903,0.9341603786275088
16,2012-05-31,300,2.441092355023845,1.2532288720684903,0.9954087216379215
17,2012-06-30,300,2.441092355023845,1.2532288720684903,1.007095797476223
18,2012-07-31,300,2.441092355023845,1.2532288720684903,1.032660908206352
19,2012-08-31,300,2.441092355023845,1.2532288720684903,1.0637458827529125
20,2012-09-30,300,2.441092355023845,1.2532288720684903,1.0259897388468666
21,2012-10-31,300,2.441092355023845,1.2532288720684903,1.0225070251261343
22,2012-11-30,300,2.441092355023845,1.2532288720684903,1.0271430887119122
23,2012-12-31,300,2.441092355023845,1.2532288720684903,1.0747775446709567
24,2013-01-31,300,2.441092355023845,1.2532288720684903,1.0891831919460155
25,2013-02-28,300,2.441092355023845,1.2532288720684903,1.150845669096017
26,2013-03-31,300,2.441092355023845,1.2532288720684903,1.1667971065115414
27,2013-04-30,300,2.441092355023845,1.2532288720684903,1.1874222930695748
28,2013-05-31,300,2.441092355023845,1.2532288720684903,1.1581945993475429
29,2013-06-30,300,2.441092355023845,1.2532288720684903,1.2368630768574802
30,2013-07-31,300,2.441092355023845,1.2532288720684903,1.1702944353531068
31,2013-08-31,300,2.441092355023845,1.2532288720684903,1.2168873982148165
32,2013-09-30,300,2.441092355023845,1.2532288720684903,1.283707417330871
33,2013-10-31,300,2.441092355023845,1.2532288720684903,1.3167041489009563
34,2013-11-30,300,2.441092355023845,1.2532288720684903,1.365313589391715
35,2013-12-31,300,2.441092355023845,1.2532288720684903,1.283785451062259
36,2014-01-31,300,2.441092355023845,1.2532288720684903,1.3642001116818914
37,2014-02-28,300,2.441092355023845,1.2532288720684903,1.3793342543813005
38,2014-03-31,300,2.441092355023845,1.2532288720684903,1.3776674689867374
39,2014-04-30,300,2.441092355023845,1.2532288720684903,1.4051702205053258
40,2014-05-31,300,2.441092355023845,1.2532288720684903,1.4488732083039193
41,2014-06-30,300,2.441092355023845,1.2532288720684903,1.4056566032202142
42,2014-07-31,300,2.441092355023845,1.2532288720684903,1.4777537312192408
43,2014-08-31,300,2.441092355023845,1.2532288720684903,1.4387600810611991
44,2014-09-30,300,2.441092355023845,1.2532288720684903,1.476903474636575
45,2014-10-31,300,2.441092355023845,1.2532288720684903,1.5319462835832935
46,2014-11-30,300,2.441092355023845,1.2532288720684903,1.5141278661953281
47,2014-12-31,300,2.441092355023845,1.2532288720684903,1.4329559673128094
48,2015-01-31,300,2.441092355023845,1.2532288720684903,1.5593695330580608
49,2015-02-28,300,2.441092355023845,1.2532288720684903,1.5119768988231987
50,2015-03-31,300,2.441092355023845,1.2532288720684903,1.5143230463054154
51,2015-04-30,300,2.441092355023845,1.2532288720684903,1.522517474695082
52,2015-05-31,300,2.441092355023845,1.2532288720684903,1.4709634533345564
53,2015-06-30,300,2.441092355023845,1.2532288720684903,1.5040054254168937
54,2015-07-31,300,2.441092355023845,1.2532288720684903,1.3490564312230702
55,2015-08-31,300,2.441092355023845,1.2532288720684903,1.2883538541513666
56,2015-09-30,300,2.441092355023845,1.2532288720684903,1.4327268985472073
57,2015-10-31,300,2.441092355023845,1.2532288720684903,1.4335964064173583
58,2015-11-30,300,2.441092355023845,1.2532288720684903,1.380927226286847
59,2015-12-31,300,2.441092355023845,1.2532288720684903,1.270558402176944
60,2016-01-31,300,2.441092355023845,1.2532288720684903,1.2499030427537274
