variable,VIF,R2_self
tbill_wr,1.2351172246203714,0.19036025077914176
excess_liq_wr,1.0159949689444576,0.015743157627124083
sp_return,1.0073467622471328,0.0072931809804442915
vix_wr,1.0055919787500087,0.005560882413719992
pp_bond_13w_lag,1.2427905747652757,0.19535920186000066
_condition_number,2.600209323776897,
