fold,feature,horizon,baseline_mean,with_mean,dAUC,t_stat,p_value
W1,pp_bond,1,0.3934156378600823,0.405761316872428,0.012345679012345678,0.27052838451936284,0.8001389832241443
W1,pp_stock,1,0.3934156378600823,0.40658436213991767,0.013168724279835342,0.16947711982656025,0.8736470639146334
W1,fomo_gap,1,0.3934156378600823,0.38189300411522636,-0.011522633744855959,-0.16070603369370104,0.8801146182489477
W1,pp_bond,3,0.3934156378600823,0.3748971193415638,-0.018518518518518545,-0.3103632801728148,0.7717836245285448
W1,pp_stock,3,0.3934156378600823,0.47818930041152263,0.08477366255144031,1.5107292792998526,0.20538008560194623
W1,fomo_gap,3,0.3934156378600823,0.3864197530864197,-0.006995884773662642,-0.10598845668862784,0.9206941460059215
W1,pp_bond,6,0.3934156378600823,0.4168724279835391,0.02345679012345675,0.41123892774225707,0.701976122280971
W1,pp_stock,6,0.3934156378600823,0.3802469135802469,-0.013168724279835398,-0.36252623509036513,0.7353017757491553
W1,fomo_gap,6,0.3934156378600823,0.39094650205761317,-0.002469135802469158,-0.06412987336665037,0.9519437603983296
W1,pp_bond,12,0.3934156378600823,0.405761316872428,0.012345679012345678,0.32477538497943953,0.7616269841578556
W1,pp_stock,12,0.3934156378600823,0.4008230452674897,0.007407407407407363,0.2129245833437787,0.8417971610289133
W1,fomo_gap,12,0.3934156378600823,0.42181069958847733,0.02839506172839501,0.739821429496793,0.5004764274937186
W2,pp_bond,1,0.5933035714285715,0.534375,-0.05892857142857144,-1.0554428732056127,0.3507526538073433
W2,pp_stock,1,0.5933035714285715,0.5397321428571429,-0.0535714285714286,-0.9398404690932928,0.40051168285386
W2,fomo_gap,1,0.5933035714285715,0.5370535714285715,-0.05625000000000002,-0.9628846781304599,0.3901326165067136
W2,pp_bond,3,0.5933035714285715,0.5459821428571429,-0.047321428571428625,-0.7461181861540194,0.4970580390409376
W2,pp_stock,3,0.5933035714285715,0.5624999999999999,-0.030803571428571597,-0.4828777266966123,0.6544208715018396
W2,fomo_gap,3,0.5933035714285715,0.578125,-0.015178571428571486,-0.36226630187541004,0.735481599902752
W2,pp_bond,6,0.5933035714285715,0.5941964285714285,0.0008928571428570287,0.014648379001649876,0.9890142068423564
W2,pp_stock,6,0.5933035714285715,0.5629464285714285,-0.03035714285714297,-0.5469571873419738,0.6134903139640268
W2,fomo_gap,6,0.5933035714285715,0.5477678571428571,-0.045535714285714346,-0.75480009812402,0.49237362480502633
W2,pp_bond,12,0.5933035714285715,0.5200892857142857,-0.07321428571428579,-1.426707398994653,0.22682418506137028
W2,pp_stock,12,0.5933035714285715,0.5424107142857142,-0.050892857142857295,-0.9765192796412298,0.38410054198822513
W2,fomo_gap,12,0.5933035714285715,0.5397321428571428,-0.053571428571428714,-1.0695756427718082,0.34505921891852825
W3,pp_bond,1,0.4790178571428571,0.46696428571428567,-0.012053571428571441,-0.4445385581508555,0.6796459889927642
W3,pp_stock,1,0.4790178571428571,0.4736607142857142,-0.005357142857142894,-0.14214876842137175,0.893834852381383
W3,fomo_gap,1,0.4790178571428571,0.4736607142857142,-0.005357142857142894,-0.14214876842137175,0.893834852381383
W3,pp_bond,3,0.4790178571428571,0.4633928571428571,-0.015625,-0.2981559191169939,0.7804300963811319
W3,pp_stock,3,0.4790178571428571,0.4642857142857143,-0.014732142857142805,-0.35628341463896496,0.7396262571150993
W3,fomo_gap,3,0.4790178571428571,0.465625,-0.013392857142857095,-0.39485649300089143,0.7130989071478036
W3,pp_bond,6,0.4790178571428571,0.4772321428571429,-0.0017857142857142239,-0.04564800448938999,0.9657788507873459
W3,pp_stock,6,0.4790178571428571,0.47232142857142856,-0.006696428571428548,-0.20355948538055804,0.8486341432572624
W3,fomo_gap,6,0.4790178571428571,0.4736607142857143,-0.005357142857142783,-0.137862748407736,0.8970103186776033
W3,pp_bond,12,0.4790178571428571,0.5875,0.10848214285714292,2.5158730735727146,0.06564486750535195
W3,pp_stock,12,0.4790178571428571,0.48482142857142857,0.0058035714285714635,0.10655737704918056,0.9202704528053178
