date,m2_level,gdp_real,cpi_level,m2_yoy,gdp_yoy,cpi_yoy,nominal_gdp_yoy,excess_liq_yoy,k,k_normalized,excess_share_pct,cumulative_excess_pct
1985-03-31,2353.8,8400.82,106.8,,,,,,0.002623473166035772,1.0644267776771743,6.052720490343965,
1985-06-30,2407.5,8474.787,107.5,,,,,,0.0026425854522608414,1.072181242065821,6.732186614899738,
1985-09-30,2448.6,8604.22,108.1,,,,,,0.002632574346502446,1.0681194170083548,6.377509473533138,
1985-12-31,2505.3,8668.188,109.5,,,,,,0.0026394734464451537,1.0709186020032544,6.622221508767745,
1986-03-31,2535.2,8749.127,109.1,7.706687059223372,4.146107165729074,2.1535580524344455,6.299665218163519,1.4070218410598523,0.0026559674906528425,1.0776107620581576,7.202114603043386,
1986-06-30,2602.4,8788.524,109.4,8.09553478712357,3.702004545954951,1.7674418604651132,5.469446406420064,2.6260883807035063,0.002706704127618206,1.0981962346653822,8.941592728671333,
1986-09-30,2651.1,8872.601,110.0,8.27003185493751,3.1191787285773875,1.757631822386685,4.8768105509640725,3.393221303973438,0.0027163296412077006,1.1021016126757988,9.264264882791128,
1986-12-31,2751.5,8920.193,110.8,9.827166407216703,2.9072396676214085,1.187214611872145,4.0944542794935535,5.73271212772315,0.0027839120174837848,1.1295219392637086,11.466969764937806,
1987-03-31,2742.5,8986.367,112.2,8.17686967497635,2.7115848244058993,2.8414298808432603,5.55301470524916,2.6238549697271907,0.0027200045359579163,1.103592634740715,9.386854485944784,
1987-06-30,2755.4,9083.256,113.5,5.879188441438665,3.353600672877488,3.7477148080438782,7.101315480921366,-1.222127039482701,0.002672681688414249,1.0843922454348358,7.7824464155029975,
1987-09-30,2774.1,9162.024,114.7,4.639583569084538,3.2619859723208355,4.2727272727272725,7.534713245048108,-2.8951296759635703,0.0026397771748756737,1.0710418343193966,6.632965402751124,
1987-12-31,2835.4,9319.332,115.6,3.0492458658913257,4.474555651430423,4.332129963898912,8.806685615329336,-5.757439749438009,0.002631914139436137,1.0678515499345502,6.35402457754628,
1988-03-31,2882.7,9367.502,116.5,5.112123974475846,4.241257896544837,3.832442067736186,8.073699964281023,-2.9615759898051763,0.0026414946064152096,1.071738651097695,6.693670236136285,
1988-06-30,2920.1,9490.594,118.0,5.9773535602816175,4.484493225777175,3.96475770925111,8.449250935028285,-2.4718973747466677,0.002607488021244142,1.057941094354189,5.476778873927623,
