fold,condition,feature,horizon,seed,auc
W2,with_pp_stock_3m,pp_stock,3,0,
W2,with_pp_stock_3m,pp_stock,3,99,
W2,with_fomo_gap_3m,fomo_gap,3,42,
W2,with_fomo_gap_3m,fomo_gap,3,123,
W2,with_fomo_gap_3m,fomo_gap,3,777,
W2,with_fomo_gap_3m,fomo_gap,3,0,
W2,with_fomo_gap_3m,fomo_gap,3,99,
W2,with_pp_bond_6m,pp_bond,6,42,
W2,with_pp_bond_6m,pp_bond,6,123,
W2,with_pp_bond_6m,pp_bond,6,777,
W2,with_pp_bond_6m,pp_bond,6,0,
W2,with_pp_bond_6m,pp_bond,6,99,
W2,with_pp_stock_6m,pp_stock,6,42,
W2,with_pp_stock_6m,pp_stock,6,123,
W2,with_pp_stock_6m,pp_stock,6,777,
W2,with_pp_stock_6m,pp_stock,6,0,
W2,with_pp_stock_6m,pp_stock,6,99,
W2,with_fomo_gap_6m,fomo_gap,6,42,
W2,with_fomo_gap_6m,fomo_gap,6,123,
W2,with_fomo_gap_6m,fomo_gap,6,777,
W2,with_fomo_gap_6m,fomo_gap,6,0,
W2,with_fomo_gap_6m,fomo_gap,6,99,
W2,with_pp_bond_12m,pp_bond,12,42,
W2,with_pp_bond_12m,pp_bond,12,123,
W2,with_pp_bond_12m,pp_bond,12,777,
W2,with_pp_bond_12m,pp_bond,12,0,
W2,with_pp_bond_12m,pp_bond,12,99,
W2,with_pp_stock_12m,pp_stock,12,42,
W2,with_pp_stock_12m,pp_stock,12,123,
W2,with_pp_stock_12m,pp_stock,12,777,
W2,with_pp_stock_12m,pp_stock,12,0,
W2,with_pp_stock_12m,pp_stock,12,99,
W2,with_fomo_gap_12m,fomo_gap,12,42,
W2,with_fomo_gap_12m,fomo_gap,12,123,
W2,with_fomo_gap_12m,fomo_gap,12,777,
W2,with_fomo_gap_12m,fomo_gap,12,0,
W2,with_fomo_gap_12m,fomo_gap,12,99,
W3,baseline,(none),0,42,0.8571428571428572
W3,baseline,(none),0,123,0.8285714285714285
W3,baseline,(none),0,777,0.8857142857142857
W3,baseline,(none),0,0,0.4571428571428572
W3,baseline,(none),0,99,0.7428571428571429
W3,with_pp_bond_1m,pp_bond,1,42,0.6857142857142857
W3,with_pp_bond_1m,pp_bond,1,123,0.8857142857142857
W3,with_pp_bond_1m,pp_bond,1,777,0.8
W3,with_pp_bond_1m,pp_bond,1,0,0.6
W3,with_pp_bond_1m,pp_bond,1,99,0.8857142857142857
W3,with_pp_stock_1m,pp_stock,1,42,0.8285714285714285
W3,with_pp_stock_1m,pp_stock,1,123,0.8285714285714285
W3,with_pp_stock_1m,pp_stock,1,777,0.9142857142857143
W3,with_pp_stock_1m,pp_stock,1,0,0.5142857142857142
W3,with_pp_stock_1m,pp_stock,1,99,0.8
W3,with_fomo_gap_1m,fomo_gap,1,42,0.8285714285714285
W3,with_fomo_gap_1m,fomo_gap,1,123,0.8571428571428572
W3,with_fomo_gap_1m,fomo_gap,1,777,0.8571428571428572
W3,with_fomo_gap_1m,fomo_gap,1,0,0.6285714285714286
W3,with_fomo_gap_1m,fomo_gap,1,99,0.7428571428571429
W3,with_pp_bond_3m,pp_bond,3,42,0.8285714285714285
W3,with_pp_bond_3m,pp_bond,3,123,0.7428571428571429
W3,with_pp_bond_3m,pp_bond,3,777,0.8857142857142857
W3,with_pp_bond_3m,pp_bond,3,0,0.6857142857142857
W3,with_pp_bond_3m,pp_bond,3,99,0.9142857142857143
W3,with_pp_stock_3m,pp_stock,3,42,0.8857142857142857
W3,with_pp_stock_3m,pp_stock,3,123,0.8571428571428572
W3,with_pp_stock_3m,pp_stock,3,777,0.9428571428571428
W3,with_pp_stock_3m,pp_stock,3,0,0.5714285714285714
W3,with_pp_stock_3m,pp_stock,3,99,0.9714285714285714
W3,with_fomo_gap_3m,fomo_gap,3,42,0.8857142857142857
W3,with_fomo_gap_3m,fomo_gap,3,123,0.8571428571428572
W3,with_fomo_gap_3m,fomo_gap,3,777,0.9142857142857143
W3,with_fomo_gap_3m,fomo_gap,3,0,0.48571428571428577
W3,with_fomo_gap_3m,fomo_gap,3,99,0.7428571428571429
W3,with_pp_bond_6m,pp_bond,6,42,0.9428571428571428
W3,with_pp_bond_6m,pp_bond,6,123,0.6
W3,with_pp_bond_6m,pp_bond,6,777,0.9714285714285714
W3,with_pp_bond_6m,pp_bond,6,0,0.5428571428571429
W3,with_pp_bond_6m,pp_bond,6,99,0.8857142857142857
W3,with_pp_stock_6m,pp_stock,6,42,0.8285714285714285
W3,with_pp_stock_6m,pp_stock,6,123,0.8285714285714285
W3,with_pp_stock_6m,pp_stock,6,777,0.8285714285714285
W3,with_pp_stock_6m,pp_stock,6,0,0.6285714285714286
W3,with_pp_stock_6m,pp_stock,6,99,0.8571428571428572
W3,with_fomo_gap_6m,fomo_gap,6,42,0.8857142857142857
W3,with_fomo_gap_6m,fomo_gap,6,123,0.8285714285714285
W3,with_fomo_gap_6m,fomo_gap,6,777,0.8285714285714285
W3,with_fomo_gap_6m,fomo_gap,6,0,0.6
W3,with_fomo_gap_6m,fomo_gap,6,99,0.7714285714285715
W3,with_pp_bond_12m,pp_bond,12,42,0.9142857142857143
W3,with_pp_bond_12m,pp_bond,12,123,0.8
W3,with_pp_bond_12m,pp_bond,12,777,0.9428571428571428
W3,with_pp_bond_12m,pp_bond,12,0,0.7142857142857143
W3,with_pp_bond_12m,pp_bond,12,99,0.8571428571428572
W3,with_pp_stock_12m,pp_stock,12,42,0.8857142857142857
W3,with_pp_stock_12m,pp_stock,12,123,0.8285714285714285
W3,with_pp_stock_12m,pp_stock,12,777,0.9142857142857143
W3,with_pp_stock_12m,pp_stock,12,0,0.6
W3,with_pp_stock_12m,pp_stock,12,99,0.8285714285714285
W3,with_fomo_gap_12m,fomo_gap,12,42,0.7714285714285715
W3,with_fomo_gap_12m,fomo_gap,12,123,0.7714285714285715
W3,with_fomo_gap_12m,fomo_gap,12,777,0.9428571428571428
W3,with_fomo_gap_12m,fomo_gap,12,0,0.6285714285714286
W3,with_fomo_gap_12m,fomo_gap,12,99,0.8
W4,baseline,(none),0,42,0.8526785714285714
W4,baseline,(none),0,123,0.8035714285714286
W4,baseline,(none),0,777,0.8080357142857143
W4,baseline,(none),0,0,0.8125
W4,baseline,(none),0,99,0.8437499999999999
W4,with_pp_bond_1m,pp_bond,1,42,0.8303571428571428
W4,with_pp_bond_1m,pp_bond,1,123,0.8348214285714286
W4,with_pp_bond_1m,pp_bond,1,777,0.7857142857142857
W4,with_pp_bond_1m,pp_bond,1,0,0.78125
W4,with_pp_bond_1m,pp_bond,1,99,0.8482142857142857
W4,with_pp_stock_1m,pp_stock,1,42,0.8660714285714285
W4,with_pp_stock_1m,pp_stock,1,123,0.8258928571428571
W4,with_pp_stock_1m,pp_stock,1,777,0.7991071428571429
W4,with_pp_stock_1m,pp_stock,1,0,0.8169642857142857
W4,with_pp_stock_1m,pp_stock,1,99,0.8392857142857143
W4,with_fomo_gap_1m,fomo_gap,1,42,0.875
W4,with_fomo_gap_1m,fomo_gap,1,123,0.84375
W4,with_fomo_gap_1m,fomo_gap,1,777,0.7991071428571429
W4,with_fomo_gap_1m,fomo_gap,1,0,0.8169642857142857
