,tbill_wr,excess_liq_wr,sp_return,vix_wr,pp_bond_13w_lag
tbill_wr,1.0,-0.028324,-0.021959,0.02072,0.314791
excess_liq_wr,-0.028324,1.0,-0.093201,0.029736,0.036549
sp_return,-0.021959,-0.093201,1.0,0.02457,-0.04239
vix_wr,0.02072,0.029736,0.02457,1.0,0.015923
pp_bond_13w_lag,0.314791,0.036549,-0.04239,0.015923,1.0
