epoch,train_step,train_sp_return,train_margin_chg,val_step,val_sp_return,val_margin_chg,nll_window,nll_step_channel,z_mean,z_std,ks_stat,ks_p,logdet_mean,logdet_std,elapsed_s
17,-2.373161405889191,-2.3191215088392485,-2.4272012814781077,-1.451927039513221,-1.1106352914663462,-1.79321875,-151.000412109375,-1.451927039513221,0.07322156429290771,0.445970743894577,0.26071970532294964,0.0,-511.78839111328125,108.1408462524414,91.62256002426147
18,-2.337527499497614,-2.2691226155678197,-2.4059324197460663,-2.1289711162860576,-2.0407261493389424,-2.217216045673077,-221.41299609375,-2.1289711162860576,-0.18994037806987762,0.8753201961517334,0.1362954290187809,4.280930577000155e-211,-706.46142578125,46.368507385253906,96.41532254219055
19,-2.3286982619580567,-2.257785130589217,-2.399611413137074,-2.1050161884014424,-1.9254950045072114,-2.2845374474158655,-218.92168359375,-2.1050161884014424,-0.031823236495256424,0.6460967063903809,0.15300700916381282,3.293357331608758e-266,-647.940185546875,53.97771072387695,101.42704772949219
20,-2.428687652287436,-2.3415857117168057,-2.515789686956409,-1.4278876389723556,-1.0104901780348559,-1.84528515625,-148.500314453125,-1.4278876389723556,0.22986865043640137,0.4171068072319031,0.33548856500258767,0.0,-507.73211669921875,131.79969787597656,106.00505518913269
21,-2.4083065176170058,-2.317158884859235,-2.4994541322154475,-1.2035507061298076,-1.356862999549279,-1.0502383751502404,-125.1692734375,-1.2035507061298076,0.5129628777503967,0.3396463394165039,0.4683405288204258,0.0,-478.744384765625,45.338165283203125,110.26278638839722
22,-2.4257061215534517,-2.34721102947205,-2.5042012086823093,-1.458905254657452,-0.944669668344351,-1.9731409630408654,-151.726146484375,-1.458905254657452,0.3838611841201782,0.47964271903038025,0.3555148022295129,0.0,-539.2456665039062,108.65121459960938,114.59008526802063
23,-2.472127732629063,-2.37074346314335,-2.5735119575418772,-1.2071433856670672,-0.8001099031888521,-1.6141769080528847,-125.542912109375,-1.2071433856670672,0.19951848685741425,0.4812125265598297,0.261188423056374,0.0,-485.3504333496094,151.66746520996094,119.41662335395813
24,-2.519042263837858,-2.405567456849736,-2.6325171269548155,-1.3267550142728366,-1.1467738506610576,-1.5067361591045674,-137.982521484375,-1.3267550142728366,0.283062219619751,0.6216536164283752,0.2421849148085496,0.0,-520.1553955078125,87.61749267578125,123.53569507598877
25,-2.5463569407518274,-2.4201444720571903,-2.6725694358600345,-1.7449933143028846,-1.3266227463942308,-2.1633638822115384,-181.4793046875,-1.7449933143028846,0.20068253576755524,1.0492491722106934,0.12445270031975403,5.8927932942581094e-176,-669.9495849609375,69.42997741699219,127.89384484291077
26,-2.5808869794915537,-2.437865032231951,-2.7239089333545485,-2.3136640625,-2.1386778846153844,-2.488650127704327,-240.6210625,-2.3136640625,0.20000672340393066,0.6215568780899048,0.2351375988212946,0.0,-717.5447387695312,57.97576904296875,132.17146801948547
27,-2.6046803577707456,-2.4443042527722625,-2.765056515596368,-1.6142467886117788,-1.1941306715745192,-2.034363018329327,-167.881666015625,-1.6142467886117788,0.2096305787563324,0.37637612223625183,0.3778984621991482,0.0,-556.6243896484375,124.74898529052734,136.60296416282654
28,-2.6527019477207836,-2.4791243669855945,-2.826279533408517,-2.035422137920673,-1.7081523061899038,-2.362691932091346,-211.68390234375,-2.035422137920673,0.05389007180929184,0.44506707787513733,0.28188671560687883,0.0,-643.6038208007812,74.85426330566406,140.8188304901123
29,-2.6670250327739575,-2.4882244987945903,-2.8458255518956914,-1.8256529447115386,-1.4976505596454326,-2.1536554236778844,-189.86790625,-1.8256529447115386,0.030406834557652473,0.3353305757045746,0.3086800494409914,0.0,-589.966796875,97.53832244873047,145.24607706069946
30,-2.6853920353525558,-2.494556932574186,-2.8762271348292288,-1.9103680889423076,-1.5890165264423077,-2.2317195763221154,-198.67828125,-1.9103680889423076,0.10909019410610199,0.43716996908187866,0.28625754988202023,0.0,-622.1473388671875,112.00729370117188,149.65699648857117
31,-2.726100061126283,-2.516698033110889,-2.9355020742840443,-1.9642953350360577,-1.5720056527944712,-2.356584773137019,-204.28671484375,-1.9642953350360577,0.14417244493961334,0.4955611228942871,0.308109703586361,0.0,-634.7623291015625,104.54278564453125,153.8569896221161
32,-2.7341444689668024,-2.513714828416923,-2.9545740682454795,-2.0532930438701924,-1.6684133864182693,-2.4381726637620194,-213.5424765625,-2.0532930438701924,0.10731817781925201,0.5016303062438965,0.29382258293121344,0.0,-656.4970092773438,95.1284408569336,157.91529512405396
33,-2.7619868180174776,-2.5267400034807803,-2.9972337431609986,-2.1411746920072114,-1.7509509840745192,-2.5313985501802883,-222.68216796875,-2.1411746920072114,0.12699732184410095,0.6043141484260559,0.26415719949314787,0.0,-677.5933227539062,94.71843719482422,162.12854099273682
34,-2.785564851415218,-2.540765633769305,-3.0303639865187253,-2.14620068359375,-1.7686636868990384,-2.5237376051682694,-223.20487109375,-2.14620068359375,0.05942654609680176,0.5331025719642639,0.2840358442544505,0.0,-670.2486572265625,74.73674774169922,166.20664358139038
35,-2.814079742778319,-2.5546879407764447,-3.0734713945530148,-2.1104263446514424,-1.71637158203125,-2.504481219951923,-219.48433984375,-2.1104263446514424,0.15949872136116028,0.5791656970977783,0.2868326397030334,0.0,-672.4242553710938,105.52275848388672,171.27957463264465
36,-2.8414548489872824,-2.567260299760207,-3.115649318973649,-2.08509228515625,-1.7786466346153846,-2.3915379732572117,-216.84959765625,-2.08509228515625,0.23529203236103058,0.8273579478263855,0.24062264057468546,0.0,-706.231689453125,83.35951232910156,175.38139533996582
37,-2.8516521707675317,-2.5695546781760097,-3.1337495709115597,-2.110411884014423,-1.8004993239182692,-2.4203245943509617,-219.4828359375,-2.110411884014423,0.29109543561935425,0.795396625995636,0.292725594323004,0.0,-703.738037109375,90.10167694091797,179.5812566280365
38,-2.8713881589498893,-2.579310158714386,-3.163466210361684,-2.0111521183894228,-1.6696775465745193,-2.352626878004808,-209.1598203125,-2.0111521183894228,0.2989691197872162,0.7997990250587463,0.3083952630336017,0.0,-689.2263793945312,79.83487701416016,183.6670184135437
39,-2.893921035457893,-2.5924420412982503,-3.1954000312683837,-1.859735088641827,-1.8960933743990385,-1.8233768592247597,-193.41244921875,-1.859735088641827,0.4773542582988739,1.1524282693862915,0.31215438675947305,0.0,-741.7254638671875,69.89022827148438,187.7602972984314
40,-2.918962989781541,-2.6057671936226656,-3.232158739716669,-1.5432967435396634,-1.7927601036658654,-1.293833514873798,-160.502861328125,-1.5432967435396634,0.6326173543930054,1.2830952405929565,0.32532300349685617,0.0,-727.2042236328125,80.32708740234375,191.90422463417053
41,-2.930568075587607,-2.605302319747989,-3.2558338958103006,-1.5637407977764424,-1.6913633939302886,-1.4361182579627403,-162.62904296875,-1.5637407977764424,0.5728719830513,1.3155428171157837,0.26018478273968626,0.0,-737.813232421875,81.40108489990234,196.524338722229
