epoch,train_step,val_step,nll_window,nll_step_channel,z_mean,z_std,ks_stat,ks_p,logdet_mean,logdet_std,elapsed_s
1,61.596569027849625,4.400196213942308,457.62040625,4.400196213942308,-1.7347253561019897,2.464756488800049,0.390047126640742,0.0,-213.34532165527344,63.64150619506836,13.74123740196228
2,-0.02357914710114506,-0.9333532902644232,-97.0687421875,-0.9333532902644232,-0.06785046309232712,0.6883742213249207,0.12672420013016794,1.9124365873419335e-182,-429.5291748046875,35.82083511352539,17.010849952697754
3,-0.4899269053653039,0.3067916165865385,31.906328125,0.3067916165865385,-1.4546772241592407,0.956447958946228,0.5328304509129471,0.0,-440.676513671875,25.740591049194336,20.05074191093445
4,-0.865221996940886,2.02972944523738,211.0918623046875,2.02972944523738,-2.104928731918335,1.7983014583587646,0.6781846516316996,0.0,-568.8562622070312,9.344395637512207,23.0609188079834
5,0.9854244111253111,15.071047475961539,1567.3889375,15.071047475961539,-4.322665691375732,3.9248125553131104,0.5336680349300001,0.0,-606.6182861328125,11.080619812011719,26.043650150299072
6,0.9042094951969301,-0.8067796724759616,-83.9050859375,-0.8067796724759616,0.15955030918121338,0.4087478220462799,0.2648695616427524,0.0,-382.8450012207031,12.663912773132324,29.049579620361328
7,-0.4438695143043743,-0.6749868164062499,-70.19862890625,-0.6749868164062499,0.6818685531616211,1.4513205289840698,0.23530962687288548,0.0,-596.4735717773438,72.98902130126953,32.054314851760864
8,-0.4885739371153128,-2.186908879206731,-227.4385234375,-2.186908879206731,0.17988336086273193,0.7745850682258606,0.1343563031394039,4.047030729265497e-205,-707.2159423828125,60.96919631958008,35.21216154098511
9,0.9524206912428557,-1.1656426908052884,-121.22683984375,-1.1656426908052884,-0.7918744087219238,0.49825653433799744,0.481763548761386,0.0,-528.548583984375,32.76658248901367,38.538779497146606
10,-0.786180001993168,6.731871093750001,700.11459375,6.731871093750001,-1.558146357536316,4.227184772491455,0.46906166077018785,0.0,-900.3297119140625,29.685379028320312,41.70508527755737
11,12.997787608066497,-0.5262746957632212,-54.732568359375,-0.5262746957632212,-0.37592804431915283,0.49013185501098633,0.34839673429714724,0.0,-345.3460998535156,12.592201232910156,44.82674312591553
12,0.1547605757407395,-0.07492926964393029,-7.79264404296875,-0.07492926964393029,0.01997368037700653,1.494530200958252,0.3060403275851432,0.0,-442.7085266113281,13.393514633178711,47.86068797111511
13,0.9279492598107195,-0.21851009427584137,-22.7250498046875,-0.21851009427584137,0.06032317131757736,0.3913930654525757,0.3276407340334968,0.0,-264.0799560546875,10.08852767944336,50.93872094154358
14,8.94592364871578,-0.4625852614182693,-48.1088671875,-0.4625852614182693,-0.10680606216192245,0.18453465402126312,0.3472123139560568,0.0,-299.67572021484375,29.333080291748047,54.005568504333496
15,0.36867025627739614,-1.4371822415865385,-149.466953125,-1.4371822415865385,-0.7508699893951416,0.8073845505714417,0.30463058562857226,0.0,-613.4031982421875,11.132365226745605,57.1744487285614
16,-1.287543724693159,-1.9398521634615387,-201.744625,-1.9398521634615387,-0.45629221200942993,0.8132615685462952,0.2453779248688347,0.0,-684.2142333984375,7.731261730194092,60.38864803314209
