epoch,train_step,train_sp_return,train_margin_chg,val_step,val_sp_return,val_margin_chg,nll_window,nll_step_channel,z_mean,z_std,ks_stat,ks_p,logdet_mean,logdet_std,elapsed_s
1,2.242166609342617,1.9988107108636477,2.4855223113706613,-0.65822119140625,-0.4833565016526442,-0.8330859750600962,-68.45500390625,-0.65822119140625,0.3745158016681671,0.3704025447368622,0.3723522491932236,0.0,-370.39935302734375,57.52393341064453,4.526629686355591
2,-0.5221977795175076,-0.6189034773675856,-0.42549212706575246,-0.8413793006310096,-0.847389667217548,-0.8353688589242788,-87.503447265625,-0.8413793006310096,-0.027646474540233612,0.6235746145248413,0.1752185438591649,0.0,-420.0718994140625,64.33639526367188,11.142317533493042
3,-0.990421667844976,-0.9432157792790195,-1.0376275498075402,-1.0851914062499999,-1.3235512319711538,-0.8468316932091347,-112.85990625,-1.0851914062499999,-0.572331428527832,0.35393792390823364,0.5148982441411452,0.0,-471.9267578125,40.58845138549805,18.162471294403076
4,-1.5986789223385054,-1.6430908800732016,-1.5542668991889528,-1.8162078575721154,-1.957953125,-1.6744623647836538,-188.8856171875,-1.8162078575721154,-0.8220226764678955,0.7115396857261658,0.38201521763576113,0.0,-695.1354370117188,20.722341537475586,25.403356075286865
5,5.210554556891501,-0.007571178610856484,10.428680261440457,-0.9748256835937499,-1.0006380709134615,-0.9490133713942308,-101.38187109375,-0.9748256835937499,-1.09178626537323,0.6193864345550537,0.6027456445327073,0.0,-562.5584106445312,30.37871742248535,31.346805334091187
6,-1.1596365151409977,-1.4743759648877022,-0.844897045584116,-1.8573129507211539,-1.625710486778846,-2.088915339543269,-193.160546875,-1.8573129507211539,-0.5044570565223694,0.5459575653076172,0.3938590943230903,0.0,-638.0777587890625,20.56028938293457,37.10355830192566
7,-0.9092343941300278,-1.3632979037557138,-0.4551708828534939,0.0824719989483173,-1.5826780348557692,1.7476220703125,8.577087890625,0.0824719989483173,-1.0624176263809204,1.9889055490493774,0.4270130195772936,0.0,-705.0731201171875,14.809307098388672,43.025561571121216
8,-0.4746139412458668,-1.341166596049988,0.39193874822606467,-1.3134297250600961,-1.3986080228365385,-1.2282515587439904,-136.59669140625,-1.3134297250600961,-1.0681384801864624,0.945705771446228,0.5283533342605568,0.0,-678.3397216796875,15.401383399963379,48.693469762802124
9,-1.526043261385939,-1.7655574340886346,-1.2865290309035595,-1.5146778094951923,-1.9629711538461538,-1.0663843994140625,-157.5264921875,-1.5146778094951923,0.5138786435127258,1.3022863864898682,0.2583914581787564,0.0,-712.183837890625,14.21004581451416,54.64865159988403
10,-0.09320681236735105,-0.20698810178300048,0.02057448034999459,-1.1728550180288462,-2.001712364783654,-0.3439977839543269,-121.976921875,-1.1728550180288462,0.89401775598526,1.0371652841567993,0.3771199529812388,0.0,-632.0728759765625,16.163528442382812,60.87479043006897
11,-1.3076370108840811,-1.7098096537793803,-0.905464413387105,-1.488453650841346,-1.9048842397836538,-1.072022911658654,-154.7991796875,-1.488453650841346,-0.9111648201942444,0.43043386936187744,0.5115907228129866,0.0,-607.3043823242188,17.104446411132812,66.46272897720337
12,-1.8306326580862713,-1.8710247445490844,-1.7902406508641675,-1.7792665264423078,-1.3044879056490384,-2.254044996995192,-185.04371875,-1.7792665264423078,-0.873749315738678,0.7875595092773438,0.42404369414715615,0.0,-706.0016479492188,14.102458000183105,72.09567594528198
