epoch,train_nll_win,train_nll_step,val_nll_win,val_nll_step,z_mean,z_std,ks_p,logdet_mean,logdet_std,lr,elapsed_sec
12,-209.03465027393486,-2.0099485603262965,-202.46122504340278,-1.9467425484942575,-0.1160941869020462,0.6677908897399902,0.0,-321.92083740234375,13.873875617980957,9.911436253643444e-05,85.4384937286377
13,-220.61180158086435,-2.1212673228929266,-224.794775390625,-2.161488224909856,0.08144818246364594,0.7188055515289307,0.0,-347.5767822265625,15.682829856872559,9.896114053108829e-05,93.02548837661743
14,-222.12573266099412,-2.135824352509559,-222.21980794270834,-2.136728922526042,-0.12830546498298645,0.6590355634689331,0.0,-341.2304992675781,18.551189422607422,9.879583809693738e-05,100.58119630813599
15,-226.54960000153037,-2.1783615384762536,-220.87286241319444,-2.1237775232037928,-0.2827073335647583,0.6487524509429932,0.0,-342.4842529296875,16.344236373901367,9.861849601988384e-05,107.71259307861328
16,-227.59170792268608,-2.1883818069489047,-214.89943033854166,-2.0663406763321315,-0.47497427463531494,0.6325132846832275,0.0,-343.00408935546875,15.941068649291992,9.842915805643157e-05,114.75237393379211
17,-229.79817102564888,-2.209597798323547,-226.7738552517361,-2.180517838959001,-0.3669409155845642,0.719880998134613,0.0,-356.2929382324219,15.668899536132812,9.822787092288992e-05,122.01945948600769
18,-231.25800283882222,-2.2236346426809828,-226.54112413194446,-2.178280039730235,-0.33182060718536377,0.7186468839645386,0.0,-354.6917724609375,16.031517028808594,9.801468428384718e-05,129.17254424095154
19,-231.9202968137855,-2.2300028539787067,-218.96133355034723,-2.105397437984108,-0.3244991898536682,0.609149694442749,0.0,-339.30181884765625,15.52590560913086,9.778965073991652e-05,136.17212319374084
20,-234.4838671109819,-2.254652568374826,-225.99888780381946,-2.1730662288828793,-0.19937320053577423,0.5833355188369751,0.0,-341.3300476074219,12.714802742004395,9.75528258147577e-05,143.26753401756287
21,-232.60671790830068,-2.2366030568105835,-242.24351671006946,-2.329264583750668,-0.27742695808410645,0.9099997878074646,4.206695445951946e-298,-384.8765563964844,16.458759307861328,9.730426794137729e-05,150.50625872612
22,-233.154147664667,-2.2418668044679517,-248.45646158854166,-2.3890044383513622,0.0236904826015234,0.7925646305084229,3.33358667992708e-173,-376.719482421875,16.50739860534668,9.70440384477113e-05,157.90333676338196
23,-239.7051508172135,-2.3048572193962835,-249.0317328559028,-2.394535892845219,0.040851108729839325,0.7268396615982056,9.17913417569718e-251,-372.1595153808594,14.58545970916748,9.67722015414934e-05,165.1115107536316
24,-244.65789513956906,-2.3524797609573946,-251.49952256944445,-2.418264640090812,-0.1316922903060913,0.7852376103401184,1.6517807947067778e-290,-380.0340270996094,16.83572769165039,9.64888242944126e-05,172.43066263198853
25,-244.2883097529995,-2.348926055317303,-253.25351019965277,-2.435129905765892,-0.15895023941993713,0.8023377656936646,3.926735377314933e-261,-383.6116638183594,12.773737907409668,9.619397662556436e-05,179.62015461921692
26,-246.32020250520324,-2.3684634856269544,-246.56087782118055,-2.3707776713575055,0.22882646322250366,0.7464959621429443,0.0,-373.83062744140625,13.060408592224121,9.588773128419907e-05,186.73348808288574
27,-247.27681386202252,-2.3776616717502166,-240.07782118055556,-2.3084405882745727,0.3874950408935547,0.8504072427749634,0.0,-381.0613708496094,13.911455154418945,9.557016383177228e-05,193.97835636138916
