case,percentile,strategy,return,vol,sharpe,sortino,mdd,action
Symmetric (1:1),Top1,orig,4.609833275554975,4.073529049470781,0.498397252495267,0.5814390417981313,-4.961367367875418,0.12324087787419558
Symmetric (1:1),Top1,contra,19.484809238923084,20.735533943165198,0.8536169946964006,0.9176683996942727,-28.380569832821077,0.8767591221258044
Symmetric (1:1),90-99th,orig,4.568016291830168,2.5297564866861353,0.7667356147977533,1.5368851153849343,-0.5608540441787804,0.053770085175832115
Symmetric (1:1),90-99th,contra,19.24923239377785,21.925358768808696,0.8114250556486805,0.8046766105525166,-32.967487210504785,0.9462299148241679
Symmetric (1:1),50-90th,orig,3.6044169538632653,1.7819198639415206,0.5550611416396483,0.6274832065811408,-0.8864366879765813,0.03235433025596043
Symmetric (1:1),50-90th,contra,20.33452217299225,21.93236492643757,0.8545072746635238,0.8557970618664328,-32.593535175689034,0.9676456697440395
Loss 2x (2:1),Top1,orig,3.7926893478453128,3.6427594708680155,0.33558404424485144,0.3005096541473529,-5.655507883073465,0.1334078653017059
Loss 2x (2:1),Top1,contra,20.444215686413724,20.646802647583815,0.8964093963927408,1.0618039088152194,-27.50242206324302,0.8665921346982941
Loss 2x (2:1),90-99th,orig,4.603166701781536,2.853910563561184,0.6945766516940473,1.0695131541813552,-1.5098180666742709,0.08358330108846228
Loss 2x (2:1),90-99th,contra,19.340992856083126,21.434766572291334,0.8280090268711487,0.8419830651235988,-31.223741903418862,0.9164166989115378
Loss 2x (2:1),50-90th,orig,3.237127899001435,1.726010646419478,0.36497051054340524,0.45375026591841616,-0.7637266060064993,0.02891912514072222
Loss 2x (2:1),50-90th,contra,20.66076977123279,22.343424158047693,0.8548598787844724,0.8694838046711068,-32.704493810204724,0.9710808748592777
Gain 2x (1:2),Top1,orig,4.342344638028561,3.3423675386502656,0.5219739586711597,0.7771888963183433,-2.0326958505114456,0.08863963776578505
Gain 2x (1:2),Top1,contra,19.57296593298439,21.682437231769423,0.8295105779146194,0.8646181100137121,-31.050324425837122,0.9113603622342149
Gain 2x (1:2),90-99th,orig,4.144063162454392,2.1184782393884722,0.717413030274869,1.2272937493237217,-0.430447728972533,0.04098685923963785
Gain 2x (1:2),90-99th,contra,19.71473935459178,21.965940423963385,0.8290387577054587,0.8223749582634332,-32.967487210504785,0.9590131407603621
Gain 2x (1:2),50-90th,orig,4.147575550549454,2.2415669607262863,0.6806795732332205,1.3550959074071711,-0.2537211498962194,0.028648813255131245
Gain 2x (1:2),50-90th,contra,19.77567075812454,21.60441583232376,0.8426356515859948,0.8203409823120146,-32.96748721050478,0.9713511867448688
Baseline,-,B&H,21.295777322657415,22.6799446391647,0.8699509706974508,0.8821075598446425,-32.96748721050478,1.0
Baseline,-,50/50,12.338648067267254,11.410361552971885,0.8645843412852628,0.9254986477897635,-16.980788624192673,0.5
