variable,VIF,R2_self
tbill_wr,1.1125093944013948,0.10113118591859838
excess_liq_wr,1.012781300655119,0.012620000632763917
sp_return,1.0112953306182653,0.011169171137534906
vix_wr,1.002226820089874,0.002221872379821632
pp_bond_13w_lag,1.1138645714948883,0.10222478962776749
_condition_number,1.9517175397428486,
