ann_return,vol,sharpe,sortino,mdd,mean_w,premium,seed
-0.01621864100610082,0.08534067541859713,-0.19004584773378197,-0.26477094080890873,-0.20570010601512845,0.21448451976795666,0.0,42
-0.02528016106356379,0.030629257632202686,-0.8253599015401857,-1.058941007326743,-0.1420743044669044,0.07252880393481645,0.0,123
-0.02059244427214646,0.035326239807634545,-0.5829220540957806,-0.7880473719149829,-0.1270136094261326,0.059417231161086284,0.0,777
-0.027218882594990168,0.04946987978981584,-0.5502112135836159,-0.6066476514266729,-0.20467109649867843,0.14754098360655737,0.0,0
-0.03356850840016645,0.016429540074062454,-2.0431800433148783,-1.8543004203642368,-0.15934147388155584,0.0008646492831042555,0.0,99
-0.019864924055259747,0.08421011732133,-0.23589711886350812,-0.3738568234633771,-0.22121434261091055,0.21694664583831538,0.01,42
-0.039100810107653095,0.04739431923540041,-0.8250104809702042,-1.1324317856188821,-0.25170919372527034,0.14724114952517336,0.01,123
-0.033680281217892905,0.03907470274738212,-0.8619459356002236,-1.2189417319235376,-0.16972492769800374,0.06557377049180328,0.01,777
-0.0345646053946882,0.059497729513544984,-0.5809399060651445,-0.8210451143938139,-0.22836475788600186,0.2019916142596573,0.01,0
-0.033680281217892905,0.03907470274738212,-0.8619459356002236,-1.2189417319235376,-0.16972492769800374,0.06557377049180328,0.01,99
-0.02049617190323272,0.08971899334004321,-0.22844852734303814,-0.37906185356531263,-0.22619358514770005,0.26618513929062204,0.02,42
-0.04026748164504135,0.06295158587287135,-0.639657938504682,-1.12183233752233,-0.25189701357899064,0.2017676013781399,0.02,123
-0.041410599058701814,0.05936353325767257,-0.6975763871559921,-0.9798912354201106,-0.2502719864296975,0.1981331950328389,0.02,777
-0.04128101221983327,0.059356129425922964,-0.6954801908259934,-0.9767308505369704,-0.2502719864296975,0.19920341597228755,0.02,0
-0.03371784356666041,0.04264386014551522,-0.7906846015253725,-1.2034282937942382,-0.19609950247930885,0.09836065573770492,0.02,99
-0.03554563656973231,0.08690647626737638,-0.40901021530746035,-0.6551419797443205,-0.2400709719803772,0.30969251619010674,0.03,42
-0.04595718505956481,0.06805067290681349,-0.6753377019871232,-1.1152139743446328,-0.28026690018823885,0.22311077938705196,0.03,123
-0.039432831538276814,0.07512202715565211,-0.5249170320786521,-0.8631579381116418,-0.23607181124441712,0.28951810178209525,0.03,777
-0.042025920544330075,0.08264927066600042,-0.5084850744075393,-0.8117804064713142,-0.24341448820953504,0.3198401400300323,0.03,0
-0.03678694379669345,0.06542492098612818,-0.5622772369032476,-0.8478901030480434,-0.22384801359332518,0.2826718795494955,0.03,99
-0.0414350366143893,0.10127837681707529,-0.4091202674903401,-0.647798385714632,-0.27547054497388446,0.47390434719988556,0.04,42
-0.052771897343477425,0.08100887968128222,-0.651433491625867,-1.0370038891924667,-0.30731028514450365,0.38125854926031144,0.04,123
-0.038412283576005124,0.08574652323259155,-0.4479748230935261,-0.745481128034766,-0.3007379998879628,0.41397931536690136,0.04,777
-0.050755340297445994,0.06501857140770773,-0.780628352769823,-1.1717353612535628,-0.27328895727342195,0.2903623187639674,0.04,0
-0.04177064198417568,0.06655255429124572,-0.6276339417624751,-1.1012058445130997,-0.2700988825860009,0.18227627384858053,0.04,99
-0.04634161228986644,0.1010370025814189,-0.45865980884105173,-0.7028805320492366,-0.27566111710359587,0.532316440930132,0.05,42
-0.049647464399091734,0.10036457966235289,-0.49467117349682554,-0.7716271337773447,-0.33292351914170437,0.4644633209119078,0.05,123
-0.02516507728001871,0.09394209965146062,-0.26787859089146343,-0.4674953413787726,-0.23417675665325077,0.5203820286227054,0.05,777
-0.049161692009683344,0.08495929372676674,-0.578649961095366,-0.9704154987338112,-0.3083479771153844,0.3751467739949461,0.05,0
-0.04971451551731876,0.08033922728909985,-0.6188074891288362,-0.9994293419687975,-0.2897192899166926,0.37541453076190634,0.05,99
