fold,strategy,a0,b0,a_metabolism,b_metabolism,a_ndx_52wh_ratio,b_ndx_52wh_ratio,a_ndx_in_range,b_ndx_in_range,a_ndx_return,b_ndx_return,ann_ret,vol,sharpe_ex,sortino,calmar,mdd,final_pp,mean_total,alpha_t_mean,beta_t_mean
W1,Evolved-10D,2.584334383508883,1.4068572365864673,0.38126303723865074,-0.5529974049078693,1.2121108836849215,-1.0396885807848668,0.22694820798005902,-0.7987968979163285,0.1638743370468177,0.18282153623544214,30.76771368696205,22.856740846938205,1.2967026841766904,1.4115861291311556,0.9645262996997058,-31.8992998910877,3.7393341510868843,2.0,3.381886292816949,0.808722550239673
W1,Evolved-2D,2.004230882757593,2.089177115901791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.76771368696205,22.856740846938205,1.2967026841766904,1.4115861291311556,0.9645262996997058,-31.8992998910877,3.7393341510868843,2.0,2.004230882757593,2.089177115901791
W1,Kahneman,1.0,2.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06035492815279486,0.012200839344271443,0.0,17418.364053516347,0.0,0.0,1.0029709600731334,1.0,1.0,2.25
W1,Symmetric,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.76771368696205,22.856740846938205,1.2967026841766904,1.4115861291311556,0.9645262996997058,-31.8992998910877,3.7393341510868843,2.0,1.0,1.0
W1,B&H,,,,,,,,,,,15.197804197348287,11.429243439655457,1.2967026841766904,1.4152359527003053,0.8925398504951852,-17.027591752812466,2.0049366510041624,,,
W1,50/50,,,,,,,,,,,7.556676458273004,5.715499519451392,1.2967026841766904,1.4225454985538952,0.8598798421083096,-8.788060945521238,1.430706076368945,,,
W2,Evolved-10D,2.4990276784325833,1.1424008691276986,-0.21570316370051718,0.6013800910846677,1.0613913143513238,-0.19496880164987435,0.5268786268066817,0.11807349127382968,0.25958222350444343,-0.4859677282457714,7.456321367008756,26.06015662836199,0.3708208655632746,0.2948303220899085,0.19575778038967076,-38.0895275384017,1.4241547434280457,1.9322033898305084,3.095622466434752,1.2651500046884214
W2,Evolved-2D,1.7945564611119613,2.2259853138013286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3895060022403714,21.872515216341732,0.17381140932278846,0.1412750046826756,0.061856877037820904,-38.629593291290234,1.1231108366922524,1.7457627118644068,1.7945564611119615,2.225985313801328
W2,Kahneman,1.0,2.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.145185036762264,0.23407615239731916,0.0,197.3657216827977,687.1110220605898,-0.0016666666666588286,1.0575817919395984,1.0,1.0,2.25
W2,Symmetric,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.736994971511358,29.138288125990325,0.7037524438903383,0.5908763857270425,0.49191985783023434,-38.0895275384017,2.3265627099983166,2.0,1.0,1.0
W2,B&H,,,,,,,,,,,10.839587534643336,14.551392011564246,0.7037524438903383,0.6272346432436289,0.5419509139453516,-20.0010503824639,1.6586315793187463,,,
W2,50/50,,,,,,,,,,,6.176314490524071,7.259326732447624,0.7037524438903383,0.6807900296405686,0.6108554539207497,-10.110926326157292,1.3426699257866141,,,
W3,Evolved-10D,2.5716119147333476,1.7062246080196375,-0.6082889091123009,0.23209456693913574,0.48364264154735687,-0.2209405528502124,-0.35041025983914476,0.19218952068051667,0.5582171903489354,-1.0101846208901726,10.509182034949038,28.68114208932869,0.3940415885714245,0.4146045169164228,0.18570609004191693,-56.59040063024827,1.6344637442420793,1.8305084745762712,2.7227091660220446,1.6315994595566907
W3,Evolved-2D,1.7581972186721078,2.1227611256969436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.884056487269644,13.721032218014601,0.6054141950411582,0.4900397464895223,0.6738755132085217,-16.151434907387294,1.6619059203694304,1.2881355932203389,1.7581972186721078,2.122761125696943
W3,Kahneman,1.0,2.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.966341937522343,0.641440620117882,0.0,845475.6484403904,0.0,0.0,1.1545652428957205,1.0,1.0,2.25
W3,Symmetric,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.508194589398208,31.82569478947116,0.6595229904418589,0.7475778423392203,0.4431990683591514,-46.2730995020485,2.502254728500906,2.0,1.0,1.0
W3,B&H,,,,,,,,,,,12.839867860643771,15.938644360499815,0.659522990441859,0.8360887371916925,0.5183736584307919,-24.769522239058805,1.8110938832846164,,,
W3,50/50,,,,,,,,,,,8.138663811378134,8.004700132404992,0.6595229904418591,1.056115506235587,0.6538097703596062,-12.448060858591536,1.469174037755416,,,
