fold,lambda_reg,train_sh_plain,a0,b0,a_metabolism,a_ndx_52wh_ratio,a_ndx_in_range,a_ndx_return,b_metabolism,b_ndx_52wh_ratio,b_ndx_in_range,b_ndx_return,ann_ret,vol,sharpe_ex,sortino,calmar,mdd,mean_total,slope_l2,final_pp
W1,0.0,0.7816732344480535,2.584334383508883,1.4068572365864673,0.38126303723865074,1.2121108836849215,0.22694820798005902,0.1638743370468177,-0.5529974049078693,-1.0396885807848668,-0.7987968979163285,0.18282153623544214,30.76771368696205,22.856740846938205,1.2967026841766904,1.4115861291311556,0.9645262996997058,-31.8992998910877,2.0,3.751193258441301,3.7393341510868843
W1,0.005,0.7816732344480535,2.4137088712740526,1.4177757263774904,0.524367267811582,1.1234547836857849,0.35935456253587816,0.06766688169518355,-0.24555305821312373,-0.8373574103172939,-0.5012750707999434,0.06621732039498233,30.76771368696205,22.856740846938205,1.2967026841766904,1.4115861291311556,0.9645262996997058,-31.8992998910877,2.0,2.687951358169242,3.7393341510868843
W1,0.02,0.7858420017903922,2.329282546317381,1.6046309161223662,0.4103994449239641,0.9234918010801084,0.2551120096227531,0.022611319610611184,-0.18263474861672221,-0.5543841901855191,-0.45669525360960583,0.03150396591838631,30.76771368696205,22.856740846938205,1.2967026841766904,1.4115861291311556,0.9645262996997058,-31.8992998910877,2.0,1.6371185565524493,3.7393341510868843
W1,0.05,0.7851063617508628,2.3081894495035757,1.8789914047722107,0.25275195410571283,0.5065600666518004,0.3075764189616429,0.1106921051116199,-0.17740989606790802,-0.5028192598203819,-0.2269202562645248,0.1204505410362483,30.76771368696205,22.856740846938205,1.2967026841766904,1.4115861291311556,0.9645262996997058,-31.8992998910877,2.0,0.777645261874068,3.7393341510868843
W1,0.1,0.7586003405007756,2.2708011044705843,1.9611261363098254,0.24583995998126668,0.32752935647660053,0.3008228040945161,-0.023924258324012702,-0.07188733279714149,-0.40285778148784346,-0.09768133692060792,-0.001387787476077519,30.76771368696205,22.856740846938205,1.2967026841766904,1.4115861291311556,0.9645262996997058,-31.8992998910877,2.0,0.4357852451358787,3.7393341510868843
W1,0.3,0.7180836876952791,1.9383433833926105,1.831443468158975,0.05145134120930626,0.17702203131411806,0.1877186917243294,0.007802372711945709,-0.09026605639404453,-0.16532122573459063,-0.1437930193547067,0.046717489935381475,31.038902053094276,22.829769266641676,1.3072618310644835,1.3863572692575974,0.9730276889796629,-31.8992998910877,1.9830508474576272,0.1276212492217688,3.7776165643075643
W1,1.0,0.7059396027948271,2.1257770602688684,2.1212548080090143,0.044794113440174164,0.13897942142360475,0.1759786948505318,0.0012731800060236428,-0.030919345267300672,-0.11540022713010589,-0.06513358274593166,0.034948889592821566,31.038902053094276,22.829769266641676,1.3072618310644835,1.3863572692575974,0.9730276889796629,-31.8992998910877,1.9830508474576272,0.0720289410252864,3.7776165643075643
W2,0.0,0.636953414537282,2.4990276784325833,1.1424008691276986,-0.21570316370051718,1.0613913143513238,0.5268786268066817,0.25958222350444343,0.6013800910846677,-0.19496880164987435,0.11807349127382968,-0.4859677282457714,7.456321367008756,26.06015662836199,0.3708208655632746,0.2948303220899085,0.19575778038967076,-38.0895275384017,1.9322033898305084,2.1678402249637867,1.4241547434280457
W2,0.005,0.5705325249572863,2.372608500201503,1.3481563009292734,0.22212305863457737,0.5144000071312476,0.5163987867473504,0.40598374025199957,0.1757068713374657,-0.1406704604025715,0.10799892042790626,-0.6217706190075996,15.345773132068041,28.46742218287517,0.6105873811883175,0.505800346459721,0.4028869383217342,-38.0895275384017,1.9830508474576272,1.194360077356705,2.017630408462049
W2,0.02,0.5776021642308787,2.5025930700852608,1.5955222041702808,0.026582320379228412,0.32277782342074746,0.2051071628379948,0.39353459330749396,0.07313844341583532,-0.27555103512383405,0.05057401059761406,-0.5753370005816165,10.164799542354164,26.330643547712786,0.4647982227532626,0.3652047032318775,0.26686599176390563,-38.0895275384017,1.9661016949152543,0.7166785670754119,1.6095729765749724
