month,date,agent_id,parent_id,alpha,beta,lam
11,2011-12-31,201,103,1.1741404324203921,2.0758595675796077,1.7679823556543377
11,2011-12-31,202,184,1.0004233556768038,2.249576644323196,2.2486246763014823
11,2011-12-31,203,74,0.8917970261136656,2.3582029738863346,2.644327021545557
11,2011-12-31,204,122,1.9880452847184011,1.2619547152815989,0.6347716146015003
11,2011-12-31,205,132,2.8953526901758724,0.3546473098241276,0.12248846609515654
11,2011-12-31,206,110,3.0,0.25,0.08333333333333333
11,2011-12-31,207,19,2.5531611950501243,0.6968388049498757,0.2729317703484034
11,2011-12-31,208,106,2.4146296581702957,0.8353703418297043,0.3459620977498937
11,2011-12-31,209,117,1.720877076737521,1.529122923262479,0.8885718474217961
11,2011-12-31,210,7,2.3285186598944354,0.9214813401055646,0.39573715082332234
11,2011-12-31,211,1,2.1254100524410378,1.1245899475589622,0.5291166973955771
11,2011-12-31,212,53,2.048398120003792,1.201601879996208,0.5866056350383605
11,2011-12-31,213,55,1.9257590811437963,1.3242409188562037,0.6876462023846079
11,2011-12-31,214,40,1.99175145316666,1.25824854683334,0.6317296994225192
11,2011-12-31,215,185,2.647804951012021,0.602195048987979,0.22743180110672928
11,2011-12-31,216,30,1.730466806094881,1.519533193905119,0.8781059472237017
11,2011-12-31,217,31,2.3072853765248222,0.9427146234751778,0.4085817181813339
11,2011-12-31,218,180,2.163421223506537,1.0865787764934631,0.5022502158559322
11,2011-12-31,219,189,2.2053695029012332,1.0446304970987668,0.47367595122927125
11,2011-12-31,220,152,3.0,0.25,0.08333333333333333
11,2011-12-31,221,25,2.551989248054023,0.6980107519459771,0.27351633729579133
11,2011-12-31,222,168,2.873910980409653,0.376089019590347,0.13086314160529028
11,2011-12-31,223,8,2.3653251357366525,0.8846748642633475,0.3740182907191852
11,2011-12-31,224,198,2.4462628288018164,0.8037371711981836,0.3285571614526209
11,2011-12-31,225,104,2.848077392642091,0.4019226073579092,0.14112067614323343
11,2011-12-31,226,56,2.4697538726917783,0.7802461273082217,0.315920600807818
11,2011-12-31,227,87,2.289460221676352,0.960539778323648,0.41954857709662974
11,2011-12-31,228,73,2.271542029817447,0.9784579701825531,0.43074614395807026
11,2011-12-31,229,48,1.0700492202965337,2.179950779703466,2.0372434635290464
11,2011-12-31,230,139,2.470990373979959,0.779009626020041,0.3152621047103922
11,2011-12-31,231,3,3.0,0.25,0.08333333333333333
11,2011-12-31,232,14,3.0,0.25,0.08333333333333333
11,2011-12-31,233,160,2.1078075976059107,1.1421924023940893,0.5418864623561533
11,2011-12-31,234,151,2.4360877830697314,0.8139122169302686,0.33410627588495684
11,2011-12-31,235,174,2.3850872170835484,0.8649127829164516,0.3626336079961281
11,2011-12-31,236,105,2.2143528817168896,1.0356471182831104,0.4676974148222146
11,2011-12-31,237,182,2.801659760246226,0.44834023975377413,0.160026654954837
11,2011-12-31,238,101,3.0,0.25,0.08333333333333333
11,2011-12-31,239,167,2.3131966422910537,0.9368033577089463,0.40498215351943034
11,2011-12-31,240,42,2.343621107138714,0.9063788928612859,0.38674292960600104
11,2011-12-31,241,46,1.8189152741946089,1.4310847258053911,0.786779211823957
11,2011-12-31,242,159,2.200435413125455,1.0495645868745451,0.4769804106105366
11,2011-12-31,243,4,1.849037756355382,1.400962243644618,0.7576709771497795
11,2011-12-31,244,116,2.44685745304421,0.8031425469557898,0.328234301494178
11,2011-12-31,245,118,1.9654648954147995,1.2845351045852005,0.6535528096084907
11,2011-12-31,246,64,2.3254680916183035,0.9245319083816965,0.39756809036167456
11,2011-12-31,247,194,2.0082413309365026,1.2417586690634974,0.6183313976933382
11,2011-12-31,248,80,1.9656065014253399,1.2843934985746601,0.6534336845361953
11,2011-12-31,249,170,3.0,0.25,0.08333333333333333
11,2011-12-31,250,24,2.3198563092538342,0.9301436907461658,0.4009488376654415
11,2011-12-31,251,83,2.1595203842952038,1.0904796157047962,0.5049637982744455
11,2011-12-31,252,191,3.0,0.25,0.08333333333333333
11,2011-12-31,253,23,3.0,0.25,0.08333333333333333
11,2011-12-31,254,162,2.4175625854808196,0.8324374145191804,0.34432920972493464
11,2011-12-31,255,45,2.428239766800394,0.8217602331996061,0.33841807733937684
11,2011-12-31,256,12,2.9010703846158075,0.34892961538419254,0.12027616332045724
11,2011-12-31,257,21,2.853350578556456,0.3966494214435441,0.13901180753057474
11,2011-12-31,258,178,2.682975677625081,0.5670243223749192,0.21134158132839964
11,2011-12-31,259,148,1.608265753014096,1.641734246985904,1.0208103007286475
11,2011-12-31,260,137,3.0,0.25,0.08333333333333333
11,2011-12-31,261,32,3.0,0.25,0.08333333333333333
11,2011-12-31,262,143,2.716175929812173,0.5338240701878272,0.1965351597180017
11,2011-12-31,263,181,2.659532460561131,0.590467539438869,0.22201930158592126
11,2011-12-31,264,179,2.289643739690019,0.9603562603099811,0.4194347983760993
11,2011-12-31,265,6,2.861509343808679,0.38849065619132084,0.1357642451987378
11,2011-12-31,266,100,2.8153023305084783,0.43469766949152167,0.15440532435214868
11,2011-12-31,267,78,2.139921382386838,1.110078617613162,0.5187473833150805
11,2011-12-31,268,2,1.2903175436724392,1.9596824563275608,1.518759832366541
11,2011-12-31,269,112,0.947960809950425,2.302039190049575,2.428411771758754
11,2011-12-31,270,90,1.9316878768801984,1.3183121231198016,0.6824664268478826
11,2011-12-31,271,88,1.5667911814918551,1.6832088185081449,1.0743032245723008
11,2011-12-31,272,171,1.1555509774050872,2.0944490225949126,1.8125111427781586
11,2011-12-31,273,124,1.4094169602425368,1.8405830397574632,1.305918043898613
11,2011-12-31,274,200,1.103415418402685,2.146584581597315,1.945400205395654
11,2011-12-31,275,52,0.25,3.0,12.0
11,2011-12-31,276,37,0.7022324181745394,2.5477675818254606,3.6280973590601375
11,2011-12-31,277,5,0.4798017271669894,2.7701982728330106,5.773631306393517
11,2011-12-31,278,123,1.1101723758138735,2.1398276241861263,1.9274733102752686
11,2011-12-31,279,136,0.7847171160742409,2.465282883925759,3.141619869665902
11,2011-12-31,280,140,0.5932614655536563,2.656738534446344,4.478191638432078
11,2011-12-31,281,84,0.48025836683775547,2.7697416331622446,5.7671907964863
11,2011-12-31,282,129,0.25,3.0,12.0
11,2011-12-31,283,131,1.0764735494030964,2.1735264505969036,2.019117378036945
