date,regime0_prob,regime1_prob,regime_hard,is_train
1998-01-02,0.054342913659428144,0.9456570863405717,1,True
1998-01-09,0.023546636904569353,0.9764533630954304,1,True
1998-01-16,0.24937847864306184,0.7506215213569379,1,True
1998-01-23,0.573260477173371,0.4267395228266288,0,True
1998-01-30,0.7348055719057152,0.26519442809428456,0,True
1998-02-06,0.8347881099747094,0.16521189002529055,0,True
1998-02-13,0.9352135310791421,0.06478646892085785,0,True
1998-02-20,0.9714531995648074,0.028546800435192452,0,True
1998-02-27,0.98612531118535,0.013874688814649873,0,True
1998-03-06,0.992259796700973,0.007740203299027036,0,True
1998-03-13,0.9936853389100929,0.0063146610899071,0,True
1998-03-20,0.9917379078814877,0.008262092118512462,0,True
1998-03-27,0.9929367214288123,0.007063278571187849,0,True
1998-04-03,0.9922112569515313,0.007788743048468733,0,True
1998-04-10,0.9926526588812228,0.0073473411187774534,0,True
1998-04-17,0.9939958976395201,0.006004102360480093,0,True
1998-04-24,0.9926589966323596,0.0073410033676406744,0,True
1998-05-01,0.9933684398577413,0.006631560142258894,0,True
1998-05-08,0.9920554174281185,0.007944582571881654,0,True
1998-05-15,0.9922222753287017,0.007777724671298621,0,True
1998-05-22,0.989219528382318,0.010780471617682339,0,True
1998-05-29,0.9803434035564581,0.01965659644354232,0,True
1998-06-05,0.976470986677903,0.023529013322097447,0,True
1998-06-12,0.9650143493500758,0.03498565064992458,0,True
1998-06-19,0.9529401500887336,0.04705984991126673,0,True
1998-06-26,0.9173838960835673,0.08261610391643305,0,True
1998-07-03,0.8873440101721716,0.11265598982782868,0,True
1998-07-10,0.8080866614478092,0.19191333855219117,0,True
1998-07-17,0.5645117878045208,0.4354882121954794,0,True
1998-07-24,0.10565081166671408,0.8943491883332861,1,True
1998-07-31,0.07242289123306946,0.9275771087669307,1,True
1998-08-07,0.03394828080043011,0.9660517191995698,1,True
1998-08-14,0.023615645038021944,0.9763843549619781,1,True
1998-08-21,0.02071586043436341,0.9792841395656368,1,True
1998-08-28,0.0002915446753176525,0.9997084553246824,1,True
1998-09-04,8.255568899058314e-05,0.9999174443110095,1,True
1998-09-11,0.0251987721489489,0.9748012278510512,1,True
1998-09-18,0.03884208510241727,0.9611579148975828,1,True
1998-09-25,0.029697781712331513,0.9703022182876684,1,True
1998-10-02,0.0015492691797792532,0.9984507308202206,1,True
1998-10-09,0.0035278181033956855,0.996472181896604,1,True
1998-10-16,0.006490612495496598,0.9935093875045031,1,True
1998-10-23,0.3286931937377073,0.6713068062622926,1,True
1998-10-30,0.44849284306451487,0.5515071569354849,1,True
1998-11-06,0.50523831742576,0.4947616825742398,0,True
1998-11-13,0.5585872547922099,0.44141274520778984,0,True
1998-11-20,0.6356496303679334,0.3643503696320664,0,True
1998-11-27,0.6901888787513709,0.30981112124862886,0,True
1998-12-04,0.7083711294730297,0.2916288705269701,0,True
1998-12-11,0.722473766875068,0.27752623312493185,0,True
1998-12-18,0.7204524745968123,0.27954752540318756,0,True
1998-12-25,0.6818279019400418,0.31817209805995783,0,True
1999-01-01,0.6394915989526985,0.36050840104730114,0,True
1999-01-08,0.5188277007487625,0.4811722992512372,0,True
1999-01-15,0.41598610103971906,0.5840138989602807,1,True
1999-01-22,0.3847955349973303,0.6152044650026691,1,True
1999-01-29,0.3473977647272169,0.6526022352727828,1,True
1999-02-05,0.375958066629088,0.6240419333709116,1,True
1999-02-12,0.6556150094755973,0.34438499052440236,0,True
1999-02-19,0.8331820114491347,0.1668179885508649,0,True
1999-02-26,0.9010535073202812,0.09894649267971854,0,True
1999-03-05,0.930200422359082,0.06979957764091768,0,True
1999-03-12,0.9520259553398317,0.04797404466016802,0,True
1999-03-19,0.9540210343962278,0.04597896560377199,0,True
1999-03-26,0.9413240571758774,0.05867594282412229,0,True
1999-04-02,0.9292928041667412,0.07070719583325864,0,True
1999-04-09,0.8878631102253863,0.1121368897746137,0,True
1999-04-16,0.8691077207342516,0.13089227926574834,0,True
1999-04-23,0.8715194094537501,0.1284805905462499,0,True
1999-04-30,0.8692036160373291,0.13079638396267068,0,True
1999-05-07,0.8638377543414371,0.13616224565856283,0,True
1999-05-14,0.8248884237454864,0.17511157625451348,0,True
1999-05-21,0.7414418457761591,0.25855815422384076,0,True
1999-05-28,0.5735040127913895,0.42649598720861026,0,True
1999-06-04,0.4606297524727265,0.5393702475272732,1,True
1999-06-11,0.20234191559603376,0.797658084403966,1,True
1999-06-18,0.12130799787053018,0.8786920021294695,1,True
1999-06-25,0.07007104821731501,0.9299289517826849,1,True
1999-07-02,0.034412254917195566,0.9655877450828042,1,True
1999-07-09,0.08008587308104037,0.9199141269189596,1,True
1999-07-16,0.08390139566043066,0.9160986043395694,1,True
1999-07-23,0.05541750847100697,0.944582491528993,1,True
1999-07-30,0.1554557264288194,0.8445442735711806,1,True
1999-08-06,0.290723055345129,0.709276944654871,1,True
1999-08-13,0.48505394129025314,0.5149460587097467,1,True
1999-08-20,0.5767248442222499,0.42327515577775027,0,True
1999-08-27,0.6005363529080296,0.39946364709197046,0,True
1999-09-03,0.5813877036497485,0.41861229635025154,0,True
1999-09-10,0.4996671404924601,0.5003328595075399,1,True
1999-09-17,0.31358408527251036,0.6864159147274895,1,True
1999-09-24,0.047279127500541834,0.9527208724994579,1,True
1999-10-01,0.04594273590985145,0.9540572640901486,1,True
1999-10-08,0.017405279790579462,0.9825947202094205,1,True
1999-10-15,4.802426275464033e-05,0.9999519757372453,1,True
1999-10-22,0.02867575508282374,0.971324244917176,1,True
1999-10-29,0.11437610113793548,0.8856238988620643,1,True
1999-11-05,0.6114057322662025,0.38859426773379735,0,True
1999-11-12,0.7999331542184877,0.2000668457815121,0,True
1999-11-19,0.8834870796016936,0.11651292039830652,0,True
1999-11-26,0.9220199030315919,0.07798009696840794,0,True
1999-12-03,0.9365995712309771,0.06340042876902277,0,True
1999-12-10,0.9332199896488204,0.06678001035117956,0,True
1999-12-17,0.9231439510381003,0.07685604896189967,0,True
1999-12-24,0.8844224615587604,0.11557753844123973,0,True
1999-12-31,0.8321302452424877,0.16786975475751237,0,True
2000-01-07,0.6919897009052097,0.3080102990947904,0,True
2000-01-14,0.5718686409894211,0.4281313590105789,0,True
2000-01-21,0.30866898993847774,0.6913310100615221,1,True
2000-01-28,0.0015922324641585372,0.9984077675358416,1,True
2000-02-04,0.000992940489305488,0.9990070595106948,1,True
2000-02-11,0.002289143054822566,0.9977108569451776,1,True
2000-02-18,0.0033204198591696103,0.9966795801408306,1,True
