paper_row,label,fold,seed,full_nll_sp_raw,tail_nll_sp_raw,sp_log_sigma,ckpt_exists,ckpt_path
3,Base (add bondpp_3m정규),F1,123,,,,False,/content/drive/MyDrive/Colab Notebooks/homeostatic-market/colab/k2_104/result_paper_final/K2_104_addbp_normbp_normsr_F1_seed123_best.pt
3,Base (add bondpp_3m정규),F1,777,,,,False,/content/drive/MyDrive/Colab Notebooks/homeostatic-market/colab/k2_104/result_paper_final/K2_104_addbp_normbp_normsr_F1_seed777_best.pt
3,Base (add bondpp_3m정규),F1,0,,,,False,/content/drive/MyDrive/Colab Notebooks/homeostatic-market/colab/k2_104/result_paper_final/K2_104_addbp_normbp_normsr_F1_seed0_best.pt
3,Base (add bondpp_3m정규),F1,99,,,,False,/content/drive/MyDrive/Colab Notebooks/homeostatic-market/colab/k2_104/result_paper_final/K2_104_addbp_normbp_normsr_F1_seed99_best.pt
3,Base (add bondpp_3m정규),F2,42,,,,False,/content/drive/MyDrive/Colab Notebooks/homeostatic-market/colab/k2_104/result_paper_final/K2_104_addbp_normbp_normsr_F2_seed42_best.pt
3,Base (add bondpp_3m정규),F2,123,,,,False,/content/drive/MyDrive/Colab Notebooks/homeostatic-market/colab/k2_104/result_paper_final/K2_104_addbp_normbp_normsr_F2_seed123_best.pt
3,Base (add bondpp_3m정규),F2,777,,,,False,/content/drive/MyDrive/Colab Notebooks/homeostatic-market/colab/k2_104/result_paper_final/K2_104_addbp_normbp_normsr_F2_seed777_best.pt
3,Base (add bondpp_3m정규),F2,0,,,,False,/content/drive/MyDrive/Colab Notebooks/homeostatic-market/colab/k2_104/result_paper_final/K2_104_addbp_normbp_normsr_F2_seed0_best.pt
3,Base (add bondpp_3m정규),F2,99,,,,False,/content/drive/MyDrive/Colab Notebooks/homeostatic-market/colab/k2_104/result_paper_final/K2_104_addbp_normbp_normsr_F2_seed99_best.pt
3,Base (add bondpp_3m정규),F3,42,,,,False,/content/drive/MyDrive/Colab Notebooks/homeostatic-market/colab/k2_104/result_paper_final/K2_104_addbp_normbp_normsr_F3_seed42_best.pt
3,Base (add bondpp_3m정규),F3,123,,,,False,/content/drive/MyDrive/Colab Notebooks/homeostatic-market/colab/k2_104/result_paper_final/K2_104_addbp_normbp_normsr_F3_seed123_best.pt
3,Base (add bondpp_3m정규),F3,777,,,,False,/content/drive/MyDrive/Colab Notebooks/homeostatic-market/colab/k2_104/result_paper_final/K2_104_addbp_normbp_normsr_F3_seed777_best.pt
3,Base (add bondpp_3m정규),F3,0,,,,False,/content/drive/MyDrive/Colab Notebooks/homeostatic-market/colab/k2_104/result_paper_final/K2_104_addbp_normbp_normsr_F3_seed0_best.pt
3,Base (add bondpp_3m정규),F3,99,,,,False,/content/drive/MyDrive/Colab Notebooks/homeostatic-market/colab/k2_104/result_paper_final/K2_104_addbp_normbp_normsr_F3_seed99_best.pt
4,Stage 1 (MacroExpander),F1,42,,,0.0,True,/content/drive/MyDrive/Colab Notebooks/homeostatic-market/colab/dual_3ch/result_paper_final/stage1_F1_seed42_best.pt
4,Stage 1 (MacroExpander),F1,123,,,0.0,True,/content/drive/MyDrive/Colab Notebooks/homeostatic-market/colab/dual_3ch/result_paper_final/stage1_F1_seed123_best.pt
4,Stage 1 (MacroExpander),F1,777,,,0.0,True,/content/drive/MyDrive/Colab Notebooks/homeostatic-market/colab/dual_3ch/result_paper_final/stage1_F1_seed777_best.pt
4,Stage 1 (MacroExpander),F1,0,,,0.0,True,/content/drive/MyDrive/Colab Notebooks/homeostatic-market/colab/dual_3ch/result_paper_final/stage1_F1_seed0_best.pt
4,Stage 1 (MacroExpander),F1,99,,,0.0,True,/content/drive/MyDrive/Colab Notebooks/homeostatic-market/colab/dual_3ch/result_paper_final/stage1_F1_seed99_best.pt
4,Stage 1 (MacroExpander),F2,42,,,0.0,True,/content/drive/MyDrive/Colab Notebooks/homeostatic-market/colab/dual_3ch/result_paper_final/stage1_F2_seed42_best.pt
4,Stage 1 (MacroExpander),F2,123,,,0.0,True,/content/drive/MyDrive/Colab Notebooks/homeostatic-market/colab/dual_3ch/result_paper_final/stage1_F2_seed123_best.pt
4,Stage 1 (MacroExpander),F2,777,,,0.0,True,/content/drive/MyDrive/Colab Notebooks/homeostatic-market/colab/dual_3ch/result_paper_final/stage1_F2_seed777_best.pt
4,Stage 1 (MacroExpander),F2,0,,,0.0,True,/content/drive/MyDrive/Colab Notebooks/homeostatic-market/colab/dual_3ch/result_paper_final/stage1_F2_seed0_best.pt
