date,margin_debt,cash_credit,margin_credit,net_margin,margin_chg,sp_ret
2006-09-01,261769,268612,,-6843.0,0.04972971672387794,0.02127419311502643
2006-10-01,267710,267462,,248.0,0.022695582746620202,0.024566297967782313
2006-11-01,294899,290910,,3989.0,0.10156139105748752,0.03150800358539563
2006-12-01,303288,299023,,4265.0,0.028447027626407717,0.016466656343095964
2007-01-01,311506,292521,,18985.0,0.02709635725778803,0.012615782814670462
2007-02-01,321171,300072,,21099.0,0.031026689694580556,0.014059043023177953
2007-03-01,317737,305479,,12258.0,-0.010692123510528617,-0.021846175991944383
2007-04-01,342084,314744,,27340.0,0.07662626637753855,0.009979982939206433
2007-05-01,382312,334359,,47953.0,0.11759684755790967,0.043290690426759815
2007-06-01,408444,347617,,60827.0,0.06835254974994243,0.032549228707361655
2007-07-01,416403,380971,,35432.0,0.019486147427799194,-0.01781632254788501
2007-08-01,362475,381550,,-19075.0,-0.12950915339226665,-0.03198187836198829
2007-09-01,359104,377364,,-18260.0,-0.00929995172080833,0.012863572018857905
2007-10-01,376979,392543,,-15564.0,0.04977666636963107,0.03579400817860079
2007-11-01,379593,426721,,-47128.0,0.006934073250764561,0.014822338223554832
2007-12-01,355292,456353,,-101061.0,-0.06401856725492827,-0.04404341737941575
2008-01-01,365592,474496,,-108904.0,0.028990239014669683,-0.008628508561297932
2008-02-01,377088,454785,,-77697.0,0.031444889384887986,-0.06116343227776988
2008-03-01,349419,488831,,-139412.0,-0.07337544551934827,-0.03476119273728817
2008-04-01,332303,472371,,-140068.0,-0.048984170866495536,-0.005959623397817415
2008-05-01,341610,470188,,-128578.0,0.02800757140320731,0.047546697641229096
2008-06-01,346892,499634,,-152742.0,0.015462076637100752,0.01067418170406853
2008-07-01,343297,519226,,-175929.0,-0.01036345606125244,-0.08596238482631446
2008-08-01,324814,530042,,-205228.0,-0.0538396781795355,-0.009859371185302779
2008-09-01,345745,381702,,-35957.0,0.06443995640582001,0.012190464669121548
2008-10-01,277568,383429,,-105861.0,-0.197188679518142,-0.09079143354379215
2008-11-01,227334,364232,,-136898.0,-0.18097907539774039,-0.16942452401777075
2008-12-01,210185,345713,,-135528.0,-0.07543526265318867,-0.0748490423387097
