date,rv,vix,vrp_var,vrp_vol,vov,gamma_var,gamma_vol
1990-03-31,0.11868904853277407,0.20062272592024372,0.026291434970063806,0.08193367738746962,0.022142203102508976,1.1874125623836165,3.833985552288364
1990-04-30,0.10742923223896791,0.21403499984741212,0.034457583449160466,0.10660576760844417,0.023485847855395457,1.466434105140992,4.537186003547164
1990-05-31,0.11348451186749814,0.18097727255387738,0.019830265232322238,0.06749276068637924,0.013940465131412784,1.520874379427,5.187670335277584
1990-06-30,0.12697513703200652,0.16822380837940035,0.01223714292655191,0.04124867134739382,0.009974209224778877,1.2759621103143926,4.304200158149653
1990-07-31,0.12964259331115197,0.1839285727909633,0.017523423295269982,0.05428597947981134,0.01219984461465706,1.4535757971417016,4.496876979670363
1990-08-31,0.186653977970789,0.28175217255302093,0.044628552525906605,0.09509819458223198,0.01929317095911826,2.7950335008782505,6.086753819815479
1990-09-30,0.21491831581030887,0.2910736836885151,0.03782591174681867,0.0761553678782062,0.044618700946013806,0.8422898854220313,1.6934452395490858
1990-10-31,0.2195030769244216,0.29625652479088826,0.03946319073933167,0.07675344786646665,0.03981385536344175,0.9944591034168361,1.9285739541112705
1990-11-30,0.19243978100972275,0.24885714394705638,0.02583601709287554,0.056417362937333626,0.0266451455471761,0.9420335565205503,2.072236692740644
1990-12-31,0.12950655292773486,0.23363000106811524,0.037625389804290255,0.1041234481403804,0.033994278440262246,1.093029246579261,3.0175204766167925
1991-01-31,0.15505221596885643,0.2742909110676159,0.05212711284614113,0.11923869509875944,0.04371330267153017,1.1396095823991483,2.611920381795998
1991-02-28,0.17211607329216405,0.21598421096801756,0.01705269966153458,0.043868137675853534,0.031505190495719114,0.5441496670836852,1.4018823091455739
1991-03-31,0.15043213805257766,0.17918499851226805,0.009719463552804024,0.02875286045969041,0.02882093715734383,0.33672521545194906,0.9996373620876289
1991-04-30,0.15274097286682015,0.1737272735075517,0.0069309821676634435,0.020986300640731568,0.0205603484902523,0.32763628386495464,0.9902857382222803
1991-05-31,0.13927208884350517,0.16932272737676446,0.009323756558715642,0.03005063853325929,0.0136870143104446,0.675133531931483,2.1801821670408015
1991-06-30,0.1239770987884238,0.1713499994277954,0.013992845574324697,0.04737290063937161,0.011881198050889786,1.1790179907989962,3.9948573321185235
1991-07-31,0.12925612101019554,0.17294090964577416,0.013297061932869038,0.04368478863557861,0.012341129070185902,1.0718459043418247,3.5501701983516982
1991-08-31,0.12002375696825758,0.1568136371265758,0.009450793265786968,0.03678988015831824,0.016678932389435974,0.633542443912725,2.471168180673764
1991-09-30,0.12848381924076202,0.16956499767303465,0.01097676670090067,0.041081178432272644,0.024281651027778232,0.4348379970240819,1.6101667026301194
1991-10-31,0.09783058317598345,0.16363912997038468,0.017124910040330465,0.06580854679440122,0.03159116319962195,0.5433234968562294,2.0900790935637645
