epoch,train,val,test,test_sp_return,test_bondpp_13w_lag
1,660.7264164984226,1.5485190153121948,1.3972642421722412,2.0743257999420166,0.7202028036117554
2,1.0905053056776524,0.8586320877075195,0.6597469449043274,1.0087310075759888,0.31076285243034363
3,0.8478044513612986,0.6149237155914307,0.6718902587890625,1.123308539390564,0.22047194838523865
4,0.7045126464217901,0.460675984621048,0.5298541188240051,1.0850893259048462,-0.025381116196513176
5,0.6400246843695641,0.4946679472923279,0.48345232009887695,1.0316786766052246,-0.06477402150630951
6,0.6165475100278854,0.4571613371372223,0.5586005449295044,1.1533313989639282,-0.03613036125898361
7,0.600164020434022,0.5050862431526184,0.5534468293190002,1.0769920349121094,0.029901649802923203
8,0.5804773946292698,0.4436856210231781,0.5021449327468872,1.0590558052062988,-0.05476592108607292
9,0.5826058909296989,0.503529965877533,0.5693047046661377,1.1197152137756348,0.01889418251812458
10,0.5774200521409512,0.4947607219219208,0.5661945939064026,1.1725972890853882,-0.0402081124484539
11,0.5670045726001263,0.4809364676475525,0.6347891092300415,1.2714117765426636,-0.0018335136119276285
12,0.540214360691607,0.4883217513561249,0.5288539528846741,1.1059751510620117,-0.04826725646853447
13,0.5397661626338959,0.67606520652771,0.5972846746444702,1.15498685836792,0.0395825058221817
14,0.5300305662676692,0.47235235571861267,0.7612266540527344,1.6125764846801758,-0.09012322872877121
15,0.49927627574652433,0.5007638931274414,0.6091980934143066,1.2729452848434448,-0.05454910174012184
16,0.48762276861816645,0.513843297958374,0.6047635674476624,1.2299047708511353,-0.02037768065929413
17,0.4834451777860522,0.6040605306625366,0.5730656385421753,1.1632598638534546,-0.017128581181168556
18,0.4835928538814187,0.5357316732406616,0.6736372709274292,1.3875905275344849,-0.040315985679626465
19,0.45603710878640413,0.48287108540534973,0.6661204695701599,1.3485980033874512,-0.016357045620679855
20,0.44756593368947506,0.5305734276771545,0.6164463758468628,1.2586944103240967,-0.02580168843269348
21,0.4380372930318117,0.5081720948219299,0.5943825840950012,1.2298885583877563,-0.041123416274785995
22,0.40610540471971035,0.6476725339889526,0.7967516779899597,1.6324900388717651,-0.03898663446307182
23,0.388398302718997,0.5821171998977661,0.7914616465568542,1.621978759765625,-0.039055436849594116
24,0.3619756419211626,0.6474944353103638,0.8347215056419373,1.70926833152771,-0.03982533514499664
25,0.3259770912118256,0.6238393783569336,0.9943278431892395,2.0071046352386475,-0.01844893954694271
26,0.3237872357276501,0.6293646693229675,0.9471510648727417,1.8222779035568237,0.07202416658401489
27,0.3017312539741397,0.6226391196250916,1.0887893438339233,2.2069976329803467,-0.029418954625725746
28,0.29753135330975056,0.6708455085754395,1.079450249671936,2.161285638809204,-0.0023851273581385612
29,0.31052004219964147,0.6548219323158264,1.2611610889434814,2.4496912956237793,0.0726308822631836
30,0.26412966661155224,0.6949870586395264,0.8783318400382996,1.8418272733688354,-0.08516357094049454
31,0.23303024237975478,0.6554502844810486,1.4812288284301758,2.9374759197235107,0.024981727823615074
32,0.22347680013626814,0.7863256931304932,1.8269318342208862,3.558103322982788,0.095760278403759
33,0.22210790612734854,0.6677042841911316,1.5595134496688843,3.1672096252441406,-0.04818267747759819
34,0.21084243338555098,0.7122339010238647,1.6481329202651978,3.2265563011169434,0.06970948725938797
35,0.11958336664247327,0.974571704864502,2.916764497756958,5.738662242889404,0.09486657381057739
36,0.2543249342124909,0.6770120859146118,1.3657788038253784,2.7415785789489746,-0.010021024383604527
37,0.14960693242028356,0.7577502131462097,2.992976188659668,5.980624198913574,0.005328222177922726
38,0.11178519204258919,0.7659726738929749,4.08774471282959,8.103302955627441,0.07218602299690247
39,0.10211432917276397,0.8972293734550476,3.8131296634674072,7.592456340789795,0.033802878111600876
40,0.05093439854681492,1.0283180475234985,2.7350664138793945,5.465701580047607,0.004431482870131731
41,0.054035521898185834,0.886949896812439,3.2094533443450928,6.3676862716674805,0.05122063681483269
42,0.003063132840907201,0.8507383465766907,4.146234035491943,8.072674751281738,0.21979370713233948
43,-0.02549290453316644,0.7893268465995789,4.356607913970947,8.438957214355469,0.2742590010166168
44,0.03892844005895313,0.7810885310173035,2.2925233840942383,4.4545159339904785,0.13053081929683685
