date,sp_quarterly_return,tbill_quarterly_return,vix_quarterly_avg,top1_quarterly_growth,next9_quarterly_growth,mid_quarterly_growth,sp_1q_lag,sp_2q_lag,top1_1q_lag,next9_1q_lag,mid_1q_lag,m2_quarterly_growth,news_sentiment_lag1,news_sentiment_std_lag1,sent_m1,sent_m2,sent_m3
1991-07-01,0.1311591312860303,0.01395,17.147031262516975,0.0008414706972286,-0.0009967422764476,0.0097138481790897,-0.0404295558952477,0.2676158623228513,0.0008414706972286,-0.0009967422764476,0.0097138481790897,0.0074060747803665,-0.0929316668515349,0.0600660413520717,-0.1273927514751752,-0.1362936172273851,-0.0161898870331545
1991-10-01,0.1506599432155584,0.01275,16.634218722581863,0.0157142930140399,0.0075963292849232,0.0178934013939764,0.1311591312860303,0.0854268699612819,0.0157142930140399,0.0075963292849232,0.0178934013939764,0.0045538424906244,-0.0279635724490736,0.024677954005789,-0.0261112128557156,-0.0193891326761654,-0.0312101180354754
1992-01-01,-0.0235904639016693,0.0096499999999999,17.45531253516674,0.0451333851373942,0.0228466039070007,0.018163192877026,0.1506599432155584,0.301579501773344,0.0451333851373942,0.0228466039070007,0.018163192877026,0.0062516666172853,-0.0932774109988594,0.0453238644970652,-0.0397023311215302,-0.1191350661218166,-0.1141255908916073
1992-04-01,-0.0675436546390593,0.010025,17.56428571731325,-0.0035351618546871,-0.0043865066140145,0.0062620462617246,-0.0235904639016693,0.1235153413620349,-0.0035351618546871,-0.0043865066140145,0.0062620462617246,0.0005005594487959,0.0500356296824475,0.057002029976997,-0.012312342765771,0.0746333311263728,0.0964872726509648
1992-07-01,0.0396872361194058,0.008875,15.61634914458744,-0.006506631390906,0.00626805616284,0.0107390649286536,-0.0675436546390593,-0.089540732394179,-0.006506631390906,0.00626805616284,0.0107390649286536,0.0034788761461126,0.021624228933693,0.0319744827308156,0.0306757169775664,0.0032397257492712,0.0394579017690072
1992-10-01,0.1500710454408238,0.0065249999999999,13.90203122794628,0.0088030783190278,0.0138596867676181,0.0179471736667033,0.0396872361194058,-0.0305370394896814,0.0088030783190278,0.0138596867676181,0.0179471736667033,0.0118694362017803,-0.0126555866649457,0.0420935658872616,-0.020350110156869,0.0348866516329918,-0.0453512301202863
1993-01-01,-0.0021238645030875,0.0077,14.761093765497208,0.0490687855032072,0.022639940118696,0.0151437290154941,0.1500710454408238,0.1957141865753258,0.0490687855032072,0.022639940118696,0.0151437290154941,-0.0108869211786906,0.0600979517418992,0.116975545733792,-0.0593038210945744,0.0407074052297199,0.2063002562330615
1993-04-01,0.0186550173105866,0.0072499999999999,13.255322533269082,0.0338081788212409,0.0145243738065174,0.0056519789347162,-0.0021238645030875,0.1476284503713834,0.0338081788212409,0.0145243738065174,0.0056519789347162,0.0075755351322783,0.2233872138791614,0.026681150251135,0.2215696928962584,0.2188249948833669,0.2377008425612603
1993-07-01,0.0453123833059492,0.007475,12.973174624972874,0.0178699746411714,0.0064532598441455,0.0116468499625705,0.0186550173105866,0.0164915320784286,0.0178699746411714,0.0064532598441455,0.0116468499625705,0.0063237651172955,0.1198692122003534,0.0371572820168904,0.1588676817715168,0.0937949420223313,0.1150763817131519
1993-10-01,0.040669956992394,0.0073,12.117187470197678,0.0293033975793348,0.0105290639907635,0.0149077212670771,0.0453123833059492,0.0648127039114923,0.0293033975793348,0.0105290639907635,0.0149077212670771,0.0094694775860073,0.1451927615410607,0.0547044182262557,0.1059364207809971,0.1284881642749232,0.2125667462746302
1994-01-01,-0.0384654197327849,0.0075749999999999,12.42156247794628,0.0362096205287367,0.0123632962662014,0.0117185992612338,0.040669956992394,0.0878251929786191,0.0362096205287367,0.0123632962662014,0.0117185992612338,-0.005335781290341,0.3072395880261193,0.065200937638072,0.2404283934062527,0.325846129655838,0.3653825194604935
1994-04-01,-0.0591706814490239,0.009125,13.436190468924384,0.0131047818897878,0.0026550659915303,0.0067168438145561,-0.0384654197327849,0.0006401502933823,0.0131047818897878,0.0026550659915303,0.0067168438145561,0.0047299051134888,0.2702443169222938,0.0927878095952484,0.3804931111874119,0.241152604243585,0.1948876621261719
1994-07-01,0.0931169010469825,0.0105,14.512580640854374,0.0165966914159825,0.0017691667145647,0.0085240734864393,-0.0591706814490239,-0.0953600760839972,0.0165966914159825,0.0017691667145647,0.0085240734864393,0.0027843959009099,0.1384659274839438,0.032640471406813,0.1561355595787366,0.1477954363630663,0.1200328533848126
1994-10-01,0.0264567290813182,0.011825,12.516249999403954,0.0231361548280579,0.0071565413611864,0.0128029614766909,0.0931169010469825,0.0284364291085872,0.0231361548280579,0.0071565413611864,0.0128029614766909,0.0013167687639548,0.2065073517353638,0.0462051791832023,0.1702003918828502,0.2580077960606544,0.2008423263827959
1995-01-01,0.1060677419746889,0.013825,15.268730118161155,0.024526378669357,0.0010863206060738,0.0028747252999528,0.0264567290813182,0.1220371987521926,0.024526378669357,0.0010863206060738,0.0028747252999528,-0.0050314465408805,0.2071784086849378,0.0372221155546448,0.1831964413004536,0.1907949263850848,0.2566865600885883
1995-04-01,0.2032428416434899,0.01425,11.992380944509357,0.03234545885164,0.0160669099322519,0.0136115643718643,0.1060677419746889,0.1353306765696986,0.03234545885164,0.0160669099322519,0.0136115643718643,0.0081599816113091,0.0871697075820217,0.0797431214389094,0.1769964344078494,0.0973645190575293,-0.0016428681030388
1995-07-01,0.087448627829298,0.01365,12.190317471822103,0.0352173093073833,0.008046761211274,0.0196922227618399,0.2032428416434899,0.330868092903823,0.0352173093073833,0.008046761211274,0.0196922227618399,0.0239968080255357,0.0190433772807879,0.0512314481324125,0.0667133381124585,0.0357877081260085,-0.035843339189887
1995-10-01,-0.015126198746478,0.01315,12.472698453872924,0.0401479033448148,0.0044996929347587,0.0035226037758251,0.087448627829298,0.3084647770906386,0.0401479033448148,0.0044996929347587,0.0035226037758251,0.0090453659894238,0.1223029483479204,0.0780846712739207,0.0401126700528566,0.1245550352238839,0.2142524157961209
1996-01-01,0.0580671313655656,0.0124249999999999,12.89968248397585,0.029362389031877,0.0287618027117286,0.0196589709457892,-0.015126198746478,0.0709996637581673,0.029362389031877,0.0287618027117286,0.0196589709457892,0.0060129637291408,0.1508860443010116,0.0706430069325564,0.2249361218944672,0.1576611285408337,0.0801659692379255
1996-04-01,0.1108923962683152,0.012575,15.398253804161437,0.0125444157123317,0.021842632140127,0.0207429479348038,0.0580671313655656,0.0420625976494142,0.0125444157123317,0.021842632140127,0.0207429479348038,0.0138458585803196,0.0620004438816257,0.0419574101203836,0.0270547808726288,0.0620211773262969,0.1051844795865397
1996-07-01,0.0889857088697789,0.0127,16.368254010639493,0.0145056967335119,0.0159886641036488,0.0168411264643411,0.1108923962683152,0.1753987309754354,0.0145056967335119,0.0159886641036488,0.0168411264643411,0.0146032776245335,0.1036677657329774,0.0383538821612871,0.1210254602134227,0.1248864156584585,0.0742097144636015
1996-10-01,0.1136027457668999,0.0124249999999999,16.778437554836273,0.0023401600927082,0.0122434482347519,0.0126592433861065,0.0889857088697789,0.2097459436282986,0.0023401600927082,0.0122434482347519,0.0126592433861065,0.0117010501625884,0.1554196621088878,0.0514005387973407,0.1022026869318177,0.1622905863388892,0.2130466371774673
1997-01-01,-0.0295850640722018,0.0126249999999999,17.206249967217445,0.026638267237032,0.027909801743789,0.0158890566068674,0.1136027457668999,0.2126974754982997,0.026638267237032,0.027909801743789,0.0158890566068674,0.0124087783544537,0.2735447488401247,0.0455151746307893,0.2452043544861578,0.2606147949894269,0.3221101626273124
1997-04-01,0.2010388060186088,0.01295,19.909180187788166,-0.0018755052741427,0.0123973234092062,0.009258967296031,-0.0295850640722018,0.0806567371824062,-0.0018755052741427,0.0123973234092062,0.009258967296031,0.0074685125429374,0.2981327411201265,0.0547951754193153,0.3498405112374213,0.3138914879943643,0.2371890790039493
1997-07-01,0.1460984520736938,0.0126,19.92296886444092,0.054617604530448,0.0466460461362825,0.0315719177489894,0.2010388060186088,0.1655059959893474,0.054617604530448,0.0466460461362825,0.0315719177489894,0.0215420379697792,0.2534054905012414,0.0587334977874273,0.224366117020448,0.2266563004063021,0.312704320748647
1997-10-01,-0.0969138628617141,0.0124249999999999,22.444999992847443,0.034833212795919,0.0322751865418629,0.0236990440086988,0.1460984520736938,0.3765087164583649,0.034833212795919,0.0322751865418629,0.0236990440086988,0.0152469088978228,0.3569873122741346,0.0653126517045646,0.3918569616733058,0.4040724087146021,0.2757302309075991
1998-01-01,0.2319570593600657,0.01295,27.12140640616417,0.0203056034831996,0.0204536054274515,0.0105065161849764,-0.0969138628617141,0.035025623863401,0.0203056034831996,0.0204536054274515,0.0105065161849764,0.0156654712094042,0.2184628066809281,0.0509712755294634,0.2128134167963458,0.1749740143616994,0.2700203738866313
1998-04-01,0.0955875742413707,0.012475,21.32459012015921,0.0585749338623908,0.0512191322723751,0.0350385499683956,0.2319570593600657,0.1125633418577236,0.0585749338623908,0.0512191322723751,0.0350385499683956,0.0167970378362474,0.2050620362990432,0.0545158096498682,0.122711005830957,0.1720848275082452,0.1568360042668158
1998-07-01,0.0060867205471157,0.0124,21.53428565131293,0.0210001393751075,0.021810337052698,0.0184220314106646,0.0955875742413707,0.3497168462338267,0.0210001393751075,0.021810337052698,0.0184220314106646,0.0199826238053864,0.1410292278780796,0.0986090458043215,0.1920822193225224,0.1140059256745922,0.0163859776298825
1998-10-01,0.3645762377868899,0.0103249999999999,29.75171872973442,-0.0420973875100424,-0.0192175824985262,-0.0014838132098227,0.0060867205471157,0.1022561096406704,-0.0420973875100424,-0.0192175824985262,-0.0014838132098227,0.030617073632406,0.0031035489848126,0.0724854850605808,-0.0069161036653601,0.0202171536755838,-0.1423568611343701
1999-01-01,0.1472649284994993,0.01095,29.537187546491623,0.0811042244075717,0.0674190693419434,0.0340145836748277,0.3645762377868899,0.3728820320115333,0.0811042244075717,0.0674190693419434,0.0340145836748277,0.0164405610485169,-0.0004094048746755,0.0710996653336033,-0.1261479007380624,0.0235237987091143,0.0434443965073554
1999-04-01,0.0903821878484749,0.0108,27.252786949032643,-0.0003776161256817,0.0095688501700736,0.0120247737994101,0.1472649284994993,0.5655304598766921,-0.0003776161256817,0.0095688501700736,0.0120247737994101,0.0096306008952391,0.2373686814473735,0.0444711380708976,0.1665083357403355,0.2271903077406542,0.1564551675992627
1999-07-01,0.0483852897188115,0.011375,24.395555647592698,0.0358834959363782,0.0335761856029881,0.0219832216299553,0.0903821878484749,0.2509572427791082,0.0358834959363782,0.0335761856029881,0.0219832216299553,0.0198163905060457,0.1984984176335754,0.0328838927540438,0.1483255657056967,0.1667645717820813,0.1585126702984174
1999-10-01,0.5398605542182013,0.01185,23.32062491774559,-0.0138263121138745,-0.0024335040583831,0.0059439409385071,0.0483852897188115,0.143140645911755,-0.0138263121138745,-0.0024335040583831,0.0059439409385071,0.0139422549127237,0.1765298119381718,0.043488787688753,0.1989467790530573,0.1372331283505886,0.1439504971106847
2000-01-01,0.186095304015099,0.013175,22.65828123688697,0.0882909166426295,0.0712940527968564,0.037527562562226,0.5398605542182013,0.6143671532606187,0.0882909166426295,0.0712940527968564,0.037527562562226,0.0127111303594629,0.184951574501136,0.0658187610862937,0.0881234223563825,0.2043695931633313,0.2191186763586536
