date,sp_quarterly_return,tbill_quarterly_return,m2_quarterly_growth,totll_quarterly_growth,vix_quarterly_avg,top1_growth,next9_growth,mid_growth,sp_1q_lag,sp_2q_lag,sent_m1,sent_m2,sent_m3
1990-10-01,0.1325859595865928,0.017825,0.0069322488215177724,0.006044942482022142,25.195555535573806,-0.024923722058082243,-0.012876530196091807,0.009168071591049154,-0.2575065516615833,-0.16932140502127935,-0.22105909932044246,-0.21425251464049022,-0.24125317123628431
1991-01-01,0.321024287597244,0.01615,0.009974909736246262,0.0032808833611497334,26.113281428813934,0.037096912129299664,0.017006709065205294,0.01436546813606987,0.1325859595865928,-0.15906234532687602,-0.302165346280221,-0.29410250751035555,-0.19736931521085002
1991-04-01,-0.04042955589524777,0.0144,0.010391420261754547,0.0022546360655200104,22.49475413463155,0.03769473018376779,0.01823046091254965,0.017480294217486536,0.321024287597244,0.49617356040551974,-0.12739275147517523,-0.13629361722738512,-0.016189887033154566
1991-07-01,0.1311591312860303,0.01395,0.007406074780366589,-0.00908633623753119,17.147031262516975,0.000841470697228619,-0.0009967422764476375,0.009713848179089712,-0.04042955589524777,0.2676158623228513,-0.026111212855715667,-0.01938913267616543,-0.031210118035475413
1991-10-01,0.15065994321555842,0.01275,0.004553842490624405,0.0026412194746119333,16.634218722581863,0.015714293014039926,0.007596329284923264,0.017893401393976438,0.1311591312860303,0.0854268699612819,-0.039702331121530265,-0.11913506612181664,-0.11412559089160734
1992-01-01,-0.0235904639016693,0.009649999999999999,0.0062516666172853785,-0.0011930702247161529,17.45531253516674,0.04513338513739429,0.022846603907000773,0.018163192877026058,0.15065994321555842,0.301579501773344,-0.012312342765771093,0.07463333112637288,0.0964872726509648
1992-04-01,-0.06754365463905931,0.010025,0.0005005594487959009,0.00040439641014522465,17.56428571731325,-0.0035351618546871633,-0.004386506614014518,0.006262046261724663,-0.0235904639016693,0.1235153413620349,0.03067571697756648,0.0032397257492712307,0.03945790176900724
1992-07-01,0.03968723611940583,0.008875,0.0034788761461126416,-0.007359570251633807,15.61634914458744,-0.006506631390906015,0.006268056162840097,0.010739064928653619,-0.06754365463905931,-0.08954073239417903,-0.02035011015686905,0.03488665163299189,-0.04535123012028634
1992-10-01,0.15007104544082384,0.0065249999999999996,0.011869436201780381,0.004250370247250057,13.902031227946281,0.008803078319027824,0.013859686767618173,0.017947173666703398,0.03968723611940583,-0.03053703948968145,-0.059303821094574466,0.040707405229719974,0.2063002562330615
1993-01-01,-0.002123864503087547,0.0077,-0.010886921178690612,0.0015258396939916707,14.761093765497208,0.04906878550320726,0.022639940118696078,0.0151437290154941,0.15007104544082384,0.1957141865753258,0.22156969289625844,0.21882499488336699,0.23770084256126034
1993-04-01,0.018655017310586608,0.0072499999999999995,0.007575535132278377,0.006226059215821866,13.255322533269082,0.033808178821240986,0.014524373806517499,0.005651978934716251,-0.002123864503087547,0.1476284503713834,0.1588676817715168,0.0937949420223313,0.11507638171315193
1993-07-01,0.04531238330594922,0.007475000000000001,0.006323765117295599,0.010925865478192076,12.973174624972874,0.01786997464117146,0.006453259844145576,0.011646849962570593,0.018655017310586608,0.016491532078428683,0.10593642078099712,0.12848816427492327,0.21256674627463024
