date,m2_level,m2_growth,cpi,pi_e_annual,pi_e_monthly,tb3_pct,tbill_wr,sp_close,sp_return,sp_next_return,metab_max
1970-01-01,589.6,0.0028916482394965026,37.9,0.06162464985994376,0.0051353874883286466,7.87,0.0065583333333333335,85.0199966430664,-0.07647187814714607,0.05269352545074413,0.0065583333333333335
1970-02-01,586.3,-0.005597014925373234,38.1,0.06424581005586605,0.005353817504655504,7.13,0.005941666666666667,89.5,0.05269352545074413,0.0014524832784130748,0.005941666666666667
1970-03-01,587.3,0.0017056114617091112,38.3,0.06094182825484751,0.005078485687903959,6.63,0.0055249999999999995,89.62999725341797,0.0014524832784130748,-0.09048310675968807,0.0055249999999999995
1970-04-01,588.4,0.0018729780350759118,38.5,0.060606060606060774,0.005050505050505065,6.51,0.005424999999999999,81.5199966430664,-0.09048310675968807,-0.06096655785045735,0.005424999999999999
1970-05-01,591.5,0.0052685248130524,38.6,0.06043956043956045,0.005036630036630037,6.84,0.0057,76.55000305175781,-0.06096655785045735,-0.05003268031831565,0.0057
1970-06-01,595.2,0.006255283178360216,38.8,0.060109289617486183,0.005009107468123848,6.68,0.005566666666666667,72.72000122070312,-0.05003268031831565,0.07329485343211539,0.006255283178360216
1970-07-01,599.1,0.0065524193548387455,38.9,0.057065217391304435,0.004755434782608703,6.45,0.0053750000000000004,78.05000305175781,0.07329485343211539,0.04445859648471129,0.0065524193548387455
1970-08-01,604.9,0.009681188449340627,39.0,0.05691056910569103,0.004742547425474253,6.41,0.005341666666666667,81.5199966430664,0.04445859648471129,0.03410214086322405,0.009681188449340627
1970-09-01,611.2,0.010414944618945432,39.2,0.05660377358490565,0.004716981132075471,6.12,0.0051,84.30000305175781,0.03410214086322405,-0.012455551764489758,0.010414944618945432
1970-10-01,616.4,0.008507853403141308,39.4,0.05630026809651478,0.004691689008042899,5.91,0.004925,83.25,-0.012455551764489758,0.047447410789696054,0.008507853403141308
