date,sp_next_return,sp_return,ndx_return,m2_growth,m2_3m,vix,sentiment,ndx_1m,ndx_3m,sp_1m,tbill,metabolism,yield_curve,credit_spread,sp_52wh_ratio,sp_52wl_ratio,sp_in_range,ndx_52wh_ratio,ndx_52wl_ratio,ndx_in_range,sp_3m_mean,sp_3m_std,sp_6m_mean,sp_6m_std,ndx_3m_mean,ndx_3m_std,ndx_6m_mean,ndx_6m_std,vix_3m_mean,vix_3m_std,vix_6m_mean,vix_6m_std
1990-05-31,-0.0088863656812216,0.0919891907988945,0.1473896027755032,-0.0146059782608696,0.0066509499594094,18.09772725538774,-0.0348814198514446,-0.0343897425889693,0.0191888677485994,-0.0268871406212716,0.0065999999999999,0.0065999999999999,0.001,0.0093999999999999,0.9360497835488488,1.040316926736605,0.3619419251426355,0.9091170237037292,1.0191888677485994,0.1584867272833636,,,,,,,,,,,,
1990-06-30,-0.0052231584117391,-0.0088863656812216,0.0097819728015551,0.0084610322459339,0.0082398646531736,16.822380837940035,0.0555879465925196,0.1473896027755032,0.1358006951018413,0.0919891907988945,0.0063999999999999,0.0084610322459339,0.0019,0.0096,1.0,1.136014839001498,0.999999999768786,1.0,1.1694067101192809,0.9999999997076876,,,,,,,,,,,,
1990-07-31,-0.0943141847916291,-0.0052231584117391,-0.063218199205706,0.005285740936509,-0.0010159205447815,18.39285727909633,0.034517335919513,0.0097819728015551,0.1187689222546652,-0.0088863656812216,0.00645,0.00645,0.0045,0.0095999999999999,0.9911136343187784,1.087942152735718,0.9001549130938225,1.0,1.1808458147516234,0.9999999997261776,0.025959888901977934,0.05721237893690848,,,0.0313177921237841,0.10694276599774678,,,17.7709884574747,0.8346662474324558,,
1990-08-31,-0.0511843064564319,-0.0943141847916291,-0.1332676309767121,0.0038661388098477,0.0177109546547566,28.175217255302098,-0.1903587190374251,-0.063218199205706,0.0853678879431136,-0.0052231584117391,0.0061833333333333,0.0061833333333333,0.0079,0.01,0.9859368908026968,1.082259658529171,0.8419902569019002,0.936781800794294,1.106194868803431,0.5872122001839096,-0.036141236294863266,0.05041253539032059,,,-0.06223461912695433,0.07152987388223399,,,21.13015179077949,6.151529046717867,,
1990-09-30,-0.0066982123010423,-0.0511843064564319,-0.0855306270048759,0.0062544289367472,0.0154841116845969,29.10736836885151,-0.2575422768791516,-0.1332676309767121,-0.1801185242543999,-0.0943141847916291,0.0061583333333333,0.0062544289367472,0.008,0.0108,0.892949056690647,1.0,0.0,0.8119391094603402,1.0,0.0,-0.05024054988660003,0.044553010590788256,,,-0.094005485729098,0.035785446003324534,,,25.225147634416647,5.935264951893482,,
1990-10-31,0.0599342145417864,-0.0066982123010423,-0.0254158322902551,0.00307200786434,0.0132479208477467,29.625652479088824,-0.2210590993204424,-0.0855306270048759,-0.2575065516615833,-0.0511843064564319,0.0059416666666666,0.0059416666666666,0.0088,0.0121,0.8472440785230111,1.0,0.0,0.7424934483384167,1.0,0.0,-0.05073223451636777,0.043809735626308695,-0.012386172807194916,0.06198003092957779,-0.08140469675728104,0.05404414950095921,-0.02504345231674847,0.0977492607014237,28.969412701080813,0.7349927954088556,23.370200579277753,6.173829000182776
1990-11-30,0.024827757338752,0.0599342145417864,0.1160500130697408,0.0009187798603453,0.0102730169117339,24.88571439470564,-0.2142525146404902,-0.0254158322902551,-0.2275443878550187,-0.0066982123010423,0.0058749999999999,0.0058749999999999,0.0073,0.0131999999999999,0.8415690578142629,1.0,0.0,0.7236223593788343,1.0,0.0,0.0006838985947707396,0.055925871456477386,-0.017728668850046262,0.05171535455694589,0.0017011845915366013,0.1034900384899367,-0.030266717267708864,0.08693112485664481,27.872911747548656,2.5999356960039277,24.501531769164075,5.610689230813851
1990-12-31,0.0415177499981747,0.024827757338752,0.0412815290926027,0.0050177456859625,0.0090313948300757,23.363000106811523,-0.2412531712362843,0.1160500130697408,-0.0053456789646705,0.0599342145417864,0.0058749999999999,0.0058749999999999,0.0093,0.0137999999999999,0.8920078382770321,1.0599342145417865,0.3183644543047898,0.8075987436423047,1.1160500130697408,0.3038465197907809,0.02602125319316537,0.03333224266392988,-0.01210964834671733,0.05461833432261618,0.043971903290696134,0.07077128609717998,-0.025016791219200932,0.09070279597023558,25.95812232686866,3.2661518280267225,25.591634980642652,4.303396646265769
1991-01-31,0.0672811768127803,0.0415177499981747,0.1590535304773255,0.0047795908426691,0.0107491227906832,27.429091106761582,-0.302165346280221,0.0412815290926027,0.1325859595865925,0.024827757338752,0.0053833333333333,0.0053833333333333,0.0098,0.0141,0.914154392430039,1.0862500040154708,0.4581512525375086,0.840937654673124,1.162122264153079,0.4244746246940235,0.042093240626237705,0.017560302572403597,-0.004319496945065032,0.05895789612484242,0.10546169087988966,0.059595683590658366,0.01202849706130432,0.11430083240177019,25.225935202759583,2.0542849494759534,27.097673951920196,2.471478820323913
1991-02-28,0.022202832522042,0.0672811768127803,0.0761105828079389,9.089531889117096e-05,0.009913107330804,21.59842109680176,-0.2941025075103555,0.1590535304773255,0.3469619131129293,0.0415177499981747,0.005,0.005,0.0098,0.0124,0.9521080259546828,1.1313486601177014,0.6977107287004218,0.9746917575602064,1.3469619131129291,0.908428762829698,0.04454222804990234,0.021387702234543327,0.022613063322336535,0.044845520186462616,0.09214854745928903,0.0605018455103583,0.04692486602541282,0.09056755592176703,24.130170770124952,2.990082157942794,26.001541258836806,3.2376744402529423
1991-03-31,0.0003197993624997,0.022202832522042,0.0591327707706728,0.0081495395055743,0.0130601558694591,17.918499851226805,-0.19736931521085,0.0761105828079389,0.2987589734918754,0.0672811768127803,0.005075,0.0081495395055743,0.0103,0.0116,1.0,1.2074671293559829,0.999999999841446,1.0,1.4494799693400506,0.9999999998710676,0.043667253110999005,0.022615913727342906,0.03484425315208219,0.027247414112571176,0.09809896135197908,0.05346640205152831,0.07103543232133762,0.0634493022655464,22.315337351596714,4.795655658484626,24.13672983923269,4.177007193698762
1991-04-30,0.0386049724936075,0.0003197993624997,-0.004718672753478,0.0132251277427111,0.0215752939219573,17.37272735075517,-0.1273927514751752,0.0591327707706728,0.3210242875972442,0.022202832522042,0.0048,0.0132251277427111,0.0121999999999999,0.0108,1.0,1.2342763198049445,0.99999999985959,1.0,1.5351917361037175,0.9999999998917164,0.02993460289910734,0.0341436922781132,0.03601392176267252,0.025179597314901946,0.04350822694171124,0.04261967756859,0.07448495891080045,0.057434331855233806,18.96321609959458,2.2984116120806353,22.09457565117708,3.9455808452521257
1991-05-31,-0.0478926289747986,0.0386049724936075,0.0582010631004508,-0.0106496588549391,0.0106040063736223,16.932272737676445,-0.1362936172273851,-0.004718672753478,0.1343659043454315,0.0003197993624997,0.0046166666666666,0.0046166666666666,0.0138,0.01,1.0,1.2346710405851666,0.9999999998598262,0.995281327246522,1.5279476686872002,0.9864645378749244,0.02037586812604974,0.01920786218187473,0.032459048087976033,0.022488979438367307,0.0375383870392152,0.03659865225029646,0.06484346724925212,0.05380199577163298,17.407833313219474,0.49404989760745477,20.769002041672213,4.151001916451467
1991-06-30,0.0448593429577663,-0.0478926289747986,-0.0889067837841621,0.0087853437678031,0.0112413585813044,17.13499994277954,-0.0161898870331545,0.0582010631004508,0.1154868515380833,0.0386049724936075,0.0046666666666666,0.0087853437678031,0.0134,0.0095,1.0,1.2823354821456106,0.9999999998834906,1.0,1.616875847366651,0.9999999999060548,-0.002989285706230462,0.04334364195520346,0.02033898370238427,0.04011371492378244,-0.011808131145729768,0.07380972137176975,0.04314541510312465,0.08334556461693422,17.146666677070385,0.22045895550510264,19.73100201433355,4.151302578810613
