market,percentile,steps,strategy,return,vol,sharpe,sortino,mdd,action_mean,pp
NDX,Top 1%,50000,original,3.988360503889332,4.831451295707807,0.3025634521540493,0.30974881787008685,-6.616261414297744,0.12975770886987448,0.7866515021476288
NDX,Top 1%,50000,contrarian,20.06375661397548,21.18593437425261,0.8622994364347802,1.0425302062751405,-27.12195932486167,0.8702422911301255,
NDX,Top 1%,100000,original,7.043491687718606,5.831791743454419,0.7619099898979154,1.2175915120502798,-4.432495842895228,0.19630158133804798,0.9359132418500753
NDX,Top 1%,100000,contrarian,16.678219482601484,20.841662829488293,0.7334894336854121,0.8728662321916277,-29.366932703297223,0.803698418661952,
NDX,Top 1%,500000,original,7.484925982379931,5.477330338945046,0.8844386939893615,1.5959356766875936,-3.189672988893174,0.18274488672614098,0.9593108578295598
NDX,Top 1%,500000,contrarian,16.069481090439975,21.635499107171444,0.6880394526117807,0.7335201144327342,-30.599294741522026,0.817255113273859,
NDX,90-99th,50000,original,6.854674520621029,5.75671313955946,0.7393948640875815,4.661300336558251,0.0,0.16648516400406757,1.0269722498747973
NDX,90-99th,50000,contrarian,16.50459692587285,22.526882171339885,0.6869106699762008,0.8664694361478928,-32.96748721050478,0.8335148359959325,
NDX,90-99th,100000,original,7.758253507827484,5.388531562049465,0.9456558760262409,5.676401198370175,0.0,0.17552835618456206,1.0801916541278778
NDX,90-99th,100000,contrarian,15.642508297635782,22.2391819010678,0.658061226555198,0.7815893380494512,-32.96748721050478,0.8244716438154379,
NDX,90-99th,500000,original,7.149156055061923,4.716531803280391,0.9515850122352435,3.808574843856682,-0.2683024623618986,0.20270714784661928,1.0440711182802775
NDX,90-99th,500000,contrarian,16.466029752549915,21.56965809428056,0.7066527811358748,0.735365351579781,-32.4247234667212,0.7972928521533807,
NDX,50-90th,50000,original,9.548511255627478,10.571996117175127,0.673935565550191,6.599295285487693,0.0,0.09712080657482147,1.027620871451003
NDX,50-90th,50000,contrarian,13.89252889617596,19.68419654031949,0.6403916789878958,0.5635703674508199,-32.96748721050478,0.9028791934251785,
NDX,50-90th,100000,original,11.223239631926486,12.383233365678525,0.7148195271361704,8.198844613974435,0.0,0.12504656612873077,1.1255564503310578
NDX,50-90th,100000,contrarian,12.022701775731882,19.613277614950682,0.554658076477849,0.51982830325396,-32.96748721050478,0.8749534338712692,
NDX,50-90th,500000,original,9.252992582747922,6.488115214097494,1.0114951832303531,6.9295978839426855,0.0,0.1162172934661309,1.011099945283677
NDX,50-90th,500000,contrarian,14.370704345604945,20.413977895252735,0.6450356042545115,0.6293496434280277,-32.96748721050479,0.8837827065338691,
NDX,-,-,Buy & Hold,21.295777322657415,22.6799446391647,0.8699509706974508,0.8821075598446425,-32.96748721050478,1.0,
NDX,-,-,Cash,2.60249811943547,1.0855794023879062,1.8642985035037559e-16,1.853940763084838e-16,0.0,0.0,
SP500,Top 1%,50000,original,3.0115815852912897,8.79643864303983,0.09337759752744229,0.08862893880940141,-18.520063717510777,0.27973236716710603,0.6850796957806166
SP500,Top 1%,50000,contrarian,13.81027158695729,13.905088396039128,0.8326214200387013,0.6462134891940324,-20.0010503824639,0.720267632832894,
SP500,Top 1%,100000,original,5.574480381185176,12.132787440189201,0.30120542596289507,0.3068260568550884,-23.86380733274003,0.5637619438079687,0.8037387914359967
SP500,Top 1%,100000,contrarian,11.166918310472207,10.99053276390437,0.795648721692398,0.9196100691385164,-11.007184612102412,0.43623805619203126,
SP500,Top 1%,500000,original,8.98925828588213,15.205645163487574,0.484135910142015,0.4355088804796236,-24.769522239058823,0.7404331029034578,0.9884979399024955
SP500,Top 1%,500000,contrarian,7.45344812508375,8.675154270792653,0.5806773845851755,1.4769359408259515,-4.104316402677084,0.25956689709654224,
SP500,90-99th,50000,original,1.9481466707516049,8.719891927488408,-0.025692120773118155,-0.020302902774713836,-22.414895906914886,0.26002517285255283,0.7230526543984565
SP500,90-99th,50000,contrarian,14.956618574044489,13.979085780140144,0.9029987703359955,0.832132279182821,-20.001050382463905,0.7399748271474471,
SP500,90-99th,100000,original,4.347619147303461,10.435159720188523,0.21853644376249928,0.19606888027954458,-23.58701069138914,0.40941725155481923,0.8410867383913402
SP500,90-99th,100000,contrarian,12.22900409198797,13.834780372349314,0.7313887019296745,0.7149119803114246,-20.001050382463905,0.5905827484451808,
SP500,90-99th,500000,original,5.506078308308915,11.48196157637766,0.30662737311830196,0.22877398724952538,-21.852851119524527,0.5234152150268738,0.9036658489494023
SP500,90-99th,500000,contrarian,11.393367977247927,10.189534726696547,0.871323497596715,1.179807474220929,-9.182799459135033,0.4765847849731262,
SP500,50-90th,50000,original,7.194804541319,9.123704854339163,0.5299480655429847,0.8897022886349243,-8.219157430353924,0.150271864178089,0.8827134475253521
SP500,50-90th,50000,contrarian,9.436289345442205,13.861923664507767,0.5456656087771637,0.43292290045220466,-20.0010503824639,0.849728135821911,
SP500,50-90th,100000,original,8.666908670685714,11.157181175119783,0.5767494166398532,0.7662844595022451,-16.51483796333619,0.32150722502802426,0.9645460916331416
SP500,50-90th,100000,contrarian,7.949377926737622,12.305949029257029,0.4846572178288129,0.39333630304407197,-20.0010503824639,0.6784927749719757,
SP500,50-90th,500000,original,9.165367211550212,8.297840652958916,0.7997500790334471,1.3447971432453574,-8.375184661727983,0.3391751159842198,0.9936699906157804
SP500,50-90th,500000,contrarian,7.367079092936346,14.984589275834063,0.384586185798327,0.35031533352757305,-20.0010503824639,0.6608248840157802,
SP500,-,-,Buy & Hold,14.12054769030493,17.19871878622148,0.7209295592001728,0.5693285572833301,-24.76952223905883,1.0,
SP500,-,-,Cash,2.5783782178694814,1.0439375562272728,-2.300831882676369e-16,-2.3976853368398666e-16,0.0,0.0,
