date,ndx_return,sp_return,m2_growth,vix,sentiment,ndx_1m,ndx_3m,sp_1m,m2_3m,rut_return,rut_1m
1990-06-30,0.0097819728015551,-0.0088863656812216,0.0064276261894258,18.09772725538774,0.0555879465925196,0.1473896027755032,0.1358006951018413,0.0919891907988945,0.0030145073164604,0.001243215028863487,0.06844207460852125
1990-07-31,-0.063218199205706,-0.0052231584117391,0.0045707845469915,16.822380837940035,0.034517335919513,0.0097819728015551,0.1187689222546652,-0.0088863656812216,0.0057357780912081,-0.044997639723667215,0.001243215028863487
1990-08-31,-0.1332676309767121,-0.0943141847916291,0.0060147095487408,18.39285727909633,-0.1903587190374251,-0.063218199205706,0.0853678879431136,-0.0052231584117391,0.0171088285336189,-0.13621448051667695,-0.044997639723667215
1990-09-30,-0.0855306270048759,-0.0511843064564319,0.0007124934171804,28.175217255302098,-0.2575422768791516,-0.1332676309767121,-0.1801185242543999,-0.0943141847916291,0.0113330411370611,-0.09182136092741411,-0.13621448051667695
1990-10-31,-0.0254158322902551,-0.0066982123010423,0.0018883110450718,29.10736836885151,-0.2210590993204424,-0.0855306270048759,-0.2575065516615833,-0.0511843064564319,0.0086325105958613,-0.0621151957912236,-0.09182136092741411
1990-11-30,0.1160500130697408,0.0599342145417864,0.0076625984860188,29.625652479088824,-0.2142525146404902,-0.0254158322902551,-0.2275443878550187,-0.0066982123010423,0.0102846875871256,0.07304552866637559,-0.0621151957912236
1990-12-31,0.0412815290926027,0.024827757338752,0.0092907736178824,24.88571439470564,-0.2412531712362843,0.1160500130697408,-0.0053456789646705,0.0599342145417864,0.0189450222882614,0.036781387604408966,0.07304552866637559
1991-01-31,0.1590535304773255,0.0415177499981747,-0.0075039494470773,23.363000106811523,-0.302165346280221,0.0412815290926027,0.1325859595865925,0.024827757338752,0.0093928626602812,0.09054464067339962,0.036781387604408966
1991-02-28,0.0761105828079389,0.0672811768127803,0.0070709235054637,27.429091106761582,-0.2941025075103555,0.1590535304773255,0.3469619131129293,0.0415177499981747,0.0088001717106676,0.10980094355348702,0.09054464067339962
1991-03-31,0.0591327707706728,0.022202832522042,0.0091185410334346,21.59842109680176,-0.19736931521085,0.0761105828079389,0.2987589734918754,0.0672811768127803,0.0086280228460322,0.0688124656677247,0.10980094355348702
1991-04-30,-0.004718672753478,0.0003197993624997,-0.001867469879518,17.918499851226805,-0.1273927514751752,0.0591327707706728,0.3210242875972442,0.022202832522042,0.0143561174201842,-0.002339008884468363,0.0688124656677247
