date,m2_level,m2_growth,sp_close,sp_return,sp_next_return,tbill_wr,mich,mich_wr,metabolism_max,metabolism_min,margin_debt,log_margin,margin_chg,margin_yoy,m2v,cpi,log_cpi,cpi_yoy,vix
1998-01-02,4055.4,0.0003206116310835,975.0399780273438,0.0403716410531069,-0.0497808453761493,0.0009972882815767,2.8,0.0005312019422878,0.0009972882815767,0.0003206116310835,132912.0,11.797442534078852,0.010224233775860014,0.25169176304420304,2.17,162.0,5.087596335232384,0.016179568876268924,0.2627636371959339
1998-01-09,4100.0,0.0109376473580357,927.6900024414062,-0.0497808453761493,0.0358073476612563,0.0009478766687753,2.8,0.0005312019422878,0.0109376473580357,0.0009478766687753,132912.0,11.797442534078852,0.0,0.25169176304420304,2.17,162.0,5.087596335232384,0.016179568876268924,0.2627636371959339
1998-01-16,4082.5,-0.0042774278477789,961.510009765625,0.0358073476612563,-0.0040852360868305,0.0009661917736152,2.8,0.0005312019422878,0.0009661917736152,-0.0042774278477789,132912.0,11.797442534078852,0.0,0.25169176304420304,2.17,162.0,5.087596335232384,0.016179568876268924,0.2627636371959339
1998-01-23,4064.6,-0.0043942086884135,957.5900268554688,-0.0040852360868305,0.0234185355675222,0.000969852744536,2.8,0.0005312019422878,0.000969852744536,-0.0043942086884135,132912.0,11.797442534078852,0.0,0.25169176304420304,2.17,162.0,5.087596335232384,0.016179568876268924,0.2627636371959339
1998-01-30,4028.7,-0.0088715939009674,980.280029296875,0.0234185355675222,0.032300038701702,0.0009735130327084,2.8,0.0005312019422878,0.0009735130327084,-0.0088715939009674,132912.0,11.797442534078852,0.0,0.25169176304420304,2.17,162.0,5.087596335232384,0.016179568876268924,0.2627636371959339
1998-02-06,4041.3,0.0031226791173928,1012.4600219726562,0.032300038701702,0.0075078502767862,0.000969852744536,2.3,0.0004373934549697,0.0031226791173928,0.000969852744536,141328.0,11.858838708984914,0.06139617490606142,0.307789285923576,2.17,162.0,5.087596335232384,0.014299280011417004,0.238664999961853
1998-02-13,4078.1,0.009064771285537,1020.0900268554688,0.0075078502767862,0.0137469274481112,0.0009790021853757,2.3,0.0004373934549697,0.009064771285537,0.0009790021853757,141328.0,11.858838708984914,0.0,0.307789285923576,2.17,162.0,5.087596335232384,0.014299280011417004,0.238664999961853
1998-02-20,4081.5,0.0008333742332415,1034.2099609375,0.0137469274481112,0.014523550061988,0.0009771726383893,2.3,0.0004373934549697,0.0009771726383893,0.0008333742332415,141328.0,11.858838708984914,0.0,0.307789285923576,2.17,162.0,5.087596335232384,0.014299280011417004,0.238664999961853
1998-02-27,4077.1,-0.0010786165338624,1049.3399658203125,0.014523550061988,0.0060331635433992,0.0009972882815767,2.3,0.0004373934549697,0.0009972882815767,-0.0010786165338624,141328.0,11.858838708984914,0.0,0.307789285923576,2.17,162.0,5.087596335232384,0.014299280011417004,0.238664999961853
1998-03-06,4101.2,0.0058936624383878,1055.68994140625,0.0060331635433992,0.0121641987505077,0.0009661917736152,2.4,0.0004561910738456,0.0058936624383878,0.0009661917736152,146536.0,11.895026411040053,0.036187702055139326,0.33488344646071333,2.17,162.0,5.087596335232384,0.013673301900209545,0.1999894724394146
1998-03-13,4141.9,0.0098750059420254,1068.6099853515625,0.0121641987505077,0.0281875579897418,0.0009552047617888,2.4,0.0004561910738456,0.0098750059420254,0.0009552047617888,146536.0,11.895026411040053,0.0,0.33488344646071333,2.17,162.0,5.087596335232384,0.013673301900209545,0.1999894724394146
1998-03-20,4142.2,7.242790408877677e-05,1099.1600341796875,0.0281875579897418,-0.0033902272650496,0.0009735130327084,2.4,0.0004561910738456,0.0009735130327084,7.242790408877677e-05,146536.0,11.895026411040053,0.0,0.33488344646071333,2.17,162.0,5.087596335232384,0.013673301900209545,0.1999894724394146
1998-03-27,4119.2,-0.0055680779101189,1095.43994140625,-0.0033902272650496,0.0245803994378425,0.0009771726383893,2.4,0.0004561910738456,0.0009771726383893,-0.0055680779101189,146536.0,11.895026411040053,0.0,0.33488344646071333,2.17,162.0,5.087596335232384,0.013673301900209545,0.1999894724394146
1998-04-03,4118.8,-9.711094933571064e-05,1122.699951171875,0.0245803994378425,-0.01077297859195,0.000953372995033,2.5,0.0004749706973072,0.000953372995033,-9.711094933571064e-05,146589.0,11.895388031513077,0.00036162047302390476,0.35443892263663024,2.155,162.2,5.088830141681313,0.014281521841404299,0.2015863635323264
1998-04-10,4194.6,0.0182361249633987,1110.6700439453125,-0.01077297859195,0.010790810028338,0.0009515410573002,2.5,0.0004749706973072,0.0182361249633987,0.0009515410573002,146589.0,11.895388031513077,0.0,0.35443892263663024,2.155,162.2,5.088830141681313,0.014281521841404299,0.2015863635323264
1998-04-17,4208.4,0.0032845441881381,1122.719970703125,0.010790810028338,-0.0132879328464583,0.0009478766687753,2.5,0.0004749706973072,0.0032845441881381,0.0009478766687753,146589.0,11.895388031513077,0.0,0.35443892263663024,2.155,162.2,5.088830141681313,0.014281521841404299,0.2015863635323264
1998-04-24,4197.5,-0.0025934179824367,1107.9000244140625,-0.0132879328464583,0.0117547905091916,0.000953372995033,2.5,0.0004749706973072,0.000953372995033,-0.0025934179824367,146589.0,11.895388031513077,0.0,0.35443892263663024,2.155,162.2,5.088830141681313,0.014281521841404299,0.2015863635323264
1998-05-01,4127.3,-0.0168656698129438,1121.0,0.0117547905091916,-0.0115381967373438,0.0009423788028559,2.4,0.0004561910738456,0.0009423788028559,-0.0168656698129438,150293.0,11.92034200113686,0.024953969623782157,0.30218302857398704,2.155,162.6,5.0912931971137105,0.016744577273802186,0.2202857144673665
1998-05-08,4139.5,0.0029515674401085,1108.1400146484375,-0.0115381967373438,0.0005322511789502,0.0009643610320437,2.4,0.0004561910738456,0.0029515674401085,0.0009643610320437,150293.0,11.92034200113686,0.0,0.30218302857398704,2.155,162.6,5.0912931971137105,0.016744577273802186,0.2202857144673665
1998-05-15,4146.6,0.0017137137465432,1108.72998046875,0.0005322511789502,0.0015681242152254,0.0009716829739496,2.4,0.0004561910738456,0.0017137137465432,0.0009716829739496,150293.0,11.92034200113686,0.0,0.30218302857398704,2.155,162.6,5.0912931971137105,0.016744577273802186,0.2202857144673665
1998-05-22,4143.6,-0.0007237461414567,1110.469970703125,0.0015681242152254,-0.0178536649978438,0.0009790021853757,2.4,0.0004561910738456,0.0009790021853757,-0.0007237461414567,150293.0,11.92034200113686,0.0,0.30218302857398704,2.155,162.6,5.0912931971137105,0.016744577273802186,0.2202857144673665
1998-05-29,4125.3,-0.0044262307869382,1090.8199462890625,-0.0178536649978438,0.0209017894579275,0.0009442115959563,2.4,0.0004561910738456,0.0009442115959563,-0.0044262307869382,150293.0,11.92034200113686,0.0,0.30218302857398704,2.155,162.6,5.0912931971137105,0.016744577273802186,0.2202857144673665
1998-06-05,4156.3,0.0074865110099826,1113.8599853515625,0.0209017894579275,-0.0135764003866799,0.0009606990365178,2.6,0.000493732360113,0.0074865110099826,0.0009606990365178,154357.0,11.947023380375882,0.026681379239022363,0.2614648070923824,2.155,162.8,5.09252245356844,0.01609941893418121,0.2087399978637695
1998-06-12,4193.3,0.0088627580221396,1098.8399658203125,-0.0135764003866799,0.0016458897384395,0.0009625301196887,2.6,0.000493732360113,0.0088627580221396,0.0009625301196887,154357.0,11.947023380375882,0.0,0.2614648070923824,2.155,162.8,5.09252245356844,0.01609941893418121,0.2087399978637695
1998-06-19,4192.9,-9.539481536420728e-05,1100.6500244140625,0.0016458897384395,0.0291445093268165,0.000969852744536,2.6,0.000493732360113,0.000969852744536,-9.539481536420728e-05,154357.0,11.947023380375882,0.0,0.2614648070923824,2.155,162.8,5.09252245356844,0.01609941893418121,0.2087399978637695
1998-06-26,4159.0,-0.0081179578708552,1133.199951171875,0.0291445093268165,0.0115986357444331,0.0009405458385851,2.6,0.000493732360113,0.0009405458385851,-0.0081179578708552,154357.0,11.947023380375882,0.0,0.2614648070923824,2.155,162.8,5.09252245356844,0.01609941893418121,0.2087399978637695
1998-07-03,4145.3,-0.0032994984355017,1146.4200439453125,0.0115986357444331,0.0155016949109398,0.0009515410573002,2.7,0.0005124760969208,0.0009515410573002,-0.0032994984355017,160980.0,11.989035412647725,0.04201203227184358,0.2847460628993126,2.155,163.2,5.094976442530006,0.01730574709759214,0.2166272726925936
1998-07-10,4224.6,0.0189494194457325,1164.3299560546875,0.0155016949109398,0.0190727019084028,0.0009497089485583,2.7,0.0005124760969208,0.0189494194457325,0.0009497089485583,160980.0,11.989035412647725,0.0,0.2847460628993126,2.155,163.2,5.094976442530006,0.01730574709759214,0.2166272726925936
1998-07-17,4202.6,-0.005221200393572,1186.75,0.0190727019084028,-0.0394886649697445,0.0009643610320437,2.7,0.0005124760969208,0.0009643610320437,-0.005221200393572,160980.0,11.989035412647725,0.0,0.2847460628993126,2.155,163.2,5.094976442530006,0.01730574709759214,0.2166272726925936
1998-07-24,4188.4,-0.0033845819462635,1140.800048828125,-0.0394886649697445,-0.0178030535322397,0.000953372995033,2.7,0.0005124760969208,0.000953372995033,-0.0033845819462635,160980.0,11.989035412647725,0.0,0.2847460628993126,2.155,163.2,5.094976442530006,0.01730574709759214,0.2166272726925936
1998-07-31,4165.8,-0.0054104654260241,1120.6700439453125,-0.0178030535322397,-0.0282538230282172,0.0009570363576001,2.6,0.000493732360113,0.0009570363576001,-0.0054104654260241,160980.0,11.989035412647725,0.0,0.2577457995366128,2.155,163.2,5.094976442530006,0.014815085785140347,0.1992999987168745
1998-08-07,4201.4,0.0085094690742971,1089.449951171875,-0.0282538230282172,-0.0248130486623262,0.0009368793964033,2.6,0.000493732360113,0.0085094690742971,0.0009368793964033,155879.0,11.956835344240895,-0.032200068406829985,0.22554573112978282,2.155,163.4,5.096201182425903,0.016039825681036568,0.1992999987168745
1998-08-14,4232.6,0.0073986583647732,1062.75,-0.0248130486623262,0.0172486333776325,0.0009442115959563,2.6,0.000493732360113,0.0073986583647732,0.0009442115959563,155879.0,11.956835344240895,0.0,0.22554573112978282,2.155,163.4,5.096201182425903,0.016039825681036568,0.1992999987168745
1998-08-21,4226.4,-0.0014658945762474,1081.239990234375,0.0172486333776325,-0.0513302663404066,0.0009405458385851,2.6,0.000493732360113,0.0009405458385851,-0.0014658945762474,155879.0,11.956835344240895,0.0,0.22554573112978282,2.155,163.4,5.096201182425903,0.016039825681036568,0.1992999987168745
1998-08-28,4206.3,-0.0047671654549103,1027.1400146484375,-0.0513302663404066,-0.0532351583151866,0.0009222067743996,2.6,0.000493732360113,0.0009222067743996,-0.0047671654549103,155879.0,11.956835344240895,0.0,0.22554573112978282,2.155,163.4,5.096201182425903,0.016039825681036568,0.1992999987168745
