date,equity_mf,total_fa,eq_pct,eq_pct_chg,sp_qret
1990-01-01,2033511,15680244.0,12.968618345479829,,-0.03314137755543034
1990-04-01,2106438,15945828.0,13.209963132676458,0.24134478719662944,0.005226696520255869
1990-07-01,1760993,15769230.0,11.167273227671865,-2.0426899050045932,0.07663242756641497
1990-10-01,1972212,16282048.0,12.112800551871606,0.9455273241997411,-0.14642705261885214
1991-01-01,2287414,16783056.0,13.62930565208148,1.5165051002098746,0.1313486601177014
1991-04-01,2272816,16862958.0,13.478157272288765,-0.15114837979271556,0.09132673605386676
1991-07-01,2428752,17173185.0,14.142699796223008,0.6645425239342426,0.03322321453181165
1991-10-01,2857364,17773295.0,16.076726347027943,1.9340265508049352,0.011964659698429969
1992-01-01,2803686,17733596.0,15.810025219927192,-0.26670112710075067,0.04161036071939517
1992-04-01,2810843,17830889.0,15.763897133788449,-0.04612808613874364,0.015093726322616963
1992-07-01,2942577,18157689.0,16.205680139141055,0.4417830053526064,0.02231589101249809
1992-10-01,3312344,18731693.0,17.68309997393188,1.477419834790826,-0.01303599370757036
1993-01-01,3443935,19045204.0,18.08295148741909,0.39985151348721004,0.04800804063995656
1993-04-01,3508862,19263058.0,18.215498286928273,0.13254679950918202,0.0032134638452803177
1993-07-01,3684956,19631689.0,18.770448125986512,0.5549498390582386,0.018037670999724975
1993-10-01,3860688,20025748.0,19.278620703706046,0.5081725777195345,0.043960416563949334
1994-01-01,3702501,20094312.0,18.425617159721615,-0.8530035439844319,0.029455142198689055
1994-04-01,3618007,20235447.0,17.879550671650595,-0.5460664880710198,-0.06374448749654338
1994-07-01,3690767,20568679.0,17.943626812397625,0.06407614074703005,0.0163003837657667
1994-10-01,3642171,20807531.0,17.50409983769819,-0.4395269746994366,0.030746729013288565
1995-01-01,3870834,21307760.0,18.16631124059967,0.6622114029014803,-0.0040859376539487124
1995-04-01,4116808,21883441.0,18.812434479568363,0.6461232389686948,0.09414992406934597
1995-07-01,4429376,22518965.0,19.669536321940196,0.8571018423718328,0.09199349840608484
1995-10-01,4765754,23226676.0,20.518450423125547,0.8489141011853505,0.03458705925674721
1996-01-01,4940592,23707348.0,20.839918492781226,0.32146806965567976,0.09375755723344792
1996-04-01,5138064,24166498.0,21.261102870593827,0.421184377812601,0.028536780009350782
1996-07-01,5152506,24446383.0,21.07676215332141,-0.1843407172724163,-0.02173742463673689
1996-10-01,5397002,25140323.0,21.46751256934925,0.39075041602783855,0.10207048375379513
1997-01-01,5452182,25322752.0,21.53076411284208,0.06325154349282869,0.11469359447186456
1997-04-01,6278383,26659130.0,23.550592236130736,2.019828123288658,0.019309115484752226
1997-07-01,6766764,27639909.0,24.48186063130671,0.931268395175973,0.19089271167870292
1997-10-01,6907999,28142506.0,24.5464956105899,0.06463497928319129,-0.04159026159523105
1998-01-01,7871124,29623669.0,26.570388698307422,2.0238930877175214,0.07178941476265743
1998-04-01,8034699,30167893.0,26.633278631689656,0.06288993338223392,0.13411470883215326
1998-07-01,7135290,29356548.0,24.305616586800326,-2.3276620448893297,0.008023426080784768
1998-10-01,8411348,31286463.0,26.884943817394763,2.579327230594437,-0.01963111276049556
1999-01-01,8440220,31488398.0,26.80422166920019,-0.08072214819457457,0.16471730680238061
1999-04-01,9117110,32436395.0,28.1076549968022,1.3034333276020114,0.04340286207583066
1999-07-01,8651099,32167752.0,26.893700871605823,-1.213954125196377,-0.004838360931065155
1999-10-01,10297442,34570226.0,29.787025401569544,2.8933245299637207,0.025746646217494007
2000-01-01,10824461,35325200.0,30.642320496416158,0.855295094846614,0.023133914422617696
