date,sp_next_return,sp_return,ndx_return,m2_growth,m2_3m,vix,sentiment,ndx_1m,ndx_3m,sp_1m,tbill,metabolism
1990-05-31,-0.008886365681221697,0.09198919079889456,0.14738960277550328,-0.014605978260869623,0.006650949959409402,18.09772725538774,-0.03488141985144466,-0.03438974258896932,0.019188867748599403,-0.02688714062127162,0.006599999999999999,0.006599999999999999
1990-06-30,-0.005223158411739148,-0.008886365681221697,0.009781972801555128,0.008461032245933975,0.008239864653173612,16.822380837940035,0.05558794659251968,0.14738960277550328,0.13580069510184134,0.09198919079889456,0.0063999999999999994,0.008461032245933975
1990-07-31,-0.09431418479162912,-0.005223158411739148,-0.06321819920570604,0.00528574093650902,-0.0010159205447815012,18.39285727909633,0.034517335919513094,0.009781972801555128,0.11876892225466529,-0.008886365681221697,0.00645,0.00645
1990-08-31,-0.051184306456431905,-0.09431418479162912,-0.13326763097671213,0.0038661388098477634,0.017710954654756694,28.175217255302098,-0.19035871903742513,-0.06321819920570604,0.08536788794311367,-0.005223158411739148,0.006183333333333333,0.006183333333333333
1990-09-30,-0.006698212301042394,-0.051184306456431905,-0.0855306270048759,0.006254428936747214,0.015484111684596957,29.10736836885151,-0.25754227687915165,-0.13326763097671213,-0.1801185242543999,-0.09431418479162912,0.0061583333333333325,0.006254428936747214
1990-10-31,0.05993421454178649,-0.006698212301042394,-0.025415832290255125,0.0030720078643400317,0.01324792084774673,29.625652479088824,-0.22105909932044246,-0.0855306270048759,-0.2575065516615833,-0.051184306456431905,0.005941666666666667,0.005941666666666667
1990-11-30,0.024827757338752088,0.05993421454178649,0.11605001306974083,0.0009187798603453867,0.01027301691173399,24.885714394705637,-0.21425251464049022,-0.025415832290255125,-0.22754438785501874,-0.006698212301042394,0.005874999999999999,0.005874999999999999
1990-12-31,0.0415177499981747,0.024827757338752088,0.04128152909260274,0.005017745685962582,0.009031394830075756,23.363000106811523,-0.24125317123628431,0.11605001306974083,-0.0053456789646705305,0.05993421454178649,0.005874999999999999,0.005874999999999999
1991-01-31,0.06728117681278034,0.0415177499981747,0.1590535304773255,0.004779590842669101,0.010749122790683296,27.429091106761586,-0.302165346280221,0.04128152909260274,0.13258595958659258,0.024827757338752088,0.005383333333333334,0.005383333333333334
1991-02-28,0.022202832522042026,0.06728117681278034,0.07611058280793892,9.089531889117097e-05,0.009913107330804083,21.598421096801758,-0.29410250751035555,0.1590535304773255,0.34696191311292934,0.0415177499981747,0.005,0.005
