date,sp_next_return,sp_return,ndx_return,m2_growth,m2_3m,vix,sentiment,ndx_1m,ndx_3m,sp_1m,tbill,metabolism,yield_curve,credit_spread,sp_52wh_ratio,sp_52wl_ratio,sp_in_range,ndx_52wh_ratio,ndx_52wl_ratio,ndx_in_range,sp_3m_mean,sp_3m_std,sp_6m_mean,sp_6m_std,ndx_3m_mean,ndx_3m_std,ndx_6m_mean,ndx_6m_std,vix_3m_mean,vix_3m_std,vix_6m_mean,vix_6m_std,mich,rv,vov,vrp,gamma
1990-05-31,-0.0088863656812216,0.0919891907988945,0.1473896027755032,-0.0146059782608696,0.0066509499594094,18.09772725538774,-0.0348814198514446,-0.0343897425889693,0.0191888677485994,-0.0268871406212716,0.0065999999999999,0.0065999999999999,0.001,0.0093999999999999,0.9360497835488488,1.040316926736605,0.3619419251426355,0.9091170237037292,1.0191888677485994,0.1584867272833636,,,,,,,,,,,,,3.4,0.11246812843915979,0.008928544824193956,0.01752261300088955,1.9625385038565277
1990-06-30,-0.0052231584117391,-0.0088863656812216,0.0097819728015551,0.0084610322459339,0.0082398646531736,16.822380837940035,0.0555879465925196,0.1473896027755032,0.1358006951018413,0.0919891907988945,0.0063999999999999,0.0084610322459339,0.0019,0.0096,1.0,1.136014839001498,0.999999999768786,1.0,1.1694067101192809,0.9999999997076876,,,,,,,,,,,,,3.8,0.13030571480132802,0.012125179582063042,0.007045420690114965,0.5810570179543865
1990-07-31,-0.0943141847916291,-0.0052231584117391,-0.063218199205706,0.005285740936509,-0.0010159205447815,18.39285727909633,0.034517335919513,0.0097819728015551,0.1187689222546652,-0.0088863656812216,0.00645,0.00645,0.0045,0.0095999999999999,0.9911136343187784,1.087942152735718,0.9001549130938225,1.0,1.1808458147516234,0.9999999997261776,0.0259598889019779,0.0572123789369084,,,0.0313177921237841,0.1069427659977467,,,17.7709884574747,0.8346662474324558,,,3.4,0.1278581821382674,0.011348188301586551,0.02821549783720197,2.4863438187095697
1990-08-31,-0.0511843064564319,-0.0943141847916291,-0.1332676309767121,0.0038661388098477,0.0177109546547566,28.175217255302098,-0.1903587190374251,-0.063218199205706,0.0853678879431136,-0.0052231584117391,0.0061833333333333,0.0061833333333333,0.0079,0.01,0.9859368908026968,1.082259658529171,0.8419902569019002,0.936781800794294,1.106194868803431,0.5872122001839096,-0.0361412362948632,0.0504125353903205,,,-0.0622346191269543,0.0715298738822339,,,21.13015179077949,6.151529046717867,,,4.6,0.2600589772124128,0.03710997515578542,0.02177032609004481,0.5866435102328769
1990-09-30,-0.0066982123010423,-0.0511843064564319,-0.0855306270048759,0.0062544289367472,0.0154841116845969,29.10736836885151,-0.2575422768791516,-0.1332676309767121,-0.1801185242543999,-0.0943141847916291,0.0061583333333333,0.0062544289367472,0.008,0.0108,0.892949056690647,1.0,0.0,0.8119391094603402,1.0,0.0,-0.0502405498866,0.0445530105907882,,,-0.094005485729098,0.0357854460033245,,,25.225147634416647,5.935264951893482,,,4.7,0.16894082175861497,0.045211899746479385,0.05619821229699071,1.242996038921519
1990-10-31,0.0599342145417864,-0.0066982123010423,-0.0254158322902551,0.00307200786434,0.0132479208477467,29.625652479088824,-0.2210590993204424,-0.0855306270048759,-0.2575065516615833,-0.0511843064564319,0.0059416666666666,0.0059416666666666,0.0088,0.0121,0.8472440785230111,1.0,0.0,0.7424934483384167,1.0,0.0,-0.0507322345163677,0.0438097356263086,-0.0123861728071949,0.0619800309295777,-0.081404696757281,0.0540441495009592,-0.0250434523167484,0.0977492607014237,28.969412701080813,0.7349927954088556,23.37020057927776,6.173829000182776,4.8,0.21274148114653718,0.031811153263582845,0.04498122770006592,1.4140080784672486
1990-11-30,0.024827757338752,0.0599342145417864,0.1160500130697408,0.0009187798603453,0.0102730169117339,24.88571439470564,-0.2142525146404902,-0.0254158322902551,-0.2275443878550187,-0.0066982123010423,0.0058749999999999,0.0058749999999999,0.0073,0.0131999999999999,0.8415690578142629,1.0,0.0,0.7236223593788343,1.0,0.0,0.0006838985947707,0.0559258714564773,-0.0177286688500462,0.0517153545569458,0.0017011845915366,0.1034900384899367,-0.0302667172677088,0.0869311248566448,27.872911747548656,2.599935696003928,24.501531769164075,5.610689230813851,4.7,0.16918655609687908,0.026378182133224914,0.020482468559808065,0.7764928021332129
1990-12-31,0.0415177499981747,0.024827757338752,0.0412815290926027,0.0050177456859625,0.0090313948300757,23.363000106811523,-0.2412531712362843,0.1160500130697408,-0.0053456789646705,0.0599342145417864,0.0058749999999999,0.0058749999999999,0.0093,0.0137999999999999,0.8920078382770321,1.0599342145417865,0.3183644543047898,0.8075987436423047,1.1160500130697408,0.3038465197907809,0.0260212531931653,0.0333322426639298,-0.0121096483467173,0.0546183343226161,0.0439719032906961,0.0707712860971799,-0.0250167912192009,0.0907027959702355,25.95812232686866,3.2661518280267225,25.59163498064265,4.303396646265769,4.7,0.11455581979731462,0.0432861598936908,0.05646739972276986,1.3045139569195257
1991-01-31,0.0672811768127803,0.0415177499981747,0.1590535304773255,0.0047795908426691,0.0107491227906832,27.429091106761582,-0.302165346280221,0.0412815290926027,0.1325859595865925,0.024827757338752,0.0053833333333333,0.0053833333333333,0.0098,0.0141,0.914154392430039,1.0862500040154708,0.4581512525375086,0.840937654673124,1.162122264153079,0.4244746246940235,0.0420932406262377,0.0175603025724035,-0.004319496945065,0.0589578961248424,0.1054616908798896,0.0595956835906583,0.0120284970613043,0.1143008324017701,25.225935202759583,2.0542849494759534,27.0976739519202,2.471478820323913,3.9,0.19200990038678453,0.036724044802253435,0.006855007515334521,0.1866626498319131
1991-02-28,0.022202832522042,0.0672811768127803,0.0761105828079389,9.089531889117096e-05,0.009913107330804,21.59842109680176,-0.2941025075103555,0.1590535304773255,0.3469619131129293,0.0415177499981747,0.005,0.005,0.0098,0.0124,0.9521080259546828,1.1313486601177014,0.6977107287004218,0.9746917575602064,1.3469619131129291,0.908428762829698,0.0445422280499023,0.0213877022345433,0.0226130633223365,0.0448455201864626,0.092148547459289,0.0605018455103583,0.0469248660254128,0.090567555921767,24.130170770124952,2.990082157942794,26.00154125883681,3.2376744402529423,3.4,0.1720624216491812,0.029463145710609866,0.015465811112554847,0.5249205656606284
