date,sp_return,m2_growth,cpi_inflation,m2_growth_lagged
2000-07-31,-0.0148716956118211,0.0049288980242458,0.0105324751316557,0.0214671351443995
2000-10-31,-0.0009993721717763,0.0166969298520234,0.0069484655471918,0.0049288980242458
2001-01-31,-0.044347288068938,0.0219653891158417,0.0097757331799883,0.0166969298520234
2001-04-30,-0.0853215188724145,0.0323001827933231,0.0045558086560364,0.0219653891158417
2001-07-31,-0.030597203322998,0.0137961899943568,0.0056689342403628,0.0323001827933231
2001-10-31,-0.1250381460284391,0.0256813819577734,0.0011273957158961,0.0137961899943568
2002-01-31,0.0664476777522604,0.0219132452561845,0.000563063063063,0.0256813819577734
2002-04-30,-0.047142018694407,0.0075445439396437,0.0090039392234104,0.0219132452561845
2002-07-31,-0.1534933347721394,0.0170662110830408,0.0039040713887339,0.0075445439396437
2002-10-31,-0.0283670668590789,0.0198534667619729,0.0066666666666665,0.0170662110830408
2003-01-31,-0.0339369549620418,0.0183981356555869,0.0077262693156732,0.0198534667619729
2003-04-30,0.0715437300803885,0.0160699230914815,0.0032858707557501,0.0183981356555869
2003-07-31,0.0800397155872962,0.0243163152992973,0.0027292576419213,0.0160699230914815
2003-10-31,0.0609909659882359,0.0034550594303284,0.0065323897659228,0.0243163152992973
2004-01-31,0.0765387661058789,0.0019934102141681,0.0075716603569497,0.0034550594303284
2004-04-30,-0.0210673892053251,0.0192038933920848,0.0059044551798175,0.0019934102141681
2004-07-31,-0.0050393550789648,0.014873606607624,0.0090715048025613,0.0192038933920848
2004-10-31,0.0258504712867952,0.0140992831142408,0.0089899524061343,0.014873606607624
2005-01-31,0.045186755057299,0.0079939810025393,0.0041928721174002,0.0140992831142408
2005-04-30,-0.020672702719572,0.0048205510978416,0.0109603340292274,0.0079939810025393
2005-07-31,0.0668453816458203,0.0126435358568819,0.0061951471347445,0.0048205510978416
2005-10-31,-0.0220146516414825,0.0153434706196988,0.0215495125705489,0.0126435358568819
2006-01-31,0.0605379787225219,0.0129743072592904,0.0010045203415369,0.0153434706196988
2006-04-30,0.0238500955760381,0.0114114203355075,0.007024586051179,0.0129743072592904
2006-07-31,-0.0259039314146292,0.0127370756144502,0.01096163428002,0.0114114203355075
2006-10-31,0.0793319321628482,0.0156812115585469,-0.0049285362247412,0.0127370756144502
2007-01-31,0.0437610138266157,0.0166530985332133,0.0076126795443289,0.0156812115585469
2007-04-30,0.0306833387907821,0.0171951168115982,0.0121266043050181,0.0166530985332133
