date,sp_return,ndx_return,m2,vix,sp_1q,ndx_1q,sent_m1,sent_m2,sent_m3
1991-07-01,0.0449940228598988,0.1311591312860303,0.0074060747803665,17.147031262516975,-0.0108203122045342,-0.0404295558952477,-0.1273927514751752,-0.1362936172273851,-0.0161898870331545
1991-10-01,0.0753622752804303,0.1506599432155584,0.0045538424906244,16.634218722581863,0.0449940228598988,0.1311591312860303,-0.0261112128557156,-0.0193891326761654,-0.0312101180354754
1992-01-01,-0.0321273442521715,-0.0235904639016693,0.0062516666172853,17.45531253516674,0.0753622752804303,0.1506599432155584,-0.0397023311215302,-0.1191350661218166,-0.1141255908916073
1992-04-01,0.0110233401375283,-0.0675436546390593,0.0005005594487959,17.56428571731325,-0.0321273442521715,-0.0235904639016693,-0.012312342765771,0.0746333311263728,0.0964872726509648
1992-07-01,0.0236682824467777,0.0396872361194058,0.0034788761461126,15.61634914458744,0.0110233401375283,-0.0675436546390593,0.0306757169775664,0.0032397257492712,0.0394579017690072
1992-10-01,0.0428674106878725,0.1500710454408238,0.0118694362017803,13.90203122794628,0.0236682824467777,0.0396872361194058,-0.020350110156869,0.0348866516329918,-0.0453512301202863
1993-01-01,0.0366299196384201,-0.0021238645030875,-0.0108869211786906,14.761093765497208,0.0428674106878725,0.1500710454408238,-0.0593038210945744,0.0407074052297199,0.2063002562330615
1993-04-01,-0.0025239989694819,0.0186550173105866,0.0075755351322783,13.255322533269082,0.0366299196384201,-0.0021238645030875,0.2215696928962584,0.2188249948833669,0.2377008425612603
1993-07-01,0.0186446938477882,0.0453123833059492,0.0063237651172955,12.973174624972874,-0.0025239989694819,0.0186550173105866,0.1588676817715168,0.0937949420223313,0.1150763817131519
1993-10-01,0.0163859840308207,0.040669956992394,0.0094694775860073,12.117187470197678,0.0186446938477882,0.0453123833059492,0.1059364207809971,0.1284881642749232,0.2125667462746302
1994-01-01,-0.0443349183238538,-0.0384654197327849,-0.005335781290341,12.42156247794628,0.0163859840308207,0.040669956992394,0.2404283934062527,0.325846129655838,0.3653825194604935
1994-04-01,-0.0033649640778172,-0.0591706814490239,0.0047299051134888,13.436190468924384,-0.0443349183238538,-0.0384654197327849,0.3804931111874119,0.241152604243585,0.1948876621261719
