date,sp_quarterly_return,tbill_quarterly_return,top1_quarterly_growth,mid_quarterly_growth,bot_quarterly_growth,sp_1q_lag,sp_2q_lag,top1_1q_lag,mid_1q_lag,bot_1q_lag,news_sentiment_lag1,news_sentiment_std_lag1
2006-07-01,0.051684795258805,0.0122670634920634,-0.0020971534549599,0.0030550835616089,0.0089820359281436,-0.0190521396266347,0.017551940193186,-0.0020971534549599,0.0030550835616089,0.0089820359281436,0.2758169634329093,0.0309035773087127
2006-10-01,0.0617210575656317,0.0122588709677419,0.0223763344785634,0.0097046847895674,0.0089020771513352,0.051684795258805,0.0316479496963255,0.0223763344785634,0.0097046847895674,0.0089020771513352,0.1976636761556501,0.0334550646590417
2007-01-01,0.0018049329727884,0.012445564516129,0.0325913664345158,0.0111129965594667,0.0088235294117646,0.0617210575656317,0.1165958930478734,0.0325913664345158,0.0111129965594667,0.0088235294117646,0.2524052422655665,0.0408285335731862
2007-04-01,0.0580563821099968,0.01184375,0.0259820054901662,0.0008794046239035,0.0068027210884353,0.0018049329727884,0.0636373929103357,0.0259820054901662,0.0008794046239035,0.0068027210884353,0.2540927768581443,0.0786367011441743
2007-07-01,0.0155652541284954,0.0107873015873015,0.0145674988812625,-0.0004665818524544,0.0111003861003862,0.0580563821099968,0.0599661029611364,0.0145674988812625,-0.0004665818524544,0.0111003861003862,0.1214163823278395,0.0278547570621721
2007-10-01,-0.03824464689598,0.0085145161290322,0.0201247059998668,0.0026442255326961,0.0042959427207636,0.0155652541284954,0.0745252985798154,0.0201247059998668,0.0026442255326961,0.0042959427207636,-0.0084208617386732,0.1020687096433298
2008-01-01,-0.0991991307532211,0.0051459016393442,-0.017413679860774,-0.0052359491886206,0.0057034220532319,-0.03824464689598,-0.0232746804154752,-0.017413679860774,-0.0052359491886206,0.0057034220532319,-0.0704779326510818,0.0333117867818296
2008-04-01,-0.0322824168353859,0.004056640625,-0.0392475089744551,-0.0214323988080528,0.0094517958412096,-0.0991991307532211,-0.1336499419211561,-0.0392475089744551,-0.0214323988080528,0.0094517958412096,-0.1919276443320316,0.0374405759365688
2008-07-01,-0.0887812614440918,0.003740234375,-0.0185450876922055,-0.0172075912142277,0.0074906367041198,-0.0322824168353859,-0.1282791598999236,-0.0185450876922055,-0.0172075912142277,0.0074906367041198,-0.2367736305836792,0.0268732112663453
2008-10-01,-0.2255821432970853,0.0007677419354838,-0.0474722087986867,-0.0239564981232541,0.0097583643122676,-0.0887812614440918,-0.1181976045903682,-0.0474722087986867,-0.0239564981232541,0.0097583643122676,-0.3126838197526724,0.03341369898476
