date,sp_next_return,sp_return,ndx_return,m2_growth,m2_3m,vix,sentiment,ndx_1m,ndx_3m,sp_1m,tbill,metabolism,yield_curve,credit_spread
1990-05-31,-0.0088863656812216,0.0919891907988945,0.1473896027755032,-0.0146059782608696,0.0066509499594094,18.09772725538774,-0.0348814198514446,-0.0343897425889693,0.0191888677485994,-0.0268871406212716,0.0065999999999999,0.0065999999999999,0.001,0.009399999999999995
1990-06-30,-0.0052231584117391,-0.0088863656812216,0.0097819728015551,0.0084610322459339,0.0082398646531736,16.822380837940035,0.0555879465925196,0.1473896027755032,0.1358006951018413,0.0919891907988945,0.0063999999999999,0.0084610322459339,0.0019,0.009600000000000008
1990-07-31,-0.0943141847916291,-0.0052231584117391,-0.063218199205706,0.005285740936509,-0.0010159205447815,18.39285727909633,0.034517335919513,0.0097819728015551,0.1187689222546652,-0.0088863656812216,0.00645,0.00645,0.0045000000000000005,0.00959999999999999
1990-08-31,-0.0511843064564319,-0.0943141847916291,-0.1332676309767121,0.0038661388098477,0.0177109546547566,28.175217255302098,-0.1903587190374251,-0.063218199205706,0.0853678879431136,-0.0052231584117391,0.0061833333333333,0.0061833333333333,0.0079,0.01
1990-09-30,-0.0066982123010423,-0.0511843064564319,-0.0855306270048759,0.0062544289367472,0.0154841116845969,29.10736836885151,-0.2575422768791516,-0.1332676309767121,-0.1801185242543999,-0.0943141847916291,0.0061583333333333,0.0062544289367472,0.008,0.0108
1990-10-31,0.0599342145417864,-0.0066982123010423,-0.0254158322902551,0.00307200786434,0.0132479208477467,29.625652479088824,-0.2210590993204424,-0.0855306270048759,-0.2575065516615833,-0.0511843064564319,0.0059416666666666,0.0059416666666666,0.0088,0.012100000000000008
1990-11-30,0.024827757338752,0.0599342145417864,0.1160500130697408,0.0009187798603453,0.0102730169117339,24.88571439470564,-0.2142525146404902,-0.0254158322902551,-0.2275443878550187,-0.0066982123010423,0.0058749999999999,0.0058749999999999,0.0073,0.013199999999999984
1990-12-31,0.0415177499981747,0.024827757338752,0.0412815290926027,0.0050177456859625,0.0090313948300757,23.363000106811523,-0.2412531712362843,0.1160500130697408,-0.0053456789646705,0.0599342145417864,0.0058749999999999,0.0058749999999999,0.009300000000000001,0.01379999999999999
1991-01-31,0.0672811768127803,0.0415177499981747,0.1590535304773255,0.0047795908426691,0.0107491227906832,27.429091106761582,-0.302165346280221,0.0412815290926027,0.1325859595865925,0.024827757338752,0.0053833333333333,0.0053833333333333,0.0098,0.014100000000000001
1991-02-28,0.022202832522042,0.0672811768127803,0.0761105828079389,9.089531889117096e-05,0.009913107330804,21.59842109680176,-0.2941025075103555,0.1590535304773255,0.3469619131129293,0.0415177499981747,0.005,0.005,0.0098,0.012400000000000001
1991-03-31,0.0003197993624997,0.022202832522042,0.0591327707706728,0.0081495395055743,0.0130601558694591,17.918499851226805,-0.19736931521085,0.0761105828079389,0.2987589734918754,0.0672811768127803,0.005075,0.0081495395055743,0.0103,0.011600000000000001
1991-04-30,0.0386049724936075,0.0003197993624997,-0.004718672753478,0.0132251277427111,0.0215752939219573,17.37272735075517,-0.1273927514751752,0.0591327707706728,0.3210242875972442,0.022202832522042,0.0048,0.0132251277427111,0.012199999999999999,0.0108
1991-05-31,-0.0478926289747986,0.0386049724936075,0.0582010631004508,-0.0106496588549391,0.0106040063736223,16.932272737676445,-0.1362936172273851,-0.004718672753478,0.1343659043454315,0.0003197993624997,0.0046166666666666,0.0046166666666666,0.0138,0.01
1991-06-30,0.0448593429577663,-0.0478926289747986,-0.0889067837841621,0.0087853437678031,0.0112413585813044,17.13499994277954,-0.0161898870331545,0.0582010631004508,0.1154868515380833,0.0386049724936075,0.0046666666666666,0.0087853437678031,0.0134,0.00950000000000001
1991-07-31,0.0196487846243216,0.0448593429577663,0.0706543832002595,0.0019646365422396,2.914026316025442e-06,17.294090964577414,-0.0261112128557156,-0.0889067837841621,-0.0404295558952477,-0.0478926289747986,0.00465,0.00465,0.0139,0.008900000000000005
1991-08-31,-0.0191437358430863,0.0196487846243216,0.0560342454424911,-0.0018419489007723,0.0089054587102057,15.681363712657582,-0.0193891326761654,0.0706543832002595,0.0322391004887234,0.0448593429577663,0.004625,0.004625,0.0146,0.009000000000000003
1991-09-30,0.0118342366545192,-0.0191437358430863,0.0004523403676508,0.0025055928411632,0.0026249600606478,16.956499767303466,-0.0312101180354754,0.0560342454424911,0.0301254436533939,0.0196487846243216,0.00445,0.00445,0.0148,0.009000000000000003
1991-10-31,-0.0439037086263069,0.0118342366545192,0.0172848563041163,0.0007140944389896,0.0013735938141781,16.36391299703847,-0.0397023311215302,0.0004523403676508,0.1311591312860303,-0.0191437358430863,0.0042499999999999,0.0042499999999999,0.0177,0.009399999999999995
1991-11-30,0.1115878550742814,-0.0439037086263069,-0.0263756045507034,0.0035084589540035,0.0067412378821773,17.77350010871887,-0.1191350661218166,0.0172848563041163,0.0747735892957763,0.0118342366545192,0.0039583333333333,0.0039583333333333,0.02,0.009699999999999988
1991-12-31,-0.0199237517839235,0.1115878550742814,0.1617507674400737,0.0059550262198915,0.0102052453196335,18.347619102114724,-0.1141255908916073,-0.0263756045507034,-0.0090986247472441,-0.0439037086263069,0.00365,0.0059550262198915,0.0194,0.009499999999999993
1992-01-31,0.0095895431269641,-0.0199237517839235,0.0225476151406587,0.0003534193320373,0.0098411494335814,17.68318167599765,-0.012312342765771,0.1617507674400737,0.1506599432155584,0.1115878550742814,0.0032166666666666,0.0032166666666666,0.022000000000000002,0.009300000000000015
