news_sentiment_mean,news_sentiment_std,news_sentiment_count,date,news_sentiment_lag1,news_sentiment_std_lag1
-0.2523397662113478,0.08817701527862636,81,1980-01-01,,
-0.5918615587141322,0.0872589977112486,87,1980-04-01,-0.2523397662113478,0.08817701527862636
-0.28930204050554026,0.11529572038901416,91,1980-07-01,-0.5918615587141322,0.0872589977112486
-0.08851655589209663,0.04817632895531335,90,1980-10-01,-0.28930204050554026,0.11529572038901416
-0.01081608869992326,0.043920466674710515,90,1981-01-01,-0.08851655589209663,0.04817632895531335
0.03218788292852568,0.07862151335246614,91,1981-04-01,-0.01081608869992326,0.043920466674710515
0.013012891700782347,0.0662950876497918,92,1981-07-01,0.03218788292852568,0.07862151335246614
-0.15415134531972202,0.03579682089383002,92,1981-10-01,0.013012891700782347,0.0662950876497918
-0.18791021779179573,0.05059456178734145,90,1982-01-01,-0.15415134531972202,0.03579682089383002
-0.23086869749394093,0.025163327862184975,91,1982-04-01,-0.18791021779179573,0.05059456178734145
-0.21896597767329734,0.05594829887057495,92,1982-07-01,-0.23086869749394093,0.025163327862184975
-0.1644589380239663,0.021288692850267427,92,1982-10-01,-0.21896597767329734,0.05594829887057495
-0.0792162495975693,0.02022560829123594,90,1983-01-01,-0.1644589380239663,0.021288692850267427
-0.022741712390727895,0.045243037206623864,91,1983-04-01,-0.0792162495975693,0.02022560829123594
-0.03487263890341497,0.05744077248834412,91,1983-07-01,-0.022741712390727895,0.045243037206623864
-0.11365641580398558,0.05692604891755441,92,1983-10-01,-0.03487263890341497,0.05744077248834412
-0.041202002814855775,0.03418117278342788,91,1984-01-01,-0.11365641580398558,0.05692604891755441
-0.0032118367348125,0.07312191532693078,90,1984-04-01,-0.041202002814855775,0.03418117278342788
0.004716321211004549,0.08390538193391382,92,1984-07-01,-0.0032118367348125,0.07312191532693078
0.010933288020959995,0.04539803987134541,92,1984-10-01,0.004716321211004549,0.08390538193391382
0.07449204796899317,0.08565398268616271,90,1985-01-01,0.010933288020959995,0.04539803987134541
0.01927166779853076,0.0813133139271559,91,1985-04-01,0.07449204796899317,0.08565398268616271
-0.10219998021468359,0.07530856634497601,92,1985-07-01,0.01927166779853076,0.0813133139271559
-0.041384476338229746,0.08484416330141872,92,1985-10-01,-0.10219998021468359,0.07530856634497601
-0.08591111480232536,0.07525276067146758,90,1986-01-01,-0.041384476338229746,0.08484416330141872
0.01796890811765679,0.1027470112450631,91,1986-04-01,-0.08591111480232536,0.07525276067146758
-0.10155965770220222,0.05791859709575824,92,1986-07-01,0.01796890811765679,0.1027470112450631
0.027140125262793965,0.07110209359667873,92,1986-10-01,-0.10155965770220222,0.05791859709575824
0.0020048293340045754,0.0478100102219857,90,1987-01-01,0.027140125262793965,0.07110209359667873
-0.08173826153538508,0.07566347233138483,91,1987-04-01,0.0020048293340045754,0.0478100102219857
-0.020853117772038906,0.04765499816655883,92,1987-07-01,-0.08173826153538508,0.07566347233138483
-0.0341576740105191,0.10648189722261078,92,1987-10-01,-0.020853117772038906,0.04765499816655883
0.011465944924806296,0.07608218217719356,91,1988-01-01,-0.0341576740105191,0.10648189722261078
0.044523159379093485,0.0807958883181095,91,1988-04-01,0.011465944924806296,0.07608218217719356
0.09194650996030997,0.043885859321574634,92,1988-07-01,0.044523159379093485,0.0807958883181095
0.007460852756080188,0.03958567929402541,92,1988-10-01,0.09194650996030997,0.043885859321574634
0.0976699322462082,0.03787281868098652,90,1989-01-01,0.007460852756080188,0.03958567929402541
0.022381912541427334,0.03185278413889916,91,1989-04-01,0.0976699322462082,0.03787281868098652
0.019758640955526218,0.07796347736529506,92,1989-07-01,0.022381912541427334,0.03185278413889916
0.04762651889430582,0.04982126033334655,92,1989-10-01,0.019758640955526218,0.07796347736529506
0.05401589022949338,0.028781591295376795,90,1990-01-01,0.04762651889430582,0.04982126033334655
0.013967594367856221,0.04640520638232587,91,1990-04-01,0.05401589022949338,0.028781591295376795
-0.13328072820149828,0.1357758985426002,92,1990-07-01,0.013967594367856221,0.04640520638232587
