date,eq_level,eq_txn,total_fa,eq_pct,eq_ret,sp_ret,tb_ret,mich
1989-07-01,2090444,-115556,15284964.0,0.13676473166701603,0.1402532127125311,0.07837357564968994,0.02098672363234888,4.233333333333333
1989-10-01,2152104,-22507,15623244.0,0.13775013691138666,0.04026273844216827,0.09802497588911785,0.01979587191968757,3.6666666666666665
1990-01-01,2033511,-21414,15680244.0,0.1296861834547983,-0.04515534565244059,0.012172418943991348,0.019213412046275913,3.533333333333333
1990-04-01,2106438,-25808,15945828.0,0.13209963132676458,0.04855395422006569,-0.0380871298459069,0.019551047714375214,3.9666666666666663
1990-07-01,1760993,-40419,15769230.0,0.11167273227671864,-0.1448065407099568,0.05318581644530629,0.01952572326571156,3.6
1990-10-01,1972212,-111156,16282048.0,0.12112800551871607,0.18306432791044597,-0.14515949616075352,0.018462446971558855,4.233333333333333
1991-01-01,2287414,65189,16783056.0,0.1362930565208148,0.12676781197964518,0.07897407087656694,0.017239706432041535,4.733333333333333
1991-04-01,2272816,67617,16862958.0,0.13478157272288765,-0.03594233488122395,0.13627278733465986,0.015049837942606503,3.533333333333333
1991-07-01,2428752,51915,17173185.0,0.14142699796223007,0.04576745323862556,-0.010820312204534277,0.013880397618901696,3.1999999999999997
1991-10-01,2857364,137536,17773295.0,0.16076726347027942,0.11984591263331949,0.04499402285989884,0.01336742709302019,3.1
1992-01-01,2803686,260589,17733596.0,0.15810025219927193,-0.10998493716586336,0.07536227528043038,0.010914315550902609,2.9333333333333336
1992-04-01,2810843,112465,17830889.0,0.1576389713378845,-0.037560554213274956,-0.032127344252171564,0.009882368495000016,2.6333333333333333
1992-07-01,2942577,264516,18157689.0,0.16205680139141054,-0.047239209020212086,0.01102334013752837,0.009169547727603922,3.0
1992-10-01,3312344,90603,18731693.0,0.17683099973931882,0.09487058452506085,0.023668282446777766,0.007543837448652946,2.8333333333333335
1993-01-01,3443935,-70742,19045204.0,0.1808295148741909,0.06108453711329499,0.04286741068787259,0.007778397530055381,2.8333333333333335
1993-04-01,3508862,69969,19263058.0,0.18215498286928275,-0.001464022985335089,0.036629919638420105,0.007301029238396817,3.0666666666666664
1993-07-01,3684956,153176,19631689.0,0.1877044812598651,0.0065314623373618,-0.0025239989694819664,0.007518761238968885,3.1333333333333333
1993-10-01,3860688,-43080,20025748.0,0.19278620703706048,0.05937981349031033,0.01864469384778822,0.007485263397729147,3.0666666666666664
1994-01-01,3702501,20928,20094312.0,0.18425617159721616,-0.04639458044783728,0.0163859840308207,0.007669520669989716,3.033333333333333
1994-04-01,3618007,-132367,20235447.0,0.17879550671650593,0.012929908729261653,-0.044334918323853834,0.00818886669599972,2.8666666666666667
1994-07-01,3690767,-162879,20568679.0,0.17943626812397626,0.06512950361898139,-0.0033649640778172785,0.010184360678055615,2.9333333333333336
1994-10-01,3642171,-331747,20807531.0,0.17504099837698187,0.0767187416599314,0.04150629774103143,0.011292210469041608,3.1333333333333333
1995-01-01,3870834,-62067,21307760.0,0.1816631124059967,0.07982327024184202,-0.0074344676037544355,0.013493512764122473,3.0666666666666664
1995-04-01,4116808,-112584,21883441.0,0.18812434479568363,0.09263068372345598,0.09023015531757861,0.014477641186666723,3.0666666666666664
1995-07-01,4429376,-45125,22518965.0,0.19669536321940195,0.08688600488533835,0.08795512231928959,0.014031778280537033,3.0666666666666664
1995-10-01,4765754,63924,23226676.0,0.20518450423125548,0.06151069586325478,0.07280398925108988,0.013350637083467731,2.8666666666666667
1996-01-01,4940592,66968,23707348.0,0.20839918492781226,0.022634403706108204,0.05393477349753373,0.01305638457170355,2.8000000000000003
1996-04-01,5138064,-77566,24166498.0,0.2126110287059383,0.05566903723278506,0.048008714749801173,0.0123841041258681,2.8333333333333335
1996-07-01,5152506,-215031,24446383.0,0.21076762153321413,0.04466137440094168,0.03893106875726171,0.012627783647000124,3.0
1996-10-01,5397002,-105887,25140323.0,0.21467512569349248,0.06800244385935698,0.024901975881543637,0.012753823925966357,3.1
1997-01-01,5452182,-135476,25322752.0,0.2153076411284208,0.03532627929357818,0.07770644641808189,0.012636186360242885,3.0
1997-04-01,6278383,-169720,26659130.0,0.23550592236130735,0.18266466526612649,0.022113028996355144,0.012821066553748928,2.9333333333333336
1997-07-01,6766764,-187280,27639909.0,0.2448186063130671,0.10761704088457172,0.16908815030229785,0.012568942268800898,2.9
1997-10-01,6907999,-240741,28142506.0,0.24546495610589902,0.05644884319890571,0.07020359900136075,0.012669794005052193,2.733333333333333
1998-01-01,7871124,-154489,29623669.0,0.26570388698307423,0.16178548954624922,0.024438352612679237,0.012863090720041548,2.8333333333333335
1998-04-01,8034699,-186933,30167893.0,0.26633278631689655,0.044530870051088,0.1353214640060001,0.01277064253368998,2.4
1998-07-01,7135290,-250537,29356548.0,0.24305616586800327,-0.08075871915052449,0.02912635881126624,0.012325291757564472,2.566666666666667
1998-10-01,8411348,-328045,31286463.0,0.26884943817394763,0.22481258645408947,-0.10303919386909521,0.01171200240242709,2.433333333333333
1999-01-01,8440220,-421924,31488398.0,0.2680422166920019,0.053593787820929537,0.2086704837369615,0.010889281379711901,2.433333333333333
1999-04-01,9117110,-454333,32436395.0,0.281076549968022,0.13402766752525408,0.04648439718875719,0.01111592799241623,2.6333333333333333
1999-07-01,8651099,-582021,32167752.0,0.26893700871605825,0.012724426929147504,0.06711907627513258,0.011384590043828302,2.6666666666666665
1999-10-01,10297442,-594746,34570226.0,0.29787025401569545,0.2590525203792027,-0.06556374074719618,0.01188006217024995,2.733333333333333
2000-01-01,10824461,-210536,35325200.0,0.3064232049641616,0.07162506960466493,0.1454265147564322,0.012795851509684653,2.9333333333333336
2000-04-01,10309147,-58410,34949153.0,0.2949755892510471,-0.042210323451671174,0.019962536024970223,0.01412430884814353,3.033333333333333
2000-07-01,10205642,-287846,35248380.0,0.2895350651576044,0.017881304825704783,-0.02934777039493852,0.014107481797412058,3.033333333333333
2000-10-01,8985195,-389993,34355803.0,0.26153354645793025,-0.08137204891176861,-0.012436385345754974,0.015251887680321152,2.8666666666666667
2001-01-01,8007575,-163020,33463335.0,0.239293991468573,-0.09066024721778437,-0.08091136134005328,0.015033003145984436,2.966666666666667
2001-04-01,8647907,165574,34503338.0,0.2506397207133988,0.05928861109636813,-0.12114859703465342,0.011535657123125098,2.8666666666666667
2001-07-01,7219687,-523370,33283062.0,0.21691775233901256,-0.10463225379273852,0.0551998580178914,0.009177914907239515,3.1
2001-10-01,8155769,212164,34543657.0,0.23610033529455204,0.10026999785447763,-0.14982281868783043,0.007610643305729026,2.6999999999999997
2002-01-01,8213383,-38024,34898387.0,0.23535136452008512,0.011726423345241876,0.10292622118399786,0.004565244522526157,1.0666666666666667
2002-04-01,7432721,-13091,34094295.0,0.21800483042690866,-0.09345369624185308,-0.0006009524011035827,0.004381383101185188,2.2333333333333334
2002-07-01,6068395,-641852,32765639.0,0.18520606297347048,-0.0972018188224743,-0.1373290732118655,0.004272736833864643,2.733333333333333
2002-10-01,6429466,294525,33479334.0,0.1920428285700068,0.010965996775094567,-0.1763350677252704,0.004072177763166485,2.566666666666667
2003-01-01,6091015,-484691,33470694.0,0.18198054094725374,0.022745279312465453,0.07916295715351351,0.003186701183333085,2.466666666666667
2003-04-01,7203816,983227,35304763.0,0.20404657581188124,0.021272973387850794,-0.035961917647978625,0.0028861047760739833,2.766666666666667
2003-07-01,7621945,299594,36026776.0,0.21156333833479854,0.016454473573450517,0.14893066143391676,0.002577200553710135,2.1666666666666665
2003-10-01,8556349,560663,37678285.0,0.22708966185695553,0.04903485921244512,0.02203178112172899,0.0023601875689998053,2.3333333333333335
2004-01-01,9013369,86420,39526878.0,0.22803139170262826,0.043312866270415105,0.11641924621515476,0.0023184559464828336,2.6333333333333333
2004-04-01,8964725,-295561,39970296.0,0.2242846788024787,0.027394529171056906,0.012851568842561667,0.002310109621979084,2.733333333333333
2004-07-01,8908924,-76771,40630724.0,0.2192656965699159,0.002339168239962743,0.012990477255798716,0.00277754507700001,3.266666666666667
2004-10-01,9665200,-662673,42437373.0,0.22775208069547567,0.15927276964086798,-0.02301813624380078,0.0038967053619165526,2.8666666666666667
2005-01-01,9689584,4212,42764274.0,0.2265812813751965,0.002087075280387369,0.08733342759471707,0.005208995513746428,2.966666666666667
2005-04-01,9971681,84653,43811370.0,0.2276048660427647,0.020376932590707712,-0.025851604882288548,0.0066228867682220915,3.0
2005-07-01,10504119,310749,44943946.0,0.23371599369579163,0.0222318583998024,0.009097138333640231,0.007376387929902917,3.233333333333333
2005-10-01,10644930,-120195,45855481.0,0.23214084266175292,0.024847966783316144,0.03146072366314434,0.00856600654450923,3.466666666666667
2006-01-01,12065174,-611733,48024991.0,0.2512269913803836,0.19088683532911913,0.015852718923087927,0.009815269323753206,3.6666666666666665
2006-04-01,11712617,-217074,48132754.0,0.24333984712364473,-0.011229262006499036,0.03731501061217335,0.01120827815007197,3.0
2006-07-01,12098615,-230347,49195412.0,0.24592974239142462,0.05262231318585761,-0.019052139626634768,0.011930458159530977,3.533333333333333
2006-10-01,13035790,269406,50768266.0,0.25677044002251326,0.05519383830297931,0.051684795258805094,0.012266475623812445,3.3666666666666667
2007-01-01,13661630,-264505,52004908.0,0.2626988591153743,0.06830004165455258,0.06172105756563173,0.01233369467994816,3.0
2007-04-01,14055737,-917293,52983258.0,0.2652863853710166,0.09599147393100238,0.0018049329727884977,0.01246812637703143,3.0
2007-07-01,14142364,-372466,54128644.0,0.2612731994542483,0.032662321442127155,0.05805638210999686,0.011770878564305587,3.3333333333333335
2007-10-01,13428498,-794769,53827959.0,0.24947068864342414,0.0057206136116988646,0.01556525412849541,0.010410680710569498,3.233333333333333
2008-01-01,12381384,-445935,52567495.0,0.23553307990042135,-0.04476889373629128,-0.03824464689598006,0.008532379462666606,3.3000000000000003
2008-04-01,11902353,-280236,51922906.0,0.2292312568175595,-0.01605595949531975,-0.09919913075322118,0.004247605512889052,3.766666666666667
2008-07-01,10397889,-696678,50225103.0,0.20702573770729749,-0.06786775690487419,-0.03228241683538591,0.004281047753411427,5.033333333333333
2008-10-01,8106763,-1525215,47406508.0,0.17100527632197673,-0.07366024007373036,-0.08878126144409182,0.0035373587440101772,4.733333333333333
2009-01-01,7217230,-85775,46121365.0,0.15648344319384302,-0.0991466014240209,-0.22558214329708537,0.0004667040975023795,2.8333333333333335
2009-04-01,8773997,1331645,47240282.0,0.18573125791247394,0.031192299538742703,-0.11666759466682808,0.000591782924250106,2.033333333333333
2009-07-01,10364543,392395,49352852.0,0.21000899806155074,0.1365570332426601,0.15221779606988894,0.0003917172243774747,2.9
2009-10-01,10659323,164906,49774061.0,0.21415417560564326,0.012530605546235854,0.1498498320856021,0.00039171750218769397,2.6333333333333333
2010-01-01,11266723,85675,50963590.0,0.2210739667280111,0.04894541613946777,0.05488706809634025,0.00014167333343761968,2.6999999999999997
2010-04-01,10290590,-361964,50328013.0,0.20447042087673917,-0.05451176886127403,0.04872215883284525,0.00030836388985178154,2.733333333333333
2010-07-01,11536797,231348,52458684.0,0.21992158629065114,0.09862009855605947,-0.11862196660094271,0.00041672444711116086,2.966666666666667
2010-10-01,12532947,150380,54366274.0,0.23052797401565536,0.07331064245994794,0.10719794551502826,0.0003750468075001123,2.5333333333333337
2011-01-01,13405089,115817,55691151.0,0.24070411114325865,0.06034693994955855,0.1020330077625684,0.00034170500141672555,2.9
2011-04-01,13356072,-249257,56133202.0,0.2379353310363446,0.01493761063428971,0.05422055644858914,0.00032503437617181774,3.7999999999999994
2011-07-01,11350799,-614558,54297392.0,0.20904869611417065,-0.10412604843699555,-0.003914484947748376,0.00010833708337498749,4.166666666666667
2011-10-01,12068619,35991,55775182.0,0.21637973319387824,0.06006881101497789,-0.14327899246146691,0.00011666972224566585,3.4
2012-01-01,13554837,248127,57842516.0,0.23434037689508527,0.10258762829450495,0.11152350739750894,3.333368055691288e-05,3.1666666666666665
2012-04-01,13124122,-74478,57712666.0,0.22740453542728384,-0.02628117180604975,0.11996660149972938,0.00017501013908338692,3.5
2012-07-01,13905169,445088,59306840.0,0.23446147189767655,0.025598588614156436,-0.03287960516497135,0.00021668215314241124,3.1
2012-10-01,14027613,-383575,60057966.0,0.23356790005176,0.036390711971929286,0.05763640673315229,0.0002500207644617891,3.3000000000000003
2013-01-01,15702162,1158651,62384224.0,0.25170084667559545,0.03677731913476655,-0.010050949972839285,0.00020001270858793774,3.1333333333333333
2013-04-01,15916047,266388,63027780.0,0.25252431546851245,-0.0033436796792696444,0.10026714945065396,0.00020834743086739493,3.266666666666667
2013-07-01,16741455,-435108,64962145.0,0.25771093303646303,0.07919780583709007,0.02363645528939995,0.0001083372222685508,3.0666666666666664
2013-10-01,17744476,528469,66970773.0,0.26495850660108106,0.028345923338204473,0.04685983649077574,7.500180556951896e-05,3.1333333333333333
2014-01-01,18663751,42110,68393148.0,0.2728891935197953,0.04943313062611711,0.09920010209609131,0.00014167319454161387,2.966666666666667
2014-04-01,19651622,568025,70093262.0,0.2803639242813382,0.022495263679846566,0.012973652675233094,0.00010000312502911335,3.1666666666666665
2014-07-01,19300186,-31916,70278518.0,0.27462426000502743,-0.016259217686967517,0.04694126934898324,9.16694444721422e-05,3.1999999999999997
2014-10-01,19968765,905061,71553356.0,0.27907517014296296,-0.012252835283556335,0.006152369218874076,6.666812501054942e-05,3.1666666666666665
2015-01-01,20380713,502972,72692943.0,0.2803671465055418,-0.00455831895462739,0.04391335025066545,5.833430556045904e-05,2.8333333333333335
2015-04-01,20448159,72565,73062304.0,0.2798729013527961,-0.0002511688379106266,0.004366404711633187,5.833444445157987e-05,2.766666666666667
2015-07-01,18824087,-1022290,71726345.0,0.26244313717644474,-0.02942964205237254,-0.002311431171168832,2.5000208334180485e-05,2.6999999999999997
2015-10-01,19540253,353653,72871177.0,0.26814789885992923,0.019257932668925722,-0.06935164420467954,0.00012500333329623636,2.7999999999999994
2016-01-01,19830523,136218,73736714.0,0.268936896211567,0.007883828320953674,0.06453540320655904,0.0003833788905185376,2.6666666666666665
2016-04-01,20384607,588416,74875054.0,0.27224831116649345,-0.001731270526753127,0.007730192315364315,0.0007168348045001327,2.566666666666667
2016-07-01,20996017,-303400,76108917.0,0.2758680300233414,0.04487749015715633,0.018992745381929854,0.0006834864001439289,2.6
2016-10-01,21203069,-148877,76422833.0,0.27744416384040615,0.01695221527016291,0.03307028985111082,0.0007335118894373771,2.533333333333333
2017-01-01,22430165,248985,78405456.0,0.286079134594919,0.04613063325879853,0.03254209944248743,0.0011003981027779552,2.3333333333333335
2017-04-01,23116482,286736,79990503.0,0.28899033176475963,0.01781444764227102,0.05533688947125537,0.001500738383507061,2.6
2017-07-01,23876400,95188,81321878.0,0.2936036474711024,0.028755673116696565,0.025686472438030572,0.0023017545404999673,2.566666666666667
2017-10-01,25195220,385715,83572275.0,0.301478211524097,0.03908064029753229,0.039593052266169604,0.0025688625006250465,2.6333333333333333
2018-01-01,25122191,321641,83936798.0,0.2992988962957581,-0.015664479214708187,0.06122586427624599,0.003128246328196971,2.533333333333333
2018-04-01,25521826,-440472,84834954.0,0.30084092460284706,0.03344083324579453,-0.012245611334087081,0.003980256614722455,2.733333333333333
2018-07-01,26639332,1000678,86554681.0,0.30777459626938025,0.004577572153340439,0.02934638833451486,0.0046906477619585996,2.8333333333333335
2018-10-01,23078629,-1399647,82643145.0,0.2792564222961263,-0.08112275487988962,0.071958510007325,0.00518392755584185,2.8666666666666667
2019-01-01,26617487,820022,88003873.0,0.30245813158700413,0.11780751794224865,-0.1397160878047653,0.005853046823333319,2.8000000000000003
2019-04-01,27461520,352781,89877377.0,0.3055442973152187,0.01845598722373754,0.13066190315637094,0.005936709091666659,2.6
2019-07-01,27286628,-317820,90473683.0,0.30159740484976166,0.00520466456335993,0.037877544143682496,0.005643901311296107,2.6999999999999997
2019-10-01,29255093,1102821,93680216.0,0.31228677995362436,0.03172411043240667,0.011890834178392762,0.004866198402500244,2.6999999999999997
2020-01-01,22511416,-1410118,86808903.0,0.25932151221862576,-0.1823121533060927,0.08534169591429386,0.0038298784609445136,2.433333333333333
2020-04-01,27312425,776522,93975063.0,0.2906348144720052,0.17877538223273026,-0.20001050382463903,0.0024015311626155444,2.3666666666666667
2020-07-01,29832029,901984,97663716.0,0.30545662423903674,0.059226524191828445,0.19952871969448593,0.00032503430672248257,2.766666666666667
2020-10-01,34738220,397104,104953322.0,0.330987331682555,0.15114918934947402,0.0847372205914454,0.0002500207644617891,2.9
2021-01-01,37632715,2198100,108956194.0,0.34539307604669084,0.02004693965321194,0.11688078155199966,0.00021668229204174771,2.6333333333333333
2021-04-01,40782353,1878464,113765853.0,0.3584762204525465,0.03377842922042696,0.0577251809132131,0.00010833708337498749,3.1333333333333333
2021-07-01,41277857,836200,115471524.0,0.35747217643026863,-0.008354005468983116,0.08170629345361147,5.8334097225332115e-05,4.066666666666666
2021-10-01,43292640,2337112,118994851.0,0.36381943954869106,-0.0078087629403822975,0.0023362510907505296,0.00011667111116664408,4.633333333333333
2022-01-01,41223189,521480,116842838.0,0.352808864502247,-0.059846916242576105,0.10647379538196211,0.00013333923619796018,4.833333333333333
2022-04-01,34240005,-1223176,108869798.0,0.31450416579261037,-0.13972737528869977,-0.049467290542075215,0.0009336110678748177,5.066666666666667
2022-07-01,32534036,74720,106723689.0,0.30484362286239935,-0.05200609637761443,-0.16445095427169687,0.0030195783315474234,5.333333333333333
2022-10-01,34192272,-912792,108874348.0,0.31405259942406266,0.07902579317241795,-0.05277139198948255,0.007041326403284476,4.8999999999999995
2023-01-01,36279345,-455752,112139924.0,0.3235185445640216,0.07436841283901813,0.07080501406034023,0.010561956473182699,4.766666666666667
2023-04-01,38379343,-103968,115421354.0,0.33251509941565927,0.060749883990463445,0.07027218611635622,0.011695295769888814,3.9000000000000004
2023-07-01,37006173,386732,113957016.0,0.3247379959475246,-0.04585544885434855,0.08299929169508036,0.012871482552829772,4.066666666666666
2023-10-01,40521858,-178900,118901747.0,0.340801199497935,0.099836992060757,-0.03647555543559855,0.013325420923999909,3.3666666666666667
2024-01-01,44029077,1650052,123489318.0,0.3565415836210222,0.04583124001865857,0.11235416923349151,0.01320772205381937,3.9333333333333336
2024-04-01,44830463,649100,124847290.0,0.35908238777149265,0.0034587597645982905,0.10158014260367798,0.013140473986197776,2.9333333333333336
2024-07-01,47897662,594924,129409520.0,0.37012471725418655,0.05514721094894782,0.039230328961986416,0.01315728638671887,3.1666666666666665
2024-10-01,48369976,751956,130381292.0,0.37098862312240316,-0.005838322546933502,0.05530649339988525,0.012258007780347135,2.8000000000000003
2025-01-01,46804125,634284,128913030.0,0.36306744942695085,-0.04548555078877856,0.020676844474530887,0.010922855005479182,2.6999999999999997
2025-04-01,51170106,-425216,134729337.0,0.3797992860307774,0.10236698154275932,-0.04586820159231875,0.010545184643749872,4.2
2025-07-01,56180470,1298203,141248596.0,0.3977417941910021,0.07254550146915857,0.10568708845304942,0.010612320187500135,6.033333333333334
2025-10-01,57673841,412612,143865869.0,0.40088619629441086,0.01923727231189059,0.07792323071187024,0.010159185164305473,4.666666666666667
