date,ndx_return,sp_return,m2_growth,vix,sentiment,ndx_1m,ndx_3m,sp_1m,m2_3m
1990-05-31,0.14738960277550328,0.09198919079889456,-0.005234289296348504,21.40349998474121,-0.03488141985144466,-0.03438974258896932,0.019188867748599403,-0.02688714062127162,0.0027170478958675748
1990-06-30,0.009781972801555128,-0.008886365681221697,0.006427626189425828,18.09772725538774,0.05558794659251968,0.14738960277550328,0.13580069510184134,0.09198919079889456,0.0030145073164604685
1990-07-31,-0.06321819920570604,-0.005223158411739148,0.0045707845469915576,16.822380837940035,0.034517335919513094,0.009781972801555128,0.11876892225466529,-0.008886365681221697,0.005735778091208177
1990-08-31,-0.13326763097671213,-0.09431418479162912,0.0060147095487408375,18.39285727909633,-0.19035871903742513,-0.06321819920570604,0.08536788794311367,-0.005223158411739148,0.017108828533618947
1990-09-30,-0.0855306270048759,-0.051184306456431905,0.0007124934171804931,28.175217255302098,-0.25754227687915165,-0.13326763097671213,-0.1801185242543999,-0.09431418479162912,0.011333041137061128
1990-10-31,-0.025415832290255125,-0.006698212301042394,0.001888311045071811,29.10736836885151,-0.22105909932044246,-0.0855306270048759,-0.2575065516615833,-0.051184306456431905,0.008632510595861342
1990-11-30,0.11605001306974083,0.05993421454178649,0.007662598486018801,29.625652479088824,-0.21425251464049022,-0.025415832290255125,-0.22754438785501874,-0.006698212301042394,0.01028468758712564
1990-12-31,0.04128152909260274,0.024827757338752088,0.009290773617882442,24.885714394705637,-0.24125317123628431,0.11605001306974083,-0.0053456789646705305,0.05993421454178649,0.01894502228826145
1991-01-31,0.1590535304773255,0.0415177499981747,-0.007503949447077329,23.363000106811523,-0.302165346280221,0.04128152909260274,0.13258595958659258,0.024827757338752088,0.009392862660281276
1991-02-28,0.07611058280793892,0.06728117681278034,0.007070923505463789,27.429091106761586,-0.29410250751035555,0.1590535304773255,0.34696191311292934,0.0415177499981747,0.008800171710667604
1991-03-31,0.059132770770672805,0.022202832522042026,0.00911854103343468,21.598421096801758,-0.19736931521085002,0.07611058280793892,0.2987589734918754,0.06728117681278034,0.008628022846032257
1991-04-30,-0.004718672753478037,0.0003197993624997064,-0.0018674698795180245,17.918499851226805,-0.12739275147517523,0.059132770770672805,0.3210242875972442,0.022202832522042026,0.014356117420184278
1991-05-31,0.05820106310045081,0.0386049724936075,0.001327780795461253,17.37272735075517,-0.13629361722738512,-0.004718672753478037,0.1343659043454315,0.0003197993624997064,0.008571428571428452
1991-06-30,-0.08890678378416217,-0.04789262897479862,0.0037068290036768037,16.932272737676445,-0.016189887033154566,0.05820106310045081,0.11548685153808336,0.0386049724936075,0.0031626506024096113
1991-07-31,0.07065438320025952,0.04485934295776639,0.000570484912175484,17.13499994277954,-0.026111212855715667,-0.08890678378416217,-0.04042955589524777,-0.04789262897479862,0.00561289154445066
